bioproject_accession	biosample_id	biosample_accession	env_broad_scale_asserted	env_local_scale_asserted	env_medium_asserted	env_broad_scale_mined	env_local_scale_mined	env_medium_mined
PRJEB52452	33205325	SAMEA110646473	Trades Biome		particulate matter (ENVO:01000060), including planktonic material (ENVO:01000063)	biome [ENVO:00000428]		particulate environmental material [ENVO:01000060]; planktonic material [ENVO:01000063]
PRJEB52452	33205326	SAMEA110646474	Coastal Biome		particulate matter (ENVO:01000060), including planktonic material (ENVO:01000063)	biome [ENVO:00000428]		particulate environmental material [ENVO:01000060]; planktonic material [ENVO:01000063]
PRJEB52452	33205327	SAMEA110646475	Coastal Biome		particulate matter (ENVO:01000060), including planktonic material (ENVO:01000063)	biome [ENVO:00000428]		particulate environmental material [ENVO:01000060]; planktonic material [ENVO:01000063]
PRJEB52452	33205328	SAMEA110646476	Coastal Biome		particulate matter (ENVO:01000060), including planktonic material (ENVO:01000063)	biome [ENVO:00000428]		particulate environmental material [ENVO:01000060]; planktonic material [ENVO:01000063]
PRJEB52452	33205329	SAMEA110646477	Coastal Biome		particulate matter (ENVO:01000060), including planktonic material (ENVO:01000063)	biome [ENVO:00000428]		particulate environmental material [ENVO:01000060]; planktonic material [ENVO:01000063]
PRJEB52452	33205330	SAMEA110646478	Coastal Biome		particulate matter (ENVO:01000060), including planktonic material (ENVO:01000063)	biome [ENVO:00000428]		particulate environmental material [ENVO:01000060]; planktonic material [ENVO:01000063]
PRJEB52452	33205331	SAMEA110646479	Coastal Biome		particulate matter (ENVO:01000060), including planktonic material (ENVO:01000063)	biome [ENVO:00000428]		particulate environmental material [ENVO:01000060]; planktonic material [ENVO:01000063]
PRJEB52452	33205332	SAMEA110646480	Coastal Biome		particulate matter (ENVO:01000060), including planktonic material (ENVO:01000063)	biome [ENVO:00000428]		particulate environmental material [ENVO:01000060]; planktonic material [ENVO:01000063]
PRJEB52452	33205333	SAMEA110646481	Trades Biome		particulate matter (ENVO:01000060), including planktonic material (ENVO:01000063)	biome [ENVO:00000428]		particulate environmental material [ENVO:01000060]; planktonic material [ENVO:01000063]
PRJEB52452	33205334	SAMEA110646482	Trades Biome		particulate matter (ENVO:01000060), including planktonic material (ENVO:01000063)	biome [ENVO:00000428]		particulate environmental material [ENVO:01000060]; planktonic material [ENVO:01000063]
PRJEB52452	33205335	SAMEA110646483	Trades Biome		particulate matter (ENVO:01000060), including planktonic material (ENVO:01000063)	biome [ENVO:00000428]		particulate environmental material [ENVO:01000060]; planktonic material [ENVO:01000063]
PRJEB52452	33205336	SAMEA110646484	Trades Biome		particulate matter (ENVO:01000060), including planktonic material (ENVO:01000063)	biome [ENVO:00000428]		particulate environmental material [ENVO:01000060]; planktonic material [ENVO:01000063]
PRJEB52452	33205337	SAMEA110646485	Trades Biome		particulate matter (ENVO:01000060), including planktonic material (ENVO:01000063)	biome [ENVO:00000428]		particulate environmental material [ENVO:01000060]; planktonic material [ENVO:01000063]
PRJEB52452	33205338	SAMEA110646486	Trades Biome		particulate matter (ENVO:01000060), including planktonic material (ENVO:01000063)	biome [ENVO:00000428]		particulate environmental material [ENVO:01000060]; planktonic material [ENVO:01000063]
PRJEB52452	33205339	SAMEA110646487	Trades Biome		particulate matter (ENVO:01000060), including planktonic material (ENVO:01000063)	biome [ENVO:00000428]		particulate environmental material [ENVO:01000060]; planktonic material [ENVO:01000063]
PRJEB52452	33205340	SAMEA110646488	Trades Biome		particulate matter (ENVO:01000060), including planktonic material (ENVO:01000063)	biome [ENVO:00000428]		particulate environmental material [ENVO:01000060]; planktonic material [ENVO:01000063]
PRJEB52452	33205341	SAMEA110646489	Trades Biome		particulate matter (ENVO:01000060), including planktonic material (ENVO:01000063)	biome [ENVO:00000428]		particulate environmental material [ENVO:01000060]; planktonic material [ENVO:01000063]
PRJEB52452	33205342	SAMEA110646490	Trades Biome		particulate matter (ENVO:01000060), including planktonic material (ENVO:01000063)	biome [ENVO:00000428]		particulate environmental material [ENVO:01000060]; planktonic material [ENVO:01000063]
PRJEB52452	33205343	SAMEA110646491	Trades Biome		particulate matter (ENVO:01000060), including planktonic material (ENVO:01000063)	biome [ENVO:00000428]		particulate environmental material [ENVO:01000060]; planktonic material [ENVO:01000063]
PRJEB52452	33205344	SAMEA110646492	Trades Biome		particulate matter (ENVO:01000060), including planktonic material (ENVO:01000063)	biome [ENVO:00000428]		particulate environmental material [ENVO:01000060]; planktonic material [ENVO:01000063]
PRJEB52452	33205345	SAMEA110646493	Trades Biome		particulate matter (ENVO:01000060), including planktonic material (ENVO:01000063)	biome [ENVO:00000428]		particulate environmental material [ENVO:01000060]; planktonic material [ENVO:01000063]
PRJEB52452	33205346	SAMEA110646494	Westerlies Biome		particulate matter (ENVO:01000060), including planktonic material (ENVO:01000063)	biome [ENVO:00000428]		particulate environmental material [ENVO:01000060]; planktonic material [ENVO:01000063]
PRJEB52452	33205347	SAMEA110646495	Westerlies Biome		particulate matter (ENVO:01000060), including planktonic material (ENVO:01000063)	biome [ENVO:00000428]		particulate environmental material [ENVO:01000060]; planktonic material [ENVO:01000063]
PRJEB52452	33205348	SAMEA110646496	Westerlies Biome		particulate matter (ENVO:01000060), including planktonic material (ENVO:01000063)	biome [ENVO:00000428]		particulate environmental material [ENVO:01000060]; planktonic material [ENVO:01000063]
PRJEB52452	33205349	SAMEA110646497	Westerlies Biome		particulate matter (ENVO:01000060), including planktonic material (ENVO:01000063)	biome [ENVO:00000428]		particulate environmental material [ENVO:01000060]; planktonic material [ENVO:01000063]
PRJEB52452	33205350	SAMEA110646498	Westerlies Biome		particulate matter (ENVO:01000060), including planktonic material (ENVO:01000063)	biome [ENVO:00000428]		particulate environmental material [ENVO:01000060]; planktonic material [ENVO:01000063]
PRJEB52452	33205351	SAMEA110646499	Westerlies Biome		particulate matter (ENVO:01000060), including planktonic material (ENVO:01000063)	biome [ENVO:00000428]		particulate environmental material [ENVO:01000060]; planktonic material [ENVO:01000063]
PRJEB52452	33205352	SAMEA110646500	Westerlies Biome		particulate matter (ENVO:01000060), including planktonic material (ENVO:01000063)	biome [ENVO:00000428]		particulate environmental material [ENVO:01000060]; planktonic material [ENVO:01000063]
PRJEB52452	33205353	SAMEA110646501	Westerlies Biome		particulate matter (ENVO:01000060), including planktonic material (ENVO:01000063)	biome [ENVO:00000428]		particulate environmental material [ENVO:01000060]; planktonic material [ENVO:01000063]
PRJEB52452	33205354	SAMEA110646502	Westerlies Biome		particulate matter (ENVO:01000060), including planktonic material (ENVO:01000063)	biome [ENVO:00000428]		particulate environmental material [ENVO:01000060]; planktonic material [ENVO:01000063]
PRJEB52452	33205355	SAMEA110646503	Westerlies Biome		particulate matter (ENVO:01000060), including planktonic material (ENVO:01000063)	biome [ENVO:00000428]		particulate environmental material [ENVO:01000060]; planktonic material [ENVO:01000063]
PRJEB52452	33205356	SAMEA110646504	Westerlies Biome		particulate matter (ENVO:01000060), including planktonic material (ENVO:01000063)	biome [ENVO:00000428]		particulate environmental material [ENVO:01000060]; planktonic material [ENVO:01000063]
PRJEB52452	33205357	SAMEA110646505	Westerlies Biome		particulate matter (ENVO:01000060), including planktonic material (ENVO:01000063)	biome [ENVO:00000428]		particulate environmental material [ENVO:01000060]; planktonic material [ENVO:01000063]
PRJEB52452	33205358	SAMEA110646506	Westerlies Biome		particulate matter (ENVO:01000060), including planktonic material (ENVO:01000063)	biome [ENVO:00000428]		particulate environmental material [ENVO:01000060]; planktonic material [ENVO:01000063]
PRJEB52452	33205359	SAMEA110646507	Westerlies Biome		particulate matter (ENVO:01000060), including planktonic material (ENVO:01000063)	biome [ENVO:00000428]		particulate environmental material [ENVO:01000060]; planktonic material [ENVO:01000063]
PRJEB52452	33205360	SAMEA110646508	Trades Biome		particulate matter (ENVO:01000060), including planktonic material (ENVO:01000063)	biome [ENVO:00000428]		particulate environmental material [ENVO:01000060]; planktonic material [ENVO:01000063]
PRJEB52452	33205361	SAMEA110646509	Trades Biome		particulate matter (ENVO:01000060), including planktonic material (ENVO:01000063)	biome [ENVO:00000428]		particulate environmental material [ENVO:01000060]; planktonic material [ENVO:01000063]
PRJEB52452	33205362	SAMEA110646510	Trades Biome		particulate matter (ENVO:01000060), including planktonic material (ENVO:01000063)	biome [ENVO:00000428]		particulate environmental material [ENVO:01000060]; planktonic material [ENVO:01000063]
PRJEB52452	33205363	SAMEA110646511	Trades Biome		particulate matter (ENVO:01000060), including planktonic material (ENVO:01000063)	biome [ENVO:00000428]		particulate environmental material [ENVO:01000060]; planktonic material [ENVO:01000063]
PRJEB52452	33205364	SAMEA110646512	Trades Biome		particulate matter (ENVO:01000060), including planktonic material (ENVO:01000063)	biome [ENVO:00000428]		particulate environmental material [ENVO:01000060]; planktonic material [ENVO:01000063]
PRJEB52452	33220445	SAMEA110646513	Trades Biome		particulate matter (ENVO:01000060), including planktonic material (ENVO:01000063)	biome [ENVO:00000428]		particulate environmental material [ENVO:01000060]; planktonic material [ENVO:01000063]
PRJEB52452	33220446	SAMEA110646514	Trades Biome		particulate matter (ENVO:01000060), including planktonic material (ENVO:01000063)	biome [ENVO:00000428]		particulate environmental material [ENVO:01000060]; planktonic material [ENVO:01000063]
PRJEB52452	33205365	SAMEA110646515	Trades Biome		particulate matter (ENVO:01000060), including planktonic material (ENVO:01000063)	biome [ENVO:00000428]		particulate environmental material [ENVO:01000060]; planktonic material [ENVO:01000063]
PRJEB52452	33205366	SAMEA110646516	Trades Biome		particulate matter (ENVO:01000060), including planktonic material (ENVO:01000063)	biome [ENVO:00000428]		particulate environmental material [ENVO:01000060]; planktonic material [ENVO:01000063]
PRJEB52452	33220447	SAMEA110646517	Trades Biome		particulate matter (ENVO:01000060), including planktonic material (ENVO:01000063)	biome [ENVO:00000428]		particulate environmental material [ENVO:01000060]; planktonic material [ENVO:01000063]
PRJEB52452	33220448	SAMEA110646518	Trades Biome		particulate matter (ENVO:01000060), including planktonic material (ENVO:01000063)	biome [ENVO:00000428]		particulate environmental material [ENVO:01000060]; planktonic material [ENVO:01000063]
PRJEB52452	33205367	SAMEA110646519	Trades Biome		particulate matter (ENVO:01000060), including planktonic material (ENVO:01000063)	biome [ENVO:00000428]		particulate environmental material [ENVO:01000060]; planktonic material [ENVO:01000063]
PRJEB52452	33220449	SAMEA110646520	Trades Biome		particulate matter (ENVO:01000060), including planktonic material (ENVO:01000063)	biome [ENVO:00000428]		particulate environmental material [ENVO:01000060]; planktonic material [ENVO:01000063]
PRJEB52452	33220450	SAMEA110646521	Trades Biome		particulate matter (ENVO:01000060), including planktonic material (ENVO:01000063)	biome [ENVO:00000428]		particulate environmental material [ENVO:01000060]; planktonic material [ENVO:01000063]
PRJEB52452	33205368	SAMEA110646522	Trades Biome		particulate matter (ENVO:01000060), including planktonic material (ENVO:01000063)	biome [ENVO:00000428]		particulate environmental material [ENVO:01000060]; planktonic material [ENVO:01000063]
PRJEB52452	33205369	SAMEA110646523	Trades Biome		particulate matter (ENVO:01000060), including planktonic material (ENVO:01000063)	biome [ENVO:00000428]		particulate environmental material [ENVO:01000060]; planktonic material [ENVO:01000063]
PRJEB52452	33205370	SAMEA110646524	Trades Biome		particulate matter (ENVO:01000060), including planktonic material (ENVO:01000063)	biome [ENVO:00000428]		particulate environmental material [ENVO:01000060]; planktonic material [ENVO:01000063]
PRJEB52452	33205371	SAMEA110646525	Trades Biome		particulate matter (ENVO:01000060), including planktonic material (ENVO:01000063)	biome [ENVO:00000428]		particulate environmental material [ENVO:01000060]; planktonic material [ENVO:01000063]
PRJEB52452	33205372	SAMEA110646526	Trades Biome		particulate matter (ENVO:01000060), including planktonic material (ENVO:01000063)	biome [ENVO:00000428]		particulate environmental material [ENVO:01000060]; planktonic material [ENVO:01000063]
PRJEB52452	33205373	SAMEA110646527	Trades Biome		particulate matter (ENVO:01000060), including planktonic material (ENVO:01000063)	biome [ENVO:00000428]		particulate environmental material [ENVO:01000060]; planktonic material [ENVO:01000063]
PRJEB52452	33205374	SAMEA110646528	Trades Biome		particulate matter (ENVO:01000060), including planktonic material (ENVO:01000063)	biome [ENVO:00000428]		particulate environmental material [ENVO:01000060]; planktonic material [ENVO:01000063]
PRJEB52452	33205375	SAMEA110646529	Trades Biome		particulate matter (ENVO:01000060), including planktonic material (ENVO:01000063)	biome [ENVO:00000428]		particulate environmental material [ENVO:01000060]; planktonic material [ENVO:01000063]
PRJEB52452	33205376	SAMEA110646530	Trades Biome		particulate matter (ENVO:01000060), including planktonic material (ENVO:01000063)	biome [ENVO:00000428]		particulate environmental material [ENVO:01000060]; planktonic material [ENVO:01000063]
PRJEB52452	33205377	SAMEA110646531	Trades Biome		particulate matter (ENVO:01000060), including planktonic material (ENVO:01000063)	biome [ENVO:00000428]		particulate environmental material [ENVO:01000060]; planktonic material [ENVO:01000063]
PRJEB52452	33205378	SAMEA110646532	Westerlies Biome		particulate matter (ENVO:01000060), including planktonic material (ENVO:01000063)	biome [ENVO:00000428]		particulate environmental material [ENVO:01000060]; planktonic material [ENVO:01000063]
PRJEB52452	33205379	SAMEA110646533	Westerlies Biome		particulate matter (ENVO:01000060), including planktonic material (ENVO:01000063)	biome [ENVO:00000428]		particulate environmental material [ENVO:01000060]; planktonic material [ENVO:01000063]
PRJEB52452	33205380	SAMEA110646534	Westerlies Biome		particulate matter (ENVO:01000060), including planktonic material (ENVO:01000063)	biome [ENVO:00000428]		particulate environmental material [ENVO:01000060]; planktonic material [ENVO:01000063]
PRJEB52452	33205381	SAMEA110646535	Westerlies Biome		particulate matter (ENVO:01000060), including planktonic material (ENVO:01000063)	biome [ENVO:00000428]		particulate environmental material [ENVO:01000060]; planktonic material [ENVO:01000063]
PRJEB52452	33205382	SAMEA110646536	Westerlies Biome		particulate matter (ENVO:01000060), including planktonic material (ENVO:01000063)	biome [ENVO:00000428]		particulate environmental material [ENVO:01000060]; planktonic material [ENVO:01000063]
PRJEB52452	33205383	SAMEA110646537	Westerlies Biome		particulate matter (ENVO:01000060), including planktonic material (ENVO:01000063)	biome [ENVO:00000428]		particulate environmental material [ENVO:01000060]; planktonic material [ENVO:01000063]
PRJEB52452	33205384	SAMEA110646538	Westerlies Biome		particulate matter (ENVO:01000060), including planktonic material (ENVO:01000063)	biome [ENVO:00000428]		particulate environmental material [ENVO:01000060]; planktonic material [ENVO:01000063]
PRJEB55522	31797750	SAMEA112130944	Kap Koebenhagen formation		Sandy sediments			sandy sediment [ENVO:01000118]
PRJEB55522	31797751	SAMEA112130945	Kap Koebenhagen formation		Sandy sediments			sandy sediment [ENVO:01000118]
PRJEB55522	31797752	SAMEA112130946	Kap Koebenhagen formation		Sandy sediments			sandy sediment [ENVO:01000118]
PRJEB55522	31797753	SAMEA112130947	Kap Koebenhagen formation		Sandy sediments			sandy sediment [ENVO:01000118]
PRJEB55522	31797754	SAMEA112130948	Kap Koebenhagen formation		Sandy sediments			sandy sediment [ENVO:01000118]
PRJEB55522	31797755	SAMEA112130949	Kap Koebenhagen formation		Sandy sediments			sandy sediment [ENVO:01000118]
PRJEB55522	31797756	SAMEA112130950	Kap Koebenhagen formation		Sandy sediments			sandy sediment [ENVO:01000118]
PRJEB55522	31797757	SAMEA112130951	Kap Koebenhagen formation		Sandy sediments			sandy sediment [ENVO:01000118]
PRJEB55522	31797758	SAMEA112130952	Kap Koebenhagen formation		Sandy sediments			sandy sediment [ENVO:01000118]
PRJEB55522	31797759	SAMEA112130953	Kap Koebenhagen formation		Sandy sediments			sandy sediment [ENVO:01000118]
PRJEB55522	31797760	SAMEA112130954	Kap Koebenhagen formation		Sandy sediments			sandy sediment [ENVO:01000118]
PRJEB55522	31797761	SAMEA112130955	Kap Koebenhagen formation		Sandy sediments			sandy sediment [ENVO:01000118]
PRJEB55522	31797762	SAMEA112130956	Kap Koebenhagen formation		Sandy sediments			sandy sediment [ENVO:01000118]
PRJEB55522	31797763	SAMEA112130957	Kap Koebenhagen formation		Sandy sediments			sandy sediment [ENVO:01000118]
PRJEB55522	31797764	SAMEA112130958	Kap Koebenhagen formation		Sandy sediments			sandy sediment [ENVO:01000118]
PRJEB55522	31797765	SAMEA112130959	Kap Koebenhagen formation		Sandy sediments			sandy sediment [ENVO:01000118]
PRJEB55522	31797766	SAMEA112130960	Kap Koebenhagen formation		Sandy sediments			sandy sediment [ENVO:01000118]
PRJEB55522	31797767	SAMEA112130961	Kap Koebenhagen formation		Sandy sediments			sandy sediment [ENVO:01000118]
PRJEB55522	31797768	SAMEA112130962	Kap Koebenhagen formation		Sandy sediments			sandy sediment [ENVO:01000118]
PRJEB55522	31797769	SAMEA112130963	Kap Koebenhagen formation		Sandy sediments			sandy sediment [ENVO:01000118]
PRJEB55522	31797770	SAMEA112130964	Kap Koebenhagen formation		Sandy sediments			sandy sediment [ENVO:01000118]
PRJEB55522	31797771	SAMEA112130965	Kap Koebenhagen formation		Sandy sediments			sandy sediment [ENVO:01000118]
PRJEB55522	31797772	SAMEA112130966	Kap Koebenhagen formation		Sandy sediments			sandy sediment [ENVO:01000118]
PRJEB55522	31797773	SAMEA112130967	Kap Koebenhagen formation		Sandy sediments			sandy sediment [ENVO:01000118]
PRJEB55522	31797774	SAMEA112130968	Kap Koebenhagen formation		Sandy sediments			sandy sediment [ENVO:01000118]
PRJEB55522	31797775	SAMEA112130969	Kap Koebenhagen formation		Sandy sediments			sandy sediment [ENVO:01000118]
PRJEB55522	31797776	SAMEA112130970	Kap Koebenhagen formation		Sandy sediments			sandy sediment [ENVO:01000118]
PRJEB55522	31797777	SAMEA112130971	Kap Koebenhagen formation		Sandy sediments			sandy sediment [ENVO:01000118]
PRJEB55522	31797778	SAMEA112130972	Kap Koebenhagen formation		Sandy sediments			sandy sediment [ENVO:01000118]
PRJEB55522	31797779	SAMEA112130973	Kap Koebenhagen formation		Sandy sediments			sandy sediment [ENVO:01000118]
PRJEB55522	31797780	SAMEA112130974	Kap Koebenhagen formation		Sandy sediments			sandy sediment [ENVO:01000118]
PRJEB55522	31797781	SAMEA112130975	Kap Koebenhagen formation		Sandy sediments			sandy sediment [ENVO:01000118]
PRJEB55522	31797782	SAMEA112130976	Kap Koebenhagen formation		Sandy sediments			sandy sediment [ENVO:01000118]
PRJEB55522	31797783	SAMEA112130977	Kap Koebenhagen formation		Sandy sediments			sandy sediment [ENVO:01000118]
PRJEB55522	31797784	SAMEA112130978	Kap Koebenhagen formation		Sandy sediments			sandy sediment [ENVO:01000118]
PRJEB55522	31797785	SAMEA112130979	Kap Koebenhagen formation		Sandy sediments			sandy sediment [ENVO:01000118]
PRJEB55522	31797786	SAMEA112130980	Kap Koebenhagen formation		Sandy sediments			sandy sediment [ENVO:01000118]
PRJEB55522	31797787	SAMEA112130981	Kap Koebenhagen formation		Sandy sediments			sandy sediment [ENVO:01000118]
PRJEB55522	31797788	SAMEA112130982	Kap Koebenhagen formation		Sandy sediments			sandy sediment [ENVO:01000118]
PRJEB55522	31797789	SAMEA112130983	Kap Koebenhagen formation		Sandy sediments			sandy sediment [ENVO:01000118]
PRJEB55522	31797790	SAMEA112130984	Kap Koebenhagen formation		Sandy sediments			sandy sediment [ENVO:01000118]
PRJEB55522	31797791	SAMEA112130985	Kap Koebenhagen formation		Sandy sediments			sandy sediment [ENVO:01000118]
PRJEB55522	31797792	SAMEA112130986	Kap Koebenhagen formation		Sandy sediments			sandy sediment [ENVO:01000118]
PRJEB55522	31797793	SAMEA112130987	Kap Koebenhagen formation		Sandy sediments			sandy sediment [ENVO:01000118]
PRJEB55522	31797794	SAMEA112130988	Kap Koebenhagen formation		Sandy sediments			sandy sediment [ENVO:01000118]
PRJEB55522	31797795	SAMEA112130989	Kap Koebenhagen formation		Sandy sediments			sandy sediment [ENVO:01000118]
PRJEB55522	31797796	SAMEA112130990	Kap Koebenhagen formation		Sandy sediments			sandy sediment [ENVO:01000118]
PRJEB55522	31797797	SAMEA112130991	Kap Koebenhagen formation		Sandy sediments			sandy sediment [ENVO:01000118]
PRJEB55522	31797798	SAMEA112130992	Kap Koebenhagen formation		Sandy sediments			sandy sediment [ENVO:01000118]
PRJEB55522	31797799	SAMEA112130993	Kap Koebenhagen formation		Sandy sediments			sandy sediment [ENVO:01000118]
PRJEB55522	31797800	SAMEA112130994	Kap Koebenhagen formation		Sandy sediments			sandy sediment [ENVO:01000118]
PRJEB55522	31797801	SAMEA112130995	Kap Koebenhagen formation		Sandy sediments			sandy sediment [ENVO:01000118]
PRJEB55522	31797802	SAMEA112130996	Kap Koebenhagen formation		Sandy sediments			sandy sediment [ENVO:01000118]
PRJEB55522	31797803	SAMEA112130997	Kap Koebenhagen formation		Sandy sediments			sandy sediment [ENVO:01000118]
PRJEB55522	31797804	SAMEA112130998	Kap Koebenhagen formation		Sandy sediments			sandy sediment [ENVO:01000118]
PRJEB55522	31797805	SAMEA112130999	Kap Koebenhagen formation		Sandy sediments			sandy sediment [ENVO:01000118]
PRJEB55522	31797806	SAMEA112131000	Kap Koebenhagen formation		Sandy sediments			sandy sediment [ENVO:01000118]
PRJEB55522	31797807	SAMEA112131001	Kap Koebenhagen formation		Sandy sediments			sandy sediment [ENVO:01000118]
PRJEB55522	31797808	SAMEA112131002	Kap Koebenhagen formation		Sandy sediments			sandy sediment [ENVO:01000118]
PRJEB55522	31797809	SAMEA112131003	Kap Koebenhagen formation		Sandy sediments			sandy sediment [ENVO:01000118]
PRJEB55522	31797810	SAMEA112131004	Kap Koebenhagen formation		Sandy sediments			sandy sediment [ENVO:01000118]
PRJEB55522	31797811	SAMEA112131005	Kap Koebenhagen formation		Sandy sediments			sandy sediment [ENVO:01000118]
PRJEB55522	31797812	SAMEA112131006	Kap Koebenhagen formation		Sandy sediments			sandy sediment [ENVO:01000118]
PRJEB55522	31797813	SAMEA112131007	Kap Koebenhagen formation		Sandy sediments			sandy sediment [ENVO:01000118]
PRJEB55522	31797814	SAMEA112131008	Kap Koebenhagen formation		Sandy sediments			sandy sediment [ENVO:01000118]
PRJEB55522	31797815	SAMEA112131009	Kap Koebenhagen formation		Sandy sediments			sandy sediment [ENVO:01000118]
PRJEB55522	31797816	SAMEA112131010	Kap Koebenhagen formation		Sandy sediments			sandy sediment [ENVO:01000118]
PRJEB55522	31797817	SAMEA112131011	Kap Koebenhagen formation		Sandy sediments			sandy sediment [ENVO:01000118]
PRJEB55522	31797818	SAMEA112131012	Kap Koebenhagen formation		Sandy sediments			sandy sediment [ENVO:01000118]
PRJEB55522	31797819	SAMEA112131013	Kap Koebenhagen formation		Sandy sediments			sandy sediment [ENVO:01000118]
PRJEB55522	31797820	SAMEA112131014	Kap Koebenhagen formation		Sandy sediments			sandy sediment [ENVO:01000118]
PRJEB55522	31797821	SAMEA112131015	Kap Koebenhagen formation		Sandy sediments			sandy sediment [ENVO:01000118]
PRJEB55522	31797822	SAMEA112131016	Kap Koebenhagen formation		Sandy sediments			sandy sediment [ENVO:01000118]
PRJEB55522	31797823	SAMEA112131017	Kap Koebenhagen formation		Sandy sediments			sandy sediment [ENVO:01000118]
PRJEB55522	31797824	SAMEA112131018	Kap Koebenhagen formation		Sandy sediments			sandy sediment [ENVO:01000118]
PRJEB55522	31797825	SAMEA112131019	Kap Koebenhagen formation		Sandy sediments			sandy sediment [ENVO:01000118]
PRJEB55522	31797826	SAMEA112131020	Kap Koebenhagen formation		Sandy sediments			sandy sediment [ENVO:01000118]
PRJEB55522	31797827	SAMEA112131021	Kap Koebenhagen formation		Sandy sediments			sandy sediment [ENVO:01000118]
PRJEB55522	31797828	SAMEA112131022	Kap Koebenhagen formation		Sandy sediments			sandy sediment [ENVO:01000118]
PRJEB55522	31797829	SAMEA112131023	Kap Koebenhagen formation		Sandy sediments			sandy sediment [ENVO:01000118]
PRJEB55522	31797830	SAMEA112131024	Kap Koebenhagen formation		Sandy sediments			sandy sediment [ENVO:01000118]
PRJEB55522	31797831	SAMEA112131025	Kap Koebenhagen formation		Sandy sediments			sandy sediment [ENVO:01000118]
PRJEB55522	31797832	SAMEA112131026	Kap Koebenhagen formation		Sandy sediments			sandy sediment [ENVO:01000118]
PRJEB55522	31797833	SAMEA112131027	Kap Koebenhagen formation		Sandy sediments			sandy sediment [ENVO:01000118]
