unique_id,label,all_evidence,is_process,is_quality,is_chemical_entity,is_biome,is_environmental_material,is_aquatic_biome,is_terrestrial_biome,obsolete,historical_permissible_values_count,NMDC_soil_count,NCBI_mims_soil_trusting_CURIe_count,NCBI_mims_soil_trusting_labels_count,GOLD_env_terr_soil_count,historical_permissible_values_frequency,NMDC_soil_frequency,NCBI_mims_soil_trusting_CURIe_frequency,NCBI_mims_soil_trusting_labels_frequency,GOLD_env_terr_soil_frequency,CJM_Vote,CJM_Comments,MAM vote,MAM comments,MLS_vote,MLS_comments,NMW_vote,NMW_comment,SM_vote,SM_comment,Yes = 1 No = -1 Maybe = 0,Follow up,Notes,CJM_Vote_safe_int,MAM vote_safe_int,MLS_vote_safe_int,NMW_vote_safe_int,SM_vote_safe_int,IAA_score,vote_sum
ENVO:00000085,alpine glacier,0.0002244001191,False,False,False,False,False,False,False,False,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0004866180049,0.0,0.0,,,0.0,0,0.0,0,0.0,0.0,0,0,0,,,0,0,0,0,0,1.0,0
ENVO:00000086,plain,0.001358422854,False,False,False,False,False,False,False,False,0.0,0.0,1.0,14.0,0.0,0.0,0.0,0.0004866180049,0.002459160372,0.0,,,0.0,0,0.0,0,0.0,0.0,0,0,0,,,0,0,0,0,0,1.0,0
ENVO:00000087,cliff,0.0002244001191,False,False,False,False,False,False,False,False,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0004866180049,0.0,0.0,,,0.0,0,0.0,0,0.0,0.0,0,0,0,,,0,0,0,0,0,1.0,0
ENVO:00000088,sea cliff,0.0002244001191,False,False,False,False,False,False,False,False,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0004866180049,0.0,0.0,,,0.0,0,0.0,0,0.0,0.0,0,0,0,,,0,0,0,0,0,1.0,0
ENVO:00000089,inland cliff,0.0002244001191,False,False,False,False,False,False,False,False,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0004866180049,0.0,0.0,,,0.0,0,0.0,0,0.0,0.0,0,0,0,,,0,0,0,0,0,1.0,0
ENVO:00000090,coastal plain,0.0002244001191,False,False,False,False,False,False,False,False,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0004866180049,0.0,0.0,,,0.0,0,0.0,0,0.0,0.0,0,0,0,,,0,0,0,0,0,1.0,0
ENVO:00000091,beach,0.005327502424,False,False,False,False,False,False,False,False,0.0,0.0,1.0,63.0,0.0,0.0,0.0,0.0004866180049,0.01106622168,0.0,,,0.0,0,0.0,0,0.0,0.0,0,0,0,,,0,0,0,0,0,1.0,0
ENVO:00000092,sea beach,0.0002244001191,False,False,False,False,False,False,False,False,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0004866180049,0.0,0.0,,,0.0,0,0.0,0,0.0,0.0,0,0,0,,,0,0,0,0,0,1.0,0
ENVO:00000093,lacustrine beach,0.0002244001191,False,False,False,False,False,False,False,False,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0004866180049,0.0,0.0,,,0.0,0,0.0,0,0.0,0.0,0,0,0,,,0,0,0,0,0,1.0,0
ENVO:00000094,volcanic feature,0.0002244001191,False,False,False,False,False,False,False,False,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0004866180049,0.0,0.0,,,0.0,0,0.0,0,0.0,0.0,0,0,0,,,0,0,0,0,0,1.0,0
