unique_id,label,all_evidence,is_process,is_quality,is_chemical_entity,is_biome,is_environmental_material,is_aquatic_biome,is_terrestrial_biome,obsolete,non_host_oak_queries_count,historical_permissible_values_count,NMDC_soil_count,NCBI_mims_soil_trusting_CURIe_count,NCBI_mims_soil_trusting_labels_count,GOLD_env_terr_soil_count,non_host_oak_queries_frequency,historical_permissible_values_frequency,NMDC_soil_frequency,NCBI_mims_soil_trusting_CURIe_frequency,NCBI_mims_soil_trusting_labels_frequency,GOLD_env_terr_soil_frequency,CJM_Vote,CJM_Comments,MAM vote,MAM comments,MLS_vote,MLS_comments,NMW_vote,NMW_comment,SM_vote,SM_comment,Yes = 1 No = -1 Maybe = 0,CJM_Vote_safe_int,MAM vote_safe_int,MLS_vote_safe_int,NMW_vote_safe_int,SM_vote_safe_int,IAA_score,vote_sum
ENVO:00000119,planted forest,0.01191694514,False,False,False,False,False,False,False,False,0,0,4,14,44,0,0.0,0.0,0.003154574132,0.0110323089,0.009647007235,0.0,-1.0,cur_land_use,-1,too specific,-1,,,,,,-3,-1,-1,-1,0,0,0.4,-3
ENVO:00000120,oil palm plantation,0.02251137518,False,False,False,False,False,False,False,False,0,0,6,40,40,0,0.0,0.0,0.004731861199,0.03152088258,0.008770006578,0.0,-1.0,cur_land_use,-1,too specific,1,,,,,,-1,-1,-1,1,0,0,0.2,-1
ENVO:00000121,artificial channel,0.0124004957,False,False,False,False,False,False,False,False,0,1,0,9,0,0,0.0,0.01770879282,0.0,0.007092198582,0.0,0.0,-1.0,,-1,water,1,,,,,,-1,-1,-1,1,0,0,0.2,-1
ENVO:00000125,mineral spring,0.00885439641,False,False,False,False,False,False,False,False,1,0,0,0,0,0,0.01770879282,0.0,0.0,0.0,0.0,0.0,-1.0,,-1,too specific,0,,,,,,-2,-1,-1,0,0,0,0.4,-2
ENVO:00000126,sulfur spring,0.00885439641,False,False,False,False,False,False,False,False,1,0,0,0,0,0,0.01770879282,0.0,0.0,0.0,0.0,0.0,-1.0,,-1,too specific,0,,,,,,-2,-1,-1,0,0,0,0.4,-2
ENVO:00000127,badland,0.01126614822,False,False,False,False,False,False,False,False,0,1,0,0,22,0,0.0,0.01770879282,0.0,0.0,0.004823503618,0.0,-1.0,,1,,-1,,,,,,-1,-1,1,-1,0,0,0.2,-1
ENVO:00000128,dry valley,0.01849743635,False,False,False,False,False,False,False,False,1,1,2,0,0,0,0.01770879282,0.01770879282,0.001577287066,0.0,0.0,0.0,-1.0,other fields for dry,-1,too specific,-1,,,,,,-3,-1,-1,-1,0,0,0.4,-3
ENVO:00000129,stream valley,0.00885439641,False,False,False,False,False,False,False,False,1,0,0,0,0,0,0.01770879282,0.0,0.0,0.0,0.0,0.0,-1.0,,-1,too specific,0,,,,,,-2,-1,-1,0,0,0,0.4,-2
ENVO:00000133,glacier,0.01883027889,False,False,False,False,False,False,False,False,1,0,0,0,91,0,0.01770879282,0.0,0.0,0.0,0.01995176496,0.0,1.0,is this samples taken from the glacier directly? vicinity?,1,,1,,,,,,3,1,1,1,0,0,0.4,3
ENVO:00000134,permafrost,0.04783290477,False,False,False,False,True,False,False,False,0,0,0,46,271,0,0.0,0.0,0.0,0.03624901497,0.05941679456,0.0,,,0,,0,0,,,,,0,0,0,0,0,0,1.0,0
ENVO:00000137,coastal inlet,0.00885439641,False,False,False,False,False,False,False,False,1,0,0,0,0,0,0.01770879282,0.0,0.0,0.0,0.0,0.0,0.0,,-1,too specific,0,,,,,,-1,0,-1,0,0,0,0.6,-1
ENVO:00000141,bank,0.01770879282,False,False,False,False,False,False,False,False,1,1,0,0,0,0,0.01770879282,0.01770879282,0.0,0.0,0.0,0.0,1.0,,1,,-1,,,,,,1,1,1,-1,0,0,0.2,1
ENVO:00000142,stream bank,0.00885439641,False,False,False,False,False,False,False,False,1,0,0,0,0,0,0.01770879282,0.0,0.0,0.0,0.0,0.0,1.0,,-1,,0,,,,,,0,1,-1,0,0,0,0.3,0
ENVO:00000143,river bank,0.008964021492,False,False,False,False,False,False,False,False,1,0,0,0,1,0,0.01770879282,0.0,0.0,0.0,0.0002192501644,0.0,1.0,,-1,too specific,0,,,,,,0,1,-1,0,0,0,0.3,0
ENVO:00000146,snow field,0.00885439641,False,False,False,False,False,False,False,False,0,1,0,0,0,0,0.0,0.01770879282,0.0,0.0,0.0,0.0,-1.0,,-1,,0,,,,,,-2,-1,-1,0,0,0,0.4,-2
ENVO:00000148,riffle,0.001425126069,False,False,False,False,False,False,False,False,0,0,0,0,13,0,0.0,0.0,0.0,0.0,0.002850252138,0.0,0.0,NEON. TODO: is this soil?,-1,,0,,,,,,-1,0,-1,0,0,0,0.6,-1
ENVO:00000150,coral reef,0.00885439641,False,False,False,False,False,False,False,False,1,0,0,0,0,0,0.01770879282,0.0,0.0,0.0,0.0,0.0,-1.0,soil,-1,water,0,,,,,,-2,-1,-1,0,0,0,0.4,-2
ENVO:00000151,sabkha,0.001754001316,False,False,False,False,False,False,False,False,0,0,0,0,16,0,0.0,0.0,0.0,0.0,0.003508002631,0.0,-1.0,keep for sediment?,0,,0,,,,,,-1,-1,0,0,0,0,0.6,-1
ENVO:00000153,headwater,0.00885439641,False,False,False,False,False,False,False,False,1,0,0,0,0,0,0.01770879282,0.0,0.0,0.0,0.0,0.0,0.0,,-1,,0,,,,,,-1,0,-1,0,0,0,0.6,-1
ENVO:00000155,cirque,0.00885439641,False,False,False,False,False,False,False,False,1,0,0,0,0,0,0.01770879282,0.0,0.0,0.0,0.0,0.0,0.0,,1,,0,,,,,,1,0,1,0,0,0,0.6,1
ENVO:00000161,banana plantation,0.0011829653,False,False,False,False,False,False,False,False,0,0,3,0,0,0,0.0,0.0,0.002365930599,0.0,0.0,0.0,-1.0,cur_land_use,-1,too specific,0,,,,,,-2,-1,-1,0,0,0,0.4,-2
ENVO:00000167,bar,0.01770879282,False,False,False,False,False,False,False,False,1,1,0,0,0,0,0.01770879282,0.01770879282,0.0,0.0,0.0,0.0,0.0,,-1,,-1,,,,,,-2,0,-1,-1,0,0,0.4,-2
ENVO:00000169,canyon,0.01770879282,False,False,False,False,False,False,False,False,1,1,0,0,0,0,0.01770879282,0.01770879282,0.0,0.0,0.0,0.0,0.0,,1,,-1,what?,,,,,0,0,1,-1,0,0,0.3,0
