	has_enum_range	has_preferred_unit	quantity_value	range_of_slot	angstrom	atmosphere	beats per minute	cardinal direction	centimeter	cm^2)	colony forming units per gram of dry weight	colony forming units per milliliter	cp at degree celsius	cubic centimeter per cubic centimeter	cubic feet	cubic meter	cubic meter per day	cubic meter per minute	cubic meter per second	day	days	degree	degree celsius	degrees	degrees api	dpi	ergs per square centimeter per second	g	gram	gram carbon per kilogram sample material	gram of air	gram per cubic centimeter	gram per cubic meter	gram per gram	gram per kilogram soil	gram per liter	gram per square meter	gram per square meter per day	grams	gray	hour	hours	inch	joule per degree celsius	kilogram	kilogram of air	kilogram per kilogram	kilogram per metre square	kilogram per square meter	kilopascal	kilowatt per square metre	kilowatts per square meter per day	knots	liter	liter per hour	liters per second	lumens per square meter	lux	md	meter	meter per second	meter per square second	microeinstein per square centimeter per second	microeinstein per square meter per second	microgram	microgram per cubic meter	microgram per gram	microgram per liter	microliter	micrometer	micromole oxygen per liter per hour	micromole per kilogram	micromole per liter	millibar	milliequivalent per liter	milligram	milligram chlorophyll a per cubic meter	milligram per cubic meter	milligram per cubic meter per day	milligram per kilogram	milligram per liter	milliliter	millimeter	millimeter mercury	millimeter per year	millisiemens per centimeter	millivolt	mol m-2 s-1	mol per liter per hour	mole per liter	mole per liter per hour	nanogram per liter	nanometer	number of cells per gram (or ml	number of photons per second per unit area	part per million	parts per billion	parts per million	per day	per month	per week	percent	percentage	pound	practical salinity unit	rad	square centimeter	square feet	square meter	ton	volts	weeks	year	years	FWD:{ambiguous_nucleotides};REV:{ambiguous_nucleotides}	^({add_recov_methods});{date_time_stamp}$	^({termLabel} \[{termID}\])|{integer}$	^{PMID}|{DOI}|{URL}$	^{PMID}|{DOI}|{URL}|{text}$	^{adapter_A_DNA_sequence};{adapter_B_DNA_sequence}$	^{agrochemical_name};{amount} {unit};{date_time_stamp}$	^{ambiguous_nucleotides}$	^{boolean};(?:adverse event|non-compliance|lost to follow up|other)$	^{duration}$	^{float} *- *{float} {unit}$	^{float} days$	^{integer} {text}$	^{integer} {text}}$	^{integer}%\s*ANI;\s*{integer}%\s*AF;\s*{text}$	^{lat} {lon}$	^{name};{float} {unit}$	^{particulate_matter_name};{float} {unit}$	^{room_name};{room_number}$	^{scientific_float}( *- *{scientific_float})? *{text}$	^{software};{version};{parameters}$	^{termLabel} \[{termID}\]$	^{text} \[{NCBItaxon_id}\]$	^{text}: {text}, {text}$	^{text}|({termLabel} \[{termID}\])$	^{text}|{PMID}|{DOI}|{URL}$	acid	act	activ	add	admin	age	air	al	alkalinity	am	amp	animal	annual	antibiotic	appr	area	assembly	avg	bac	bin	biocide	biol	biomass	biotic	blood	body	build	built	carb	ceil	check	chem	class	clean	climate	collect	color	comp	compl	cond	condt	cons	cont	contact	contam	content	cool	count	cover	crop	cult	cur	data	date	db	deliv	dem	density	depth	device	dew	diet	dioxide	dis	disease	disord	diss	dna	door	dur	env	environment	equip	event	exp	ext	extr	fam	farm	feat	ferm	fertilizer	finish	floor	fluid	food	frac	freq	frict	fw	gaseous	genome	geo	geol	growth	hcr	health	heat	heavy	height	hist	horizon	host	humidity	id	ident	inc	indoor	info	infra	inorg	intended	iron	isol	kit	label	land	last	lib	life	light	link	lithology	loc	local	location	lysis	mass	mat	matter	mean	med	media	medium	metal	metals	meth	method	microb	mode	moisture	mold	month	name	nitro	nose	nucl	num	number	nutr	occup	of	org	orient	otu	out	oxy	oxygen	pH	pack	param	part	particles	pc	pcr	percent	ph	phosp	phosphate	photosynt	plant	point	porosity	pos	precpt	pred	prep	preserv	press	pressure	primary	proc	prod	product	qual	quality	rate	recover	ref	regm	rel	rep	result	room	root	route	salinity	samp	san	sat	sc	scale	score	screen	season	seq	sequencing	serovar	sex	shading	share	shared	site	six	size	slope	software	soil	soluble	sort	source	space	spec	specific	spikein	sr	stage	start	stat	state	status	stor	store	struc	study	subspecf	sulfate	surf	suspend	symbiont	syst	target	tax	taxid	tech	temp	texture	thermal	throat	time	tot	train	transmission	transport	trav	treat	treatment	tvdss	typ	type	urogenit	use	vegetation	vel	ventilation	vfa	vol	wall	water	weather	well	wga	wind	window	x16s
last_clean	False		False	datetime																																																																																																																																																																										True																																																																																				True																																																																																																																																																													
lat_lon	False		False	string																																																																																																																														True																																																																																																																																																																																																																																																																																													
lib_layout	True		False	LibLayoutEnum																																																																																																																																																																																																																																																															True																																																																																																																																																												
lib_reads_seqd	False		False	integer																																																																																																																																																																																																																																																															True																																																																																																																																																												
lib_screen	False		False	string																																																																																																																																																																																																																																																															True																																																																																					True																																																																							
lib_size	False		False	integer																																																																																																																																																																																																																																																															True																																																																																																True																																																												
lib_vector	False		False	string																																																																																																																																																																																																																																																															True																																																																																																																																																												
library_prep_kit	False		False	string																																																																																																																																																																																																																																																											True																																																														True																																																																																																		
light_intensity	False	True	True	string																																																						True																																																																												True																																																																																																																															True																																																																																																																																																										
light_regm	False	True	False	string	True																																																					True												True																							True																																																																																																																																																																								True																																																																					True																																																																																					
light_type	True		False	LightTypeEnum																																																																																																																																																																																																																																																																	True																																																																																																																																											True															
link_addit_analys	False		False	string																																																																																																																		True																																																																																																																																																True																																																																																																																																																									
link_class_info	False		False	string																																																																																																																																																																									True																																																																												True													True																																																																																																																																																									
link_climate_info	False		False	string																																																																																																																		True																																																									True																																																																										True													True																																																																																																																																																									
lithology	True		False	LithologyEnum																																																																																																																																																																																																																																																																			True																																																																																																																																																								
liver_disord	False		False	string																																																																																																																																																																																																										True																																																																																																																																																																																																																	
local_class	False		False	string																																																																																																																																																																									True																																																																																												True																																																																																																																																																						
local_class_meth	False		False	string																																																																																																																		True																																																							True																																																																																												True												True																																																																																																																																										
lot_number	False		False	string																																																																																																																																																																																																																																																																																													True																																																																																																																														
mag_cov_software	True		False	MagCovSoftwareEnum																																																																																																																																																																																																																																																																																																																																																																	True																																																										
magnesium	False	True	True	string																																																																				True									True									True								True																																				True																																																																																																																																																																																																																																																																																									
maternal_health_stat	False		False	string																																																																																																																																																																																																																																									True																																																																																																																																				True																																														
max_occup	False		True	string																																																																																																																											True																																																																																																																																																																				True																																																																																																																												
mean_frict_vel	False	True	True	string																																																									True																																																																									True																																																																																															True																																										True																																																																																																																																					True											
mean_peak_frict_vel	False	True	True	string																																																									True																																																																									True																																																																																															True																																										True																																																																																																																																					True											
mech_struc	True		False	MechStrucEnum																																																																																																																																																																																																																																																																																																																																																																																		True																																									
mechanical_damage	False		False	string																																																																																																																																																																																																																																																																																																																																																																																																																											
medic_hist_perform	False		False	boolean																																																																																																																																																																																																																																													True																																																																																																																																																																														
menarche	False		False	datetime																																																																																																																																																																																																																																																																																																																																																																																																																											
menopause	False		False	datetime																																																																																																																																																																																																																																																																																																																																																																																																																											
methane	False	True	True	string																																																																					True																								True	True																																				True																																																																																																																																																																																																																																																																																									
micro_biomass_meth	False		False	string																																																																																																																		True																																													True																																																																																																																		True																																																																																																																																										
microb_cult_med	False		False	string																																																																																																																																							True																																																				True																																																																																	True							True																																																																																																																																								
microb_start	False		False	string																																																																																																																																																																																																																																																																																			True																																																																																									True																																															
microb_start_count	False	True	False	string							True	True																																																																																																																																																																																True																																																																																											True																																																																																									True																																															
microb_start_inoc	False	True	False	string																									True																																															True																																																										True																																																																																																																																																	True																																																																																									True																																															
microb_start_prep	False		False	string																																																																																																																																																																																																																																																																																			True																																						True																																																			True																																															
microb_start_source	False		False	string																																																																																																																																																																																																																																																																																			True																																																																																		True							True																																															
microb_start_taxID	False		False	string																																																																																																																	True																																																																																																																																																																		True																																																																																									True																																															
microbial_biomass	False	True	True	string																															True										True																																																																	True																								True																													True																																																																																																																																																																																																																																																												
mid	False		False	string																																																																																																																						True																																																																																																																																																																																																																																																																																																					
mineral_nutr_regm	False	True	False	string																									True																																																				True									True																																																																																																																																																																																																								True																																								True																																																																																					
misc_param	False		False	string																																																																																																																																																																																																																																																																																																									True																																																																																																																		
mode_transmission	True		False	ModeTransmissionEnum																																																																																																																																																																																																																																																																																				True																																																																																																																	True																						
n_alkanes	False		False	string																																																																																																																																																																																																																																																																																																																																																																																																																											
neg_cont_type	True		False	NegContTypeEnum																																																																																																																																																																																			True																																																																																																																																																																																																																									True															
nitrate	False	True	True	string																																																																					True								True																	True																																				True																																																																																																																																																																																																																																																																																									
nitrite	False	True	True	string																																																																					True								True																	True																																				True																																																																																																																																																																																																																																																																																									
nitro	False	True	True	string																																																																					True																																																													True																																																																																																																																																							True																																																																																																																																		
non_min_nutr_regm	False	True	False	string																									True																																																				True									True																																																																																																																																																																																																								True																																								True																																																																																					
nose_mouth_teeth_throat_disord	False		False	string																																																																																																																																																																																																										True																																																																																True																																																																																																							True																										
nose_throat_disord	False		False	string																																																																																																																																																																																																										True																																																																																True																																																																																																							True																										
nucl_acid_amp	False		False	string																																																																																																																		True																							True										True																																																																																																																																								True																																																																																																																																
nucl_acid_ext	False		False	string																																																																																																																		True																							True																																																																											True																																																																							True																																																																																																																																
nucl_acid_ext_kit	False		False	string																																																																																																																																									True																																																																											True																																							True																																True																																																																																																																																
num_replicons	False		False	integer																																																																																																																																																																																																																																																																																												True																																																																																																																															
num_samp_collect	False		False	string																																																																																																																																		True																																										True																																																																																																																True																																																		True																																																																													
number_contig	False		False	integer																																																																																																																																																																																																																																																																																													True																																																																																																																														
number_pets	False		True	string																																																																																																																											True																																																																																																																																																																		True																																																																																																																														
number_plants	False		True	string																																																																																																																											True																																																																																																																																																																		True																																																																																																																														
number_resident	False		True	string																																																																																																																											True																																																																																																																																																																		True																																																																																																																														
occup_density_samp	False		True	float																																																																																																																																																																																																		True																																																																																													True																																															True																																																																													
occup_document	True		False	OccupDocumentEnum																																																																																																																																																																																																																																																																																															True																																																																																																																												
occup_samp	False		True	float																																																																																																																											True																																																																																																																																																																				True																																															True																																																																													
org_carb	False		True	string																																																																																																																																		True																																			True																																																																																																																												True																																																																																																																										
org_count_qpcr_info	False	True	False	string						True																																																																																				True																																																																																														True																																																													True																																												True																																																																																																																										
org_matter	False	True	True	string																																																																True																																																																		True																																																																																																																																								True																							True																																																																																																																										
org_nitro	False		True	string																																																																																																																																		True																																																																																																																																																							True								True																																																																																																																										
org_particles	False	True	False	string																																True																																																																																																																																																																																																																																																																	True										True																																																																																																																
organism_count	False		True	string																																																																																																																																																																																								True																																																																																																																																																																																																																																			
otu_class_appr	False		False	string																																																																																																																													True																										True																		True																																																																																																																										True																																																																																																																								
otu_db	False		False	string																																																																																																																																																																																															True																																																																																																				True																																																																																																																								
otu_seq_comp_appr	False		False	string																																																																																																																																																							True																							True																																																																																																																					True																																																			True																																																																					
owc_tvdss	False	True	True	string																																																								True																																																																										True																																																																																																																																																																																																																																																																								True																	
oxy_stat_samp	True		False	OxyStatSampEnum																																																																																																																																																																																																																																																																																																					True																																									True																															True																																														
oxygen	False	True	True	string																																																																													True																	True																																				True																																																																																																																																																																				True																																																																																																																					
part_org_carb	False		True	string																																																																																																																																		True																																			True																																																																																																																												True									True																																																																																																																	
part_org_nitro	False	True	True	string																																																																True					True																																																													True																																																																																																																																																							True								True									True																																																																																																																	
part_plant_animal	False		False	string																																																																																																																																																				True																																																																																																																																																						True									True																																																																																																								
particle_class	False	True	False	string																																																																		True																																																																																																							True																																																																																																																																																																																																																																																		
pathogenicity	False		False	string																																																																																																																																																																																																																																																																																																																																																																																																																											
pcr_cond	False		False	string																																																																																																																																																																																True																																																																																																																													True																																																																																																														
pcr_primers	False		False	string																																																																																																															True																																																																																																																																																																																														True																																																																																																														
permeability	False	True	False	string																																																							True																																																																																																																																																																																																																																																																																																																																																																				
perturbation	False		False	string																																																																																																																																																																																																																																																																																																																																																																																																																											
pesticide_regm	False	True	False	string																									True																																																				True									True																																																																																																																																																																																																																																																True																																																																																					
pet_farm_animal	False		False	string																																																																																																																																																				True																																																																			True																																																																																																																																																																																																				
petroleum_hydrocarb	False	True	True	string																																																																					True																																																													True																																																																																																																																																																																																																																																																																									
ph	False		False	float																																																																																																																																																																																																																																																																																																															True																																																																																																												
ph_meth	False		False	string																																																																																																																		True																																																																																																																																																															True																														True																																																																																																												
ph_regm	False		False	string																																																																																																																																																																																																																																																																																																															True																							True																																																																																					
phaeopigments	False	True	False	string																																																																										True																																																																																																																																																																																																																																																																																																																																																	
phosphate	False	True	True	string																																																																					True																																																													True																																																																																																																																																																															True																																																																																																										
phosplipid_fatt_acid	False		False	string																																																																																																																																									True																																																																																																																																																																																																																																																																																		
photon_flux	False	True	True	string																																																																																											True																																							True																																																																																																																																																																																																																																																																																									
photosynt_activ	False	True	False	string																																																																																				True																																														True									True																																																																																																																																																																							True																																																																																																									
photosynt_activ_meth	False		False	string																																																																																																																			True																								True																																																																																																																																						True																																	True																																																																																																									
plant_growth_med	False		False	string																																																																																																																																																																																																																																							True																																					True																																							True																																																																																																								
plant_part_maturity	False		False	string																																																																																																																																																																																																																																																																																																										True									True																																																																																																								
