_id,total_count,parsed_quantity_count,dimensional_count,range_like_count,range_like_with_units_count,harmonized_name,parsed_quantity_proportion,dimensional_proportion,range_like_proportion,range_like_with_units_proportion
67f033c33586ad429bb5106e,5162,191,0,191,0,aminopept_act,0.03700116234017822,0,0.03700116234017822,0
67f033c33586ad429bb5106f,19518,17083,3076,17083,3076,conduc,0.8752433650988831,0.15759811456091813,0.8752433650988831,0.15759811456091813
67f033c33586ad429bb51070,490,490,0,490,0,number_pets,1,0,1,0
67f033c33586ad429bb51071,18747,11159,1676,11159,1676,diss_org_carb,0.5952419053715261,0.08940097082199819,0.5952419053715261,0.08940097082199819
67f033c33586ad429bb51072,98,4,4,4,4,crop_yield,0.04081632653061224,0.04081632653061224,0.04081632653061224,0.04081632653061224
67f033c33586ad429bb51073,82,2,0,2,0,sulfate_fw,0.024390243902439025,0,0.024390243902439025,0
67f033c33586ad429bb51074,67,58,58,58,58,association_duration,0.8656716417910447,0.8656716417910447,0.8656716417910447,0.8656716417910447
67f033c33586ad429bb51075,729,461,15,461,15,root_med_ph,0.6323731138545954,0.0205761316872428,0.6323731138545954,0.0205761316872428
67f033c33586ad429bb51076,4725,3298,2029,3298,2029,soluble_react_phosp,0.6979894179894179,0.4294179894179894,0.6979894179894179,0.4294179894179894
67f033c33586ad429bb51077,48526,30816,5126,30816,5126,tot_nitro,0.6350410089436591,0.10563409306351235,0.6350410089436591,0.10563409306351235
67f033c33586ad429bb51078,26798012,98878,23154,98878,23154,geo_loc_name,0.003689751314388545,0.0008640193160597137,0.003689751314388545,0.0008640193160597137
67f033c33586ad429bb51079,1524,62,0,62,0,bac_resp,0.04068241469816273,0,0.04068241469816273,0
67f033c33586ad429bb5107a,9589,9044,6242,9044,6242,annual_temp,0.9431640421316091,0.6509542183752216,0.9431640421316091,0.6509542183752216
67f033c33586ad429bb5107b,10388,677,278,677,278,al_sat,0.06517135155949172,0.026761648055448596,0.06517135155949172,0.026761648055448596
67f033c33586ad429bb5107c,17301,7847,1198,7847,1198,potassium,0.45355759782671523,0.06924455233801514,0.45355759782671523,0.06924455233801514
67f033c33586ad429bb5107d,252,252,1,252,1,built_struc_age,1,0.003968253968253968,1,0.003968253968253968
67f033c33586ad429bb5107e,34265,24802,8298,24802,8298,diss_oxygen,0.7238289800087553,0.24217131183423318,0.7238289800087553,0.24217131183423318
67f033c33586ad429bb5107f,9747,3702,2453,3702,2453,part_org_carb,0.37980917205293935,0.251667179645019,0.37980917205293935,0.251667179645019
67f033c33586ad429bb51080,2226,1835,1605,1835,1605,season_temp,0.8243486073674753,0.7210242587601078,0.8243486073674753,0.7210242587601078
67f033c33586ad429bb51081,4636999,2613159,1124578,2613159,1124578,age,0.563545301605629,0.242522804080829,0.563545301605629,0.242522804080829
67f033c33586ad429bb51082,21926,11419,1886,11419,1886,sulfate,0.5207972270363952,0.0860166012952659,0.5207972270363952,0.0860166012952659
67f033c33586ad429bb51083,1556,1383,1264,1383,1264,barometric_press,0.8888174807197944,0.8123393316195373,0.8888174807197944,0.8123393316195373
67f033c33586ad429bb51084,1214740,981413,538444,981413,538444,depth,0.8079202133789947,0.4432586397089089,0.8079202133789947,0.4432586397089089
67f033c33586ad429bb51085,24243,15465,4417,15465,4417,silicate,0.6379160994926371,0.18219692282308295,0.6379160994926371,0.18219692282308295
67f033c33586ad429bb51086,16654,7399,293,7399,293,diss_carb_dioxide,0.44427765101477124,0.017593370961931067,0.44427765101477124,0.017593370961931067
