slot,used_in_nmdc
coll_site_geo_feat,False
collection_date,True
compl_appr,False
compl_score,False
compl_software,False
conduc,True
cons_food_stor_dur,False
cons_food_stor_temp,False
cons_purch_date,False
cons_qty_purchased,False
contam_score,False
contam_screen_input,False
contam_screen_param,False
cool_syst_id,True
crop_rotation,True
crop_yield,False
cult_isol_date,False
cult_result,False
cult_result_org,False
cult_root_med,True
cult_target,False
cur_land_use,True
cur_vegetation,True
cur_vegetation_meth,True
date_extr_weath,False
date_last_rain,True
decontam_software,False
density,True
depos_env,True
depth,True
dermatology_disord,False
detec_type,False
dew_point,True
diet_last_six_month,False
dietary_claim_use,False
diether_lipids,True
diss_carb_dioxide,True
diss_hydrogen,True
diss_inorg_carb,True
diss_inorg_nitro,True
diss_inorg_phosp,True
diss_iron,True
diss_org_carb,True
diss_org_nitro,True
diss_oxygen,True
diss_oxygen_fluid,True
dominant_hand,False
door_comp_type,True
door_cond,True
door_direct,True
door_loc,True
door_mat,True
door_move,True
door_size,True
door_type,True
door_type_metal,True
door_type_wood,True
door_water_mold,True
douche,False
down_par,True
drainage_class,True
drawings,True
drug_usage,False
efficiency_percent,True
elev,True
elevator,True
emulsions,True
encoded_traits,False
enrichment_protocol,False
env_broad_scale,True
env_local_scale,True
env_medium,True
env_monitoring_zone,False
escalator,True
estimated_size,False
ethnicity,False
ethylbenzene,True
exp_duct,True
exp_pipe,True
experimental_factor,True
ext_door,True
ext_wall_orient,True
ext_window_orient,True
extr_weather_event,False
extrachrom_elements,False
extreme_event,True
facility_type,False
fao_class,True
farm_equip,False
farm_equip_san,False
farm_equip_san_freq,False
farm_equip_shared,False
farm_water_source,False
feat_pred,False
ferm_chem_add,False
ferm_chem_add_perc,False
ferm_headspace_oxy,False
ferm_medium,False
ferm_pH,False
ferm_rel_humidity,False
ferm_temp,False
ferm_time,False
ferm_vessel,False
fertilizer_admin,False
fertilizer_date,False
fertilizer_regm,True
field,True
filter_type,True
fire,True
fireplace_type,True
flooding,True
floor_age,True
floor_area,True
floor_cond,True
floor_count,True
floor_finish_mat,True
floor_struc,True
floor_thermal_mass,True
floor_water_mold,True
fluor,True
foetal_health_stat,False
food_additive,False
food_allergen_label,False
food_animal_and_animal_feed_data,False
food_clean_proc,False
food_contact_surf,False
food_contain_wrap,False
food_cooking_proc,False
food_dis_point,False
food_dis_point_city,False
food_farm_environment_data,False
food_food_production_facility_data,False
food_harvest_proc,False
food_human_foods_data,False
food_ingredient,False
food_name_status,False
food_origin,False
food_pack_capacity,False
food_pack_integrity,False
food_pack_medium,False
food_preserv_proc,False
food_prior_contact,False
food_prod,False
food_prod_char,False
food_prod_synonym,False
food_product_qual,False
food_product_type,False
food_quality_date,False
food_source,False
food_source_age,False
food_trace_list,False
food_trav_mode,False
food_trav_vehic,False
food_treat_proc,False
freq_clean,True
freq_cook,True
fungicide_regm,True
furniture,True
gaseous_environment,True
gaseous_substances,True
gastrointest_disord,False
gender_restroom,True
genetic_mod,True
geo_loc_name,True
gestation_state,False
glucosidase_act,True
gravidity,True
gravity,True
growth_facil,True
growth_habit,True
growth_hormone_regm,True
growth_medium,False
gynecologic_disord,False
hall_count,True
handidness,True
hc_produced,True
hcr,True
hcr_fw_salinity,True
hcr_geol_age,True
hcr_pressure,True
hcr_temp,True
heat_cool_type,True
heat_deliv_loc,True
heat_sys_deliv_meth,True
heat_system_id,True
heavy_metals,True
heavy_metals_meth,True
height_carper_fiber,True
herbicide_regm,True
horizon_meth,True
host_age,True
host_associated_data,False
host_body_habitat,True
host_body_mass_index,False
host_body_product,True
host_body_site,True
host_body_temp,True
host_cellular_loc,False
host_color,True
host_common_name,True
host_dependence,False
host_diet,True
host_disease_stat,True
host_dry_mass,True
host_fam_rel,False
host_genotype,True
host_growth_cond,True
host_height,True
host_hiv_stat,False
host_infra_spec_name,False
host_infra_spec_rank,False
host_last_meal,True
host_length,True
host_life_stage,True
host_number,False
host_occupation,False
host_of_host_coinf,False
host_of_host_disease,False
host_of_host_env_loc,False
host_of_host_env_med,False
host_of_host_fam_rel,False
host_of_host_geno,False
host_of_host_gravid,False
host_of_host_infname,False
host_of_host_infrank,False
host_of_host_name,False
host_of_host_pheno,False
host_of_host_sub_id,False
host_of_host_taxid,False
host_of_host_totmass,False
host_phenotype,True
host_pred_appr,False
host_pred_est_acc,False
host_pulse,False
host_sex,True
host_shape,True
host_spec_range,False
host_specificity,False
host_subject_id,True
host_subspecf_genlin,True
host_substrate,True
host_symbiont,True
host_taxid,True
host_tot_mass,True
host_wet_mass,True
hrt,False
human_associated_data,False
human_gut_data,False
human_oral_data,False
human_skin_data,False
human_vaginal_data,False
humidity,True
humidity_regm,True
hydrocarbon_resources_cores_data,False
hydrocarbon_resources_fluids_swabs_data,False
hygienic_area,False
hysterectomy,False
ihmc_medication_code,False
indoor_space,True
indoor_surf,True
indust_eff_percent,True
inorg_particles,True
inside_lux,True
int_wall_cond,True
intended_consumer,False
isol_growth_condt,False
iw_bt_date_well,True
iwf,True
kidney_disord,False
last_clean,True
lat_lon,True
lib_layout,False
lib_reads_seqd,False
lib_screen,False
lib_size,False
lib_vector,False
library_prep_kit,False
light_intensity,True
light_regm,True
light_type,True
link_addit_analys,True
link_class_info,True
link_climate_info,True
lithology,True
liver_disord,False
local_class,True
local_class_meth,True
lot_number,False
mag_cov_software,False
magnesium,True
maternal_health_stat,False
max_occup,True
mean_frict_vel,True
mean_peak_frict_vel,True
mech_struc,True
mechanical_damage,True
medic_hist_perform,False
menarche,False
menopause,False
methane,True
micro_biomass_meth,True
microb_cult_med,False
microb_start,False
microb_start_count,False
microb_start_inoc,False
microb_start_prep,False
microb_start_source,False
microb_start_taxID,False
microbial_biomass,True
microbial_mat_biofilm_data,False
mid,False
migs_ba_agriculture_data,False
migs_ba_air_data,False
migs_ba_built_environment_data,False
migs_ba_data,False
migs_ba_food_animal_and_animal_feed_data,False
migs_ba_food_farm_environment_data,False
migs_ba_food_food_production_facility_data,False
migs_ba_food_human_foods_data,False
migs_ba_host_associated_data,False
migs_ba_human_associated_data,False
migs_ba_human_gut_data,False
migs_ba_human_oral_data,False
migs_ba_human_skin_data,False
migs_ba_human_vaginal_data,False
migs_ba_hydrocarbon_resources_cores_data,False
migs_ba_hydrocarbon_resources_fluids_swabs_data,False
migs_ba_microbial_mat_biofilm_data,False
migs_ba_miscellaneous_natural_or_artificial_environment_data,False
migs_ba_plant_associated_data,False
migs_ba_sediment_data,False
migs_ba_soil_data,False
migs_ba_symbiont_associated_data,False
migs_ba_wastewater_sludge_data,False
migs_ba_water_data,False
migs_eu_agriculture_data,False
migs_eu_air_data,False
migs_eu_built_environment_data,False
migs_eu_data,False
migs_eu_food_animal_and_animal_feed_data,False
migs_eu_food_farm_environment_data,False
migs_eu_food_food_production_facility_data,False
migs_eu_food_human_foods_data,False
migs_eu_host_associated_data,False
migs_eu_human_associated_data,False
migs_eu_human_gut_data,False
migs_eu_human_oral_data,False
migs_eu_human_skin_data,False
migs_eu_human_vaginal_data,False
migs_eu_hydrocarbon_resources_cores_data,False
migs_eu_hydrocarbon_resources_fluids_swabs_data,False
migs_eu_microbial_mat_biofilm_data,False
migs_eu_miscellaneous_natural_or_artificial_environment_data,False
migs_eu_plant_associated_data,False
migs_eu_sediment_data,False
migs_eu_soil_data,False
migs_eu_symbiont_associated_data,False
migs_eu_wastewater_sludge_data,False
migs_eu_water_data,False
migs_org_agriculture_data,False
migs_org_air_data,False
migs_org_built_environment_data,False
migs_org_data,False
migs_org_food_animal_and_animal_feed_data,False
migs_org_food_farm_environment_data,False
migs_org_food_food_production_facility_data,False
migs_org_food_human_foods_data,False
migs_org_host_associated_data,False
migs_org_human_associated_data,False
migs_org_human_gut_data,False
migs_org_human_oral_data,False
migs_org_human_skin_data,False
migs_org_human_vaginal_data,False
migs_org_hydrocarbon_resources_cores_data,False
migs_org_hydrocarbon_resources_fluids_swabs_data,False
migs_org_microbial_mat_biofilm_data,False
migs_org_miscellaneous_natural_or_artificial_environment_data,False
migs_org_plant_associated_data,False
migs_org_sediment_data,False
migs_org_soil_data,False
migs_org_symbiont_associated_data,False
migs_org_wastewater_sludge_data,False
migs_org_water_data,False
migs_pl_agriculture_data,False
migs_pl_air_data,False
migs_pl_built_environment_data,False
migs_pl_data,False
migs_pl_food_animal_and_animal_feed_data,False
migs_pl_food_farm_environment_data,False
migs_pl_food_food_production_facility_data,False
migs_pl_food_human_foods_data,False
migs_pl_host_associated_data,False
migs_pl_human_associated_data,False
migs_pl_human_gut_data,False
migs_pl_human_oral_data,False
migs_pl_human_skin_data,False
migs_pl_human_vaginal_data,False
migs_pl_hydrocarbon_resources_cores_data,False
migs_pl_hydrocarbon_resources_fluids_swabs_data,False
migs_pl_microbial_mat_biofilm_data,False
migs_pl_miscellaneous_natural_or_artificial_environment_data,False
migs_pl_plant_associated_data,False
migs_pl_sediment_data,False
migs_pl_soil_data,False
migs_pl_symbiont_associated_data,False
migs_pl_wastewater_sludge_data,False
migs_pl_water_data,False
migs_vi_agriculture_data,False
migs_vi_air_data,False
migs_vi_built_environment_data,False
migs_vi_data,False
migs_vi_food_animal_and_animal_feed_data,False
migs_vi_food_farm_environment_data,False
migs_vi_food_food_production_facility_data,False
migs_vi_food_human_foods_data,False
migs_vi_host_associated_data,False
migs_vi_human_associated_data,False
migs_vi_human_gut_data,False
migs_vi_human_oral_data,False
migs_vi_human_skin_data,False
migs_vi_human_vaginal_data,False
migs_vi_hydrocarbon_resources_cores_data,False
migs_vi_hydrocarbon_resources_fluids_swabs_data,False
migs_vi_microbial_mat_biofilm_data,False
migs_vi_miscellaneous_natural_or_artificial_environment_data,False
migs_vi_plant_associated_data,False
migs_vi_sediment_data,False
migs_vi_soil_data,False
migs_vi_symbiont_associated_data,False
migs_vi_wastewater_sludge_data,False
migs_vi_water_data,False
mimag_agriculture_data,False
mimag_air_data,False
mimag_built_environment_data,False
mimag_data,False
mimag_food_animal_and_animal_feed_data,False
mimag_food_farm_environment_data,False
mimag_food_food_production_facility_data,False
mimag_food_human_foods_data,False
mimag_host_associated_data,False
mimag_human_associated_data,False
mimag_human_gut_data,False
mimag_human_oral_data,False
mimag_human_skin_data,False
mimag_human_vaginal_data,False
mimag_hydrocarbon_resources_cores_data,False
mimag_hydrocarbon_resources_fluids_swabs_data,False
mimag_microbial_mat_biofilm_data,False
mimag_miscellaneous_natural_or_artificial_environment_data,False
mimag_plant_associated_data,False
mimag_sediment_data,False
mimag_soil_data,False
mimag_symbiont_associated_data,False
mimag_wastewater_sludge_data,False
mimag_water_data,False
mimarks_c_agriculture_data,False
mimarks_c_air_data,False
mimarks_c_built_environment_data,False
mimarks_c_data,False
mimarks_c_food_animal_and_animal_feed_data,False
mimarks_c_food_farm_environment_data,False
mimarks_c_food_food_production_facility_data,False
mimarks_c_food_human_foods_data,False
mimarks_c_host_associated_data,False
mimarks_c_human_associated_data,False
mimarks_c_human_gut_data,False
mimarks_c_human_oral_data,False
mimarks_c_human_skin_data,False
mimarks_c_human_vaginal_data,False
mimarks_c_hydrocarbon_resources_cores_data,False
mimarks_c_hydrocarbon_resources_fluids_swabs_data,False
mimarks_c_microbial_mat_biofilm_data,False
mimarks_c_miscellaneous_natural_or_artificial_environment_data,False
mimarks_c_plant_associated_data,False
mimarks_c_sediment_data,False
mimarks_c_soil_data,False
mimarks_c_symbiont_associated_data,False
mimarks_c_wastewater_sludge_data,False
mimarks_c_water_data,False
mimarks_s_agriculture_data,False
mimarks_s_air_data,False
mimarks_s_built_environment_data,False
mimarks_s_data,False
mimarks_s_food_animal_and_animal_feed_data,False
mimarks_s_food_farm_environment_data,False
mimarks_s_food_food_production_facility_data,False
mimarks_s_food_human_foods_data,False
mimarks_s_host_associated_data,False
mimarks_s_human_associated_data,False
mimarks_s_human_gut_data,False
mimarks_s_human_oral_data,False
mimarks_s_human_skin_data,False
mimarks_s_human_vaginal_data,False
mimarks_s_hydrocarbon_resources_cores_data,False
mimarks_s_hydrocarbon_resources_fluids_swabs_data,False
mimarks_s_microbial_mat_biofilm_data,False
mimarks_s_miscellaneous_natural_or_artificial_environment_data,False
mimarks_s_plant_associated_data,False
mimarks_s_sediment_data,False
mimarks_s_soil_data,False
mimarks_s_symbiont_associated_data,False
mimarks_s_wastewater_sludge_data,False
mimarks_s_water_data,False
mims_agriculture_data,False
mims_air_data,False
mims_built_environment_data,False
mims_data,False
mims_food_animal_and_animal_feed_data,False
mims_food_farm_environment_data,False
mims_food_food_production_facility_data,False
mims_food_human_foods_data,False
mims_host_associated_data,False
mims_human_associated_data,False
mims_human_gut_data,False
mims_human_oral_data,False
mims_human_skin_data,False
mims_human_vaginal_data,False
mims_hydrocarbon_resources_cores_data,False
mims_hydrocarbon_resources_fluids_swabs_data,False
mims_microbial_mat_biofilm_data,False
mims_miscellaneous_natural_or_artificial_environment_data,False
mims_plant_associated_data,False
mims_sediment_data,False
mims_soil_data,False
mims_symbiont_associated_data,False
mims_wastewater_sludge_data,False
mims_water_data,False
mineral_nutr_regm,True
misag_agriculture_data,False
misag_air_data,False
misag_built_environment_data,False
misag_data,False
misag_food_animal_and_animal_feed_data,False
misag_food_farm_environment_data,False
misag_food_food_production_facility_data,False
misag_food_human_foods_data,False
misag_host_associated_data,False
misag_human_associated_data,False
misag_human_gut_data,False
misag_human_oral_data,False
misag_human_skin_data,False
misag_human_vaginal_data,False
misag_hydrocarbon_resources_cores_data,False
misag_hydrocarbon_resources_fluids_swabs_data,False
misag_microbial_mat_biofilm_data,False
misag_miscellaneous_natural_or_artificial_environment_data,False
misag_plant_associated_data,False
misag_sediment_data,False
misag_soil_data,False
misag_symbiont_associated_data,False
misag_wastewater_sludge_data,False
misag_water_data,False
misc_param,True
miscellaneous_natural_or_artificial_environment_data,False
miuvig_agriculture_data,False
miuvig_air_data,False
miuvig_built_environment_data,False
miuvig_data,False
miuvig_food_animal_and_animal_feed_data,False
miuvig_food_farm_environment_data,False
miuvig_food_food_production_facility_data,False
miuvig_food_human_foods_data,False
miuvig_host_associated_data,False
miuvig_human_associated_data,False
miuvig_human_gut_data,False
miuvig_human_oral_data,False
miuvig_human_skin_data,False
miuvig_human_vaginal_data,False
miuvig_hydrocarbon_resources_cores_data,False
miuvig_hydrocarbon_resources_fluids_swabs_data,False
miuvig_microbial_mat_biofilm_data,False
miuvig_miscellaneous_natural_or_artificial_environment_data,False
miuvig_plant_associated_data,False
miuvig_sediment_data,False
miuvig_soil_data,False
miuvig_symbiont_associated_data,False
miuvig_wastewater_sludge_data,False
miuvig_water_data,False
mode_transmission,False
n_alkanes,True
neg_cont_type,False
nitrate,True
nitrite,True
nitro,True
non_min_nutr_regm,True
nose_mouth_teeth_throat_disord,False
nose_throat_disord,False
nucl_acid_amp,True
nucl_acid_ext,False
nucl_acid_ext_kit,False
num_replicons,False
num_samp_collect,False
number_contig,False
number_pets,True
number_plants,True
number_resident,True
occup_density_samp,True
occup_document,True
occup_samp,True
org_carb,True
org_count_qpcr_info,True
org_matter,True
org_nitro,True
org_particles,True
organism_count,True
otu_class_appr,False
otu_db,False
otu_seq_comp_appr,False
owc_tvdss,True
oxy_stat_samp,True
oxygen,True
part_org_carb,True
part_org_nitro,True
part_plant_animal,False
particle_class,True
pathogenicity,False
pcr_cond,True
pcr_primers,True
permeability,True
perturbation,True
pesticide_regm,True
pet_farm_animal,False
petroleum_hydrocarb,True
ph,True
ph_meth,True
ph_regm,True
phaeopigments,True
phosphate,True
phosplipid_fatt_acid,True
photon_flux,True
photosynt_activ,False
photosynt_activ_meth,False
plant_associated_data,False
plant_growth_med,True
plant_part_maturity,False
plant_product,True
plant_reprod_crop,False
plant_sex,True
plant_struc,True
plant_water_method,False
ploidy,False
pollutants,True
pool_dna_extracts,False
porosity,True
pos_cont_type,False
potassium,True
pour_point,True
pre_treatment,True
pred_genome_struc,False
pred_genome_type,False
pregnancy,False
pres_animal_insect,True
pressure,True
prev_land_use_meth,True
previous_land_use,True
primary_prod,True
primary_treatment,True
prod_label_claims,False
prod_rate,True
prod_start_date,True
profile_position,True
project_name,False
propagation,False
pulmonary_disord,False
quad_pos,True
radiation_regm,True
rainfall_regm,True
reactor_type,True
reassembly_bin,False
redox_potential,True
ref_biomaterial,False
ref_db,False
rel_air_humidity,True
rel_humidity_out,True
rel_location,False
rel_samp_loc,True
rel_to_oxygen,False
repository_name,False
reservoir,True
resins_pc,True
room_air_exch_rate,True
room_architec_elem,True
room_condt,True
room_connected,True
room_count,True
room_dim,True
room_door_dist,True
room_door_share,True
room_hallway,True
room_loc,True
room_moist_dam_hist,True
room_net_area,True
room_occup,True
room_samp_pos,True
room_type,True
room_vol,True
room_wall_share,True
room_window_count,True
root_cond,True
root_med_carbon,True
root_med_macronutr,True
root_med_micronutr,True
root_med_ph,True
root_med_regl,True
root_med_solid,True
root_med_suppl,True
route_transmission,False
salinity,True
salt_regm,True
samp_capt_status,True
samp_collect_device,False
samp_collect_method,False
samp_collect_point,True
samp_dis_stage,True
samp_floor,True
samp_loc_condition,False
samp_loc_corr_rate,True
samp_mat_process,True
samp_md,True
samp_name,True
samp_pooling,False
samp_preserv,True
samp_purpose,False
samp_rep_biol,False
samp_rep_tech,False
samp_room_id,True
samp_size,True
samp_sort_meth,True
samp_source_mat_cat,False
samp_stor_device,False
samp_stor_media,False
samp_store_dur,True
samp_store_loc,True
samp_store_sol,False
samp_store_temp,True
samp_subtype,True
samp_surf_moisture,False
samp_taxon_id,True
samp_time_out,True
samp_transport_cond,True
samp_transport_cont,False
samp_transport_dur,False
samp_transport_temp,False
samp_tvdss,True
samp_type,True
samp_vol_we_dna_ext,False
samp_weather,True
samp_well_name,True
saturates_pc,True
sc_lysis_approach,False
sc_lysis_method,False
season,True
season_environment,True
season_humidity,False
season_precpt,True
season_temp,True
season_use,True
secondary_treatment,True
sediment_data,False
sediment_type,True
seq_meth,False
seq_quality_check,False
sequencing_kit,False
sequencing_location,False
serovar_or_serotype,False
sewage_type,True
sexual_act,False
shad_dev_water_mold,True
shading_device_cond,True
shading_device_loc,True
shading_device_mat,True
shading_device_type,True
sieving,True
silicate,True
sim_search_meth,False
size_frac,True
size_frac_low,True
size_frac_up,True
slope_aspect,True
slope_gradient,True
sludge_retent_time,True
smoker,False
sodium,True
soil_conductivity,False
soil_cover,False
soil_data,False
soil_horizon,True
soil_pH,False
soil_porosity,False
soil_temp,False
soil_texture,False
soil_texture_class,False
soil_texture_meth,True
soil_type,True
soil_type_meth,True
solar_irradiance,True
soluble_inorg_mat,True
soluble_org_mat,True
soluble_react_phosp,True
sop,False
sort_tech,False
source_mat_id,True
source_uvig,False
space_typ_state,True
spec_intended_cons,False
special_diet,False
specific,True
specific_host,False
specific_humidity,True
spikein_AMR,False
spikein_antibiotic,False
spikein_count,False
spikein_growth_med,False
spikein_metal,False
spikein_org,False
spikein_serovar,False
spikein_strain,False
sr_dep_env,True
sr_geol_age,True
sr_kerog_type,True
sr_lithology,True
standing_water_regm,True
ster_meth_samp_room,False
store_cond,True
study_complt_stat,False
study_design,False
study_inc_dur,False
study_inc_temp,False
study_timecourse,False
study_tmnt,False
subspecf_gen_lin,False
substructure_type,True
sulfate,True
sulfate_fw,True
sulfide,True
surf_air_cont,True
surf_humidity,True
surf_material,True
surf_moisture,True
surf_moisture_ph,True
surf_temp,True
suspend_part_matter,True
suspend_solids,True
sym_life_cycle_type,False
symbiont_associated_data,False
symbiont_host_role,False
tan,True
target_gene,True
target_subfragment,True
tax_class,False
tax_ident,False
temp,True
temp_out,True
tertiary_treatment,True
tidal_stage,True
tillage,True
time_last_toothbrush,False
time_since_last_wash,False
timepoint,False
tiss_cult_growth_med,True
toluene,True
tot_carb,True
tot_depth_water_col,True
tot_diss_nitro,True
tot_inorg_nitro,True
tot_iron,True
tot_nitro,True
tot_nitro_cont_meth,True
tot_nitro_content,True
tot_org_c_meth,True
tot_org_carb,True
tot_part_carb,True
tot_phosp,True
tot_phosphate,True
tot_sulfur,True
train_line,True
train_stat_loc,True
train_stop_loc,True
travel_out_six_month,False
trna_ext_software,False
trnas,False
trophic_level,False
turbidity,True
tvdss_of_hcr_press,True
tvdss_of_hcr_temp,True
twin_sibling,False
typ_occup_density,True
type_of_symbiosis,False
urine_collect_meth,False
urobiom_sex,False
urogenit_disord,False
urogenit_tract_disor,False
ventilation_rate,True
ventilation_type,True
vfa,True
vfa_fw,True
vir_ident_software,False
virus_enrich_appr,False
vis_media,True
viscosity,True
volatile_org_comp,True
wall_area,True
wall_const_type,True
wall_finish_mat,True
wall_height,True
wall_loc,True
wall_surf_treatment,True
wall_texture,True
wall_thermal_mass,True
wall_water_mold,True
wastewater_sludge_data,False
wastewater_type,True
water_cont_soil_meth,True
water_content,True
water_current,True
water_cut,True
water_data,False
water_feat_size,True
water_feat_type,True
water_frequency,False
water_pH,False
water_prod_rate,True
water_source_adjac,False
water_source_shared,False
water_temp_regm,True
watering_regm,True
weekday,True
weight_loss_3_month,False
wga_amp_appr,False
wga_amp_kit,False
win,True
wind_direction,True
wind_speed,True
window_cond,True
window_cover,True
window_horiz_pos,True
window_loc,True
window_mat,True
window_open_freq,True
window_size,True
window_status,True
window_type,True
window_vert_pos,True
window_water_mold,True
x16s_recover,False
x16s_recover_software,False
xylene,True
