slot	used_in_nmdc	exclusive_to_mixs_compliant_data
migs_ba_hydrocarbon_resources_fluids_swabs_data	False	True
migs_ba_microbial_mat_biofilm_data	False	True
migs_ba_miscellaneous_natural_or_artificial_environment_data	False	True
migs_ba_plant_associated_data	False	True
migs_ba_sediment_data	False	True
migs_ba_soil_data	False	True
migs_ba_symbiont_associated_data	False	True
migs_ba_wastewater_sludge_data	False	True
migs_ba_water_data	False	True
migs_eu_agriculture_data	False	True
migs_eu_air_data	False	True
migs_eu_built_environment_data	False	True
migs_eu_data	False	True
migs_eu_food_animal_and_animal_feed_data	False	True
migs_eu_food_farm_environment_data	False	True
migs_eu_food_food_production_facility_data	False	True
migs_eu_food_human_foods_data	False	True
migs_eu_host_associated_data	False	True
migs_eu_human_associated_data	False	True
migs_eu_human_gut_data	False	True
migs_eu_human_oral_data	False	True
migs_eu_human_skin_data	False	True
migs_eu_human_vaginal_data	False	True
migs_eu_hydrocarbon_resources_cores_data	False	True
migs_eu_hydrocarbon_resources_fluids_swabs_data	False	True
migs_eu_microbial_mat_biofilm_data	False	True
migs_eu_miscellaneous_natural_or_artificial_environment_data	False	True
migs_eu_plant_associated_data	False	True
migs_eu_sediment_data	False	True
migs_eu_soil_data	False	True
migs_eu_symbiont_associated_data	False	True
migs_eu_wastewater_sludge_data	False	True
migs_eu_water_data	False	True
migs_org_agriculture_data	False	True
migs_org_air_data	False	True
migs_org_built_environment_data	False	True
migs_org_data	False	True
migs_org_food_animal_and_animal_feed_data	False	True
migs_org_food_farm_environment_data	False	True
migs_org_food_food_production_facility_data	False	True
migs_org_food_human_foods_data	False	True
migs_org_host_associated_data	False	True
migs_org_human_associated_data	False	True
migs_org_human_gut_data	False	True
migs_org_human_oral_data	False	True
migs_org_human_skin_data	False	True
migs_org_human_vaginal_data	False	True
migs_org_hydrocarbon_resources_cores_data	False	True
migs_org_hydrocarbon_resources_fluids_swabs_data	False	True
migs_org_microbial_mat_biofilm_data	False	True
migs_org_miscellaneous_natural_or_artificial_environment_data	False	True
migs_org_plant_associated_data	False	True
migs_org_sediment_data	False	True
migs_org_soil_data	False	True
migs_org_symbiont_associated_data	False	True
migs_org_wastewater_sludge_data	False	True
migs_org_water_data	False	True
migs_pl_agriculture_data	False	True
migs_pl_air_data	False	True
migs_pl_built_environment_data	False	True
migs_pl_data	False	True
migs_pl_food_animal_and_animal_feed_data	False	True
migs_pl_food_farm_environment_data	False	True
migs_pl_food_food_production_facility_data	False	True
migs_pl_food_human_foods_data	False	True
migs_pl_host_associated_data	False	True
migs_pl_human_associated_data	False	True
migs_pl_human_gut_data	False	True
migs_pl_human_oral_data	False	True
migs_pl_human_skin_data	False	True
migs_pl_human_vaginal_data	False	True
migs_pl_hydrocarbon_resources_cores_data	False	True
migs_pl_hydrocarbon_resources_fluids_swabs_data	False	True
migs_pl_microbial_mat_biofilm_data	False	True
migs_pl_miscellaneous_natural_or_artificial_environment_data	False	True
migs_pl_plant_associated_data	False	True
migs_pl_sediment_data	False	True
migs_pl_soil_data	False	True
migs_pl_symbiont_associated_data	False	True
migs_pl_wastewater_sludge_data	False	True
migs_pl_water_data	False	True
migs_vi_agriculture_data	False	True
migs_vi_air_data	False	True
migs_vi_built_environment_data	False	True
migs_vi_data	False	True
migs_vi_food_animal_and_animal_feed_data	False	True
migs_vi_food_farm_environment_data	False	True
migs_vi_food_food_production_facility_data	False	True
migs_vi_food_human_foods_data	False	True
migs_vi_host_associated_data	False	True
migs_vi_human_associated_data	False	True
migs_vi_human_gut_data	False	True
migs_vi_human_oral_data	False	True
migs_vi_human_skin_data	False	True
migs_vi_human_vaginal_data	False	True
migs_vi_hydrocarbon_resources_cores_data	False	True
migs_vi_hydrocarbon_resources_fluids_swabs_data	False	True
migs_vi_microbial_mat_biofilm_data	False	True
migs_vi_miscellaneous_natural_or_artificial_environment_data	False	True
migs_vi_plant_associated_data	False	True
migs_vi_sediment_data	False	True
migs_vi_soil_data	False	True
migs_vi_symbiont_associated_data	False	True
migs_vi_wastewater_sludge_data	False	True
migs_vi_water_data	False	True
mimag_agriculture_data	False	True
mimag_air_data	False	True
mimag_built_environment_data	False	True
mimag_data	False	True
mimag_food_animal_and_animal_feed_data	False	True
mimag_food_farm_environment_data	False	True
mimag_food_food_production_facility_data	False	True
mimag_food_human_foods_data	False	True
mimag_host_associated_data	False	True
mimag_human_associated_data	False	True
mimag_human_gut_data	False	True
mimag_human_oral_data	False	True
mimag_human_skin_data	False	True
mimag_human_vaginal_data	False	True
mimag_hydrocarbon_resources_cores_data	False	True
mimag_hydrocarbon_resources_fluids_swabs_data	False	True
mimag_microbial_mat_biofilm_data	False	True
mimag_miscellaneous_natural_or_artificial_environment_data	False	True
mimag_plant_associated_data	False	True
mimag_sediment_data	False	True
mimag_soil_data	False	True
mimag_symbiont_associated_data	False	True
mimag_wastewater_sludge_data	False	True
mimag_water_data	False	True
mimarks_c_agriculture_data	False	True
