studyGoldId	biosampleGoldId	ncbiBioProjectAccession	ncbiBioSampleAccession	ncbi_bioproject_accession	ncbi_biosample_accession	env_broad_scale	env_local_scale	env_medium	ecosystemPathId	ecosystem	ecosystemCategory	ecosystemType	ecosystemSubtype	specificEcosystem	envoBroadScale.id	envoBroadScale.label	envoLocalScale.id	envoLocalScale.label	envoMedium.id	envoMedium.label	bad_ebs	bad_em	cosine_distance_broad_scale	cosine_distance_local_scale	cosine_distance_medium
Gs0154244	Gb0239944	PRJEB42019	SAMEA7724122	PRJEB42019	SAMEA7724122	tropical desert biome	gravel field	gravel	4202	Environmental	Terrestrial	Soil	Sand	Desert	ENVO:01000183	tropical desert biome	ENVO:00000548	gravel field	ENVO:01000018	gravel	False	False	0.0	0.0	0.0
Gs0154244	Gb0239945	PRJEB42019	SAMEA7724123	PRJEB42019	SAMEA7724123	tropical desert biome	gravel field	gravel	4202	Environmental	Terrestrial	Soil	Sand	Desert	ENVO:01000183	tropical desert biome	ENVO:00000548	gravel field	ENVO:01000018	gravel	False	False	0.0	0.0	0.0
Gs0154244	Gb0239946	PRJEB42019	SAMEA7724124	PRJEB42019	SAMEA7724124	tropical desert biome	gravel field	gravel	4202	Environmental	Terrestrial	Soil	Sand	Desert	ENVO:01000183	tropical desert biome	ENVO:00000548	gravel field	ENVO:01000018	gravel	False	False	0.0	0.0	0.0
Gs0154244	Gb0239947	PRJEB42019	SAMEA7724125	PRJEB42019	SAMEA7724125	tropical desert biome	gravel field	gravel	4202	Environmental	Terrestrial	Soil	Sand	Desert	ENVO:01000183	tropical desert biome	ENVO:00000548	gravel field	ENVO:01000018	gravel	False	False	0.0	0.0	0.0
Gs0154244	Gb0239948	PRJEB42019	SAMEA7724126	PRJEB42019	SAMEA7724126	tropical desert biome	gravel field	gravel	4202	Environmental	Terrestrial	Soil	Sand	Desert	ENVO:01000183	tropical desert biome	ENVO:00000548	gravel field	ENVO:01000018	gravel	False	False	0.0	0.0	0.0
Gs0154244	Gb0239949	PRJEB42019	SAMEA7724127	PRJEB42019	SAMEA7724127	tropical desert biome	gravel field	gravel	4202	Environmental	Terrestrial	Soil	Sand	Desert	ENVO:01000183	tropical desert biome	ENVO:00000548	gravel field	ENVO:01000018	gravel	False	False	0.0	0.0	0.0
Gs0154244	Gb0239950	PRJEB42019	SAMEA7724128	PRJEB42019	SAMEA7724128	tropical desert biome	gravel field	gravel	4202	Environmental	Terrestrial	Soil	Sand	Desert	ENVO:01000183	tropical desert biome	ENVO:00000548	gravel field	ENVO:01000018	gravel	False	False	0.0	0.0	0.0
Gs0154244	Gb0239951	PRJEB42019	SAMEA7724286	PRJEB42019	SAMEA7724286	urban biome	planted forest	surface soil	6016	Environmental	Terrestrial	Soil	Tropical forest	Bulk soil	ENVO:01000249	urban biome	ENVO:00000119	planted forest	ENVO:02000059	surface soil	False	False	0.0	0.0	0.0
Gs0154244	Gb0239952	PRJEB42019	SAMEA7724287	PRJEB42019	SAMEA7724287	urban biome	planted forest	surface soil	6016	Environmental	Terrestrial	Soil	Tropical forest	Bulk soil	ENVO:01000249	urban biome	ENVO:00000119	planted forest	ENVO:02000059	surface soil	False	False	0.0	0.0	0.0
Gs0154244	Gb0239953	PRJEB42019	SAMEA7724107	PRJEB42019	SAMEA7724107	montane grasslands and shrubland biome	steppe soil	soil	4209	Environmental	Terrestrial	Soil	Unclassified	Grasslands	ENVO:01000177	grassland biome	ENVO:01001785	land	ENVO:00005750	grassland soil	False	False	0.3717191375624568	0.8492443277111181	0.4654775161751512
Gs0154244	Gb0239954	PRJEB42019	SAMEA7724108	PRJEB42019	SAMEA7724108	montane grasslands and shrubland biome	steppe soil	soil	4209	Environmental	Terrestrial	Soil	Unclassified	Grasslands	ENVO:01000177	grassland biome	ENVO:01001785	land	ENVO:00005750	grassland soil	False	False	0.3717191375624568	0.8492443277111181	0.4654775161751512
Gs0154244	Gb0239955	PRJEB42019	SAMEA7724109	PRJEB42019	SAMEA7724109	montane grasslands and shrubland biome	steppe soil	soil	4209	Environmental	Terrestrial	Soil	Unclassified	Grasslands	ENVO:01000177	grassland biome	ENVO:01001785	land	ENVO:00005750	grassland soil	False	False	0.3717191375624568	0.8492443277111181	0.4654775161751512
Gs0154244	Gb0239956	PRJEB42019	SAMEA7724110	PRJEB42019	SAMEA7724110	montane grasslands and shrubland biome	steppe soil	soil	4209	Environmental	Terrestrial	Soil	Unclassified	Grasslands	ENVO:01000177	grassland biome	ENVO:01001785	land	ENVO:00005750	grassland soil	False	False	0.3717191375624568	0.8492443277111181	0.4654775161751512
Gs0154244	Gb0239957	PRJEB42019	SAMEA7724111	PRJEB42019	SAMEA7724111	montane grasslands and shrubland biome	steppe soil	soil	4209	Environmental	Terrestrial	Soil	Unclassified	Grasslands	ENVO:01000177	grassland biome	ENVO:01001785	land	ENVO:00005750	grassland soil	False	False	0.3717191375624568	0.8492443277111181	0.4654775161751512
Gs0154244	Gb0239958	PRJEB42019	SAMEA7724112	PRJEB42019	SAMEA7724112	montane grasslands and shrubland biome	steppe soil	soil	4209	Environmental	Terrestrial	Soil	Unclassified	Grasslands	ENVO:01000177	grassland biome	ENVO:01001785	land	ENVO:00005750	grassland soil	False	False	0.3717191375624568	0.8492443277111181	0.4654775161751512
Gs0154244	Gb0239959	PRJEB42019	SAMEA7724113	PRJEB42019	SAMEA7724113	montane grasslands and shrubland biome	steppe soil	soil	4209	Environmental	Terrestrial	Soil	Unclassified	Grasslands	ENVO:01000177	grassland biome	ENVO:01001785	land	ENVO:00005750	grassland soil	False	False	0.3717191375624568	0.8492443277111181	0.4654775161751512
Gs0154244	Gb0239960	PRJEB42019	SAMEA7724114	PRJEB42019	SAMEA7724114	montane grasslands and shrubland biome	steppe soil	soil	4209	Environmental	Terrestrial	Soil	Unclassified	Grasslands	ENVO:01000177	grassland biome	ENVO:01001785	land	ENVO:00005750	grassland soil	False	False	0.3717191375624568	0.8492443277111181	0.4654775161751512
Gs0154244	Gb0239961	PRJEB42019	SAMEA7724115	PRJEB42019	SAMEA7724115	montane grasslands and shrubland biome	steppe soil	soil	4209	Environmental	Terrestrial	Soil	Unclassified	Grasslands	ENVO:01000177	grassland biome	ENVO:01001785	land	ENVO:00005750	grassland soil	False	False	0.3717191375624568	0.8492443277111181	0.4654775161751512
