biosampleGoldId	ecosystemPathId	ecosystem	ecosystemCategory	ecosystemType	ecosystemSubtype	specificEcosystem	envoBroadScale.id	envoBroadScale.label	envoLocalScale.id	envoLocalScale.label	envoMedium.id	envoMedium.label
Gb0239965	4012	Environmental	Aquatic	Marine	Intertidal zone	Salt marsh	ENVO:01000022	marine salt marsh biome	ENVO:00000054	saline marsh	ENVO:00001998	soil
Gb0239966	4012	Environmental	Aquatic	Marine	Intertidal zone	Salt marsh	ENVO:01000022	marine salt marsh biome	ENVO:00000054	saline marsh	ENVO:00001998	soil
Gb0239967	4012	Environmental	Aquatic	Marine	Intertidal zone	Salt marsh	ENVO:01000022	marine salt marsh biome	ENVO:00000054	saline marsh	ENVO:00001998	soil
Gb0239968	4012	Environmental	Aquatic	Marine	Intertidal zone	Salt marsh	ENVO:01000022	marine salt marsh biome	ENVO:00000054	saline marsh	ENVO:00001998	soil
Gb0239969	4012	Environmental	Aquatic	Marine	Intertidal zone	Salt marsh	ENVO:01000022	marine salt marsh biome	ENVO:00000054	saline marsh	ENVO:00001998	soil
Gb0239970	4012	Environmental	Aquatic	Marine	Intertidal zone	Salt marsh	ENVO:01000022	marine salt marsh biome	ENVO:00000054	saline marsh	ENVO:00001998	soil
Gb0239971	4012	Environmental	Aquatic	Marine	Intertidal zone	Salt marsh	ENVO:01000022	marine salt marsh biome	ENVO:00000054	saline marsh	ENVO:00001998	soil
Gb0239972	4012	Environmental	Aquatic	Marine	Intertidal zone	Salt marsh	ENVO:01000022	marine salt marsh biome	ENVO:00000054	saline marsh	ENVO:00001998	soil
Gb0239973	4012	Environmental	Aquatic	Marine	Intertidal zone	Salt marsh	ENVO:01000022	marine salt marsh biome	ENVO:00000054	saline marsh	ENVO:00001998	soil
Gb0239974	4012	Environmental	Aquatic	Marine	Intertidal zone	Salt marsh	ENVO:01000022	marine salt marsh biome	ENVO:00000054	saline marsh	ENVO:00001998	soil
Gb0239975	4012	Environmental	Aquatic	Marine	Intertidal zone	Salt marsh	ENVO:01000022	marine salt marsh biome	ENVO:00000054	saline marsh	ENVO:00001998	soil
