class	slot	annotation_Preferred_unit	prefunit_count	exploded_prefunit	exploded_count	annotation_times_explosion_count	ucum	notes	slots	example
HydrocarbonResourcesFluidsSwabs	org_count_qpcr_info	number of cells per gram (or ml or cm^2)	2	number of cells per ml	1	2	{cells}/mL	see number of cells per gram (or ml or cm^2)		
HydrocarbonResourcesFluidsSwabs	org_count_qpcr_info	number of cells per gram (or ml or cm^2)	2	number of cells per cm^2	1	2	{cells}/cm2	see number of cells per gram (or ml or cm^2)		
HydrocarbonResourcesFluidsSwabs	potassium	milligram per liter, parts per million	32	milligram per liter	15	480	mg/L			
HydrocarbonResourcesFluidsSwabs	potassium	milligram per liter, parts per million	32	parts per million	11	352	[ppm]			
HydrocarbonResourcesFluidsSwabs	pour_point	degree Celsius	88	degree Celsius	2	176	Cel			
HydrocarbonResourcesFluidsSwabs	pressure	atmosphere	6	atmosphere	2	12	atm			
HydrocarbonResourcesFluidsSwabs	prod_rate	cubic meter per day	2	cubic meter per day	1	2	m3/d			
HydrocarbonResourcesFluidsSwabs	resins_pc	percent	10	percent	1	10	%			
HydrocarbonResourcesFluidsSwabs	salinity	practical salinity unit, percentage	17	practical salinity unit	1	17	{practical_salinity}	In TEOS-10, “PSU” is deprecated; the preferred terminology is “Practical Salinity” with no unit symbol. See also http://qudt.org/vocab/unit/PSU	salinity	25 practical salinity unit
HydrocarbonResourcesFluidsSwabs	salinity	practical salinity unit, percentage	17	percentage	2	34	%			
HydrocarbonResourcesFluidsSwabs	samp_loc_corr_rate	millimeter per year	1	millimeter per year	1	1	mm/a			
HydrocarbonResourcesFluidsSwabs	samp_preserv	milliliter	1	milliliter	4	4	mL			
HydrocarbonResourcesFluidsSwabs	samp_store_temp	degree Celsius	88	degree Celsius	2	176	Cel			
HydrocarbonResourcesFluidsSwabs	samp_transport_cond	days;degree Celsius	2	days	4	8	d			
HydrocarbonResourcesFluidsSwabs	samp_transport_cond	days;degree Celsius	2	degree Celsius	2	4	Cel			
HydrocarbonResourcesFluidsSwabs	samp_vol_we_dna_ext	milliliter, gram, milligram, square centimeter	33	milliliter	4	132	mL			
HydrocarbonResourcesFluidsSwabs	samp_vol_we_dna_ext	milliliter, gram, milligram, square centimeter	33	gram	10	330	g			
HydrocarbonResourcesFluidsSwabs	samp_vol_we_dna_ext	milliliter, gram, milligram, square centimeter	33	milligram	3	99	mg			
HydrocarbonResourcesFluidsSwabs	samp_vol_we_dna_ext	milliliter, gram, milligram, square centimeter	33	square centimeter	1	33	cm2			
HydrocarbonResourcesFluidsSwabs	saturates_pc	percent	10	percent	1	10	%			
HydrocarbonResourcesFluidsSwabs	sodium	milligram per liter, parts per million	32	milligram per liter	15	480	mg/L			
HydrocarbonResourcesFluidsSwabs	sodium	milligram per liter, parts per million	32	parts per million	11	352	[ppm]			
HydrocarbonResourcesFluidsSwabs	sulfate	micromole per liter, milligram per liter, parts per million	35	micromole per liter	8	280	umol/L			
HydrocarbonResourcesFluidsSwabs	sulfate	micromole per liter, milligram per liter, parts per million	35	milligram per liter	15	525	mg/L			
HydrocarbonResourcesFluidsSwabs	sulfate	micromole per liter, milligram per liter, parts per million	35	parts per million	11	385	[ppm]			
HydrocarbonResourcesFluidsSwabs	sulfate_fw	milligram per liter	26	milligram per liter	15	390	mg/L			
HydrocarbonResourcesFluidsSwabs	sulfide	micromole per liter, milligram per liter, parts per million	35	micromole per liter	8	280	umol/L			
HydrocarbonResourcesFluidsSwabs	sulfide	micromole per liter, milligram per liter, parts per million	35	milligram per liter	15	525	mg/L			
HydrocarbonResourcesFluidsSwabs	sulfide	micromole per liter, milligram per liter, parts per million	35	parts per million	11	385	[ppm]			
HydrocarbonResourcesFluidsSwabs	suspend_solids	gram, microgram, milligram per liter, mole per liter, gram per liter, part per million	3	gram	10	30	g			
HydrocarbonResourcesFluidsSwabs	suspend_solids	gram, microgram, milligram per liter, mole per liter, gram per liter, part per million	3	microgram	3	9	ug			
HydrocarbonResourcesFluidsSwabs	suspend_solids	gram, microgram, milligram per liter, mole per liter, gram per liter, part per million	3	milligram per liter	15	45	mg/L			
HydrocarbonResourcesFluidsSwabs	suspend_solids	gram, microgram, milligram per liter, mole per liter, gram per liter, part per million	3	mole per liter	7	21	mol/h			
HydrocarbonResourcesFluidsSwabs	suspend_solids	gram, microgram, milligram per liter, mole per liter, gram per liter, part per million	3	gram per liter	4	12	g/L			
HydrocarbonResourcesFluidsSwabs	suspend_solids	gram, microgram, milligram per liter, mole per liter, gram per liter, part per million	3	part per million	1	3	[ppm]			
HydrocarbonResourcesFluidsSwabs	tan	milligram per liter	26	milligram per liter	15	390	mg/L			
HydrocarbonResourcesFluidsSwabs	temp	degree Celsius	88	degree Celsius	2	176	Cel			
HydrocarbonResourcesFluidsSwabs	toluene	milligram per liter, parts per million	32	milligram per liter	15	480	mg/L			
HydrocarbonResourcesFluidsSwabs	toluene	milligram per liter, parts per million	32	parts per million	11	352	[ppm]			
HydrocarbonResourcesFluidsSwabs	tot_iron	milligram per liter, milligram per kilogram	2	milligram per liter	15	30	mg/L			
HydrocarbonResourcesFluidsSwabs	tot_iron	milligram per liter, milligram per kilogram	2	milligram per kilogram	1	2	mg/kg			
HydrocarbonResourcesFluidsSwabs	tot_nitro	microgram per liter, micromole per liter, milligram per liter	4	microgram per liter	6	24	ug/L			
HydrocarbonResourcesFluidsSwabs	tot_nitro	microgram per liter, micromole per liter, milligram per liter	4	micromole per liter	8	32	umol/L			
HydrocarbonResourcesFluidsSwabs	tot_nitro	microgram per liter, micromole per liter, milligram per liter	4	milligram per liter	15	60	mg/L			
HydrocarbonResourcesFluidsSwabs	tot_phosp	micromole per liter, milligram per liter, parts per million	35	micromole per liter	8	280	umol/L			
HydrocarbonResourcesFluidsSwabs	tot_phosp	micromole per liter, milligram per liter, parts per million	35	milligram per liter	15	525	mg/L			
HydrocarbonResourcesFluidsSwabs	tot_phosp	micromole per liter, milligram per liter, parts per million	35	parts per million	11	385	[ppm]			
HydrocarbonResourcesFluidsSwabs	tot_sulfur	milligram per liter, parts per million	32	milligram per liter	15	480	mg/L			
HydrocarbonResourcesFluidsSwabs	tot_sulfur	milligram per liter, parts per million	32	parts per million	11	352	[ppm]			
HydrocarbonResourcesFluidsSwabs	tvdss_of_hcr_press	meter	72	meter	3	216	m			
HydrocarbonResourcesFluidsSwabs	tvdss_of_hcr_temp	meter	72	meter	3	216	m			
HydrocarbonResourcesFluidsSwabs	vfa	milligram per liter, parts per million	32	milligram per liter	15	480	mg/L			
HydrocarbonResourcesFluidsSwabs	vfa	milligram per liter, parts per million	32	parts per million	11	352	[ppm]			
HydrocarbonResourcesFluidsSwabs	vfa_fw	milligram per liter	26	milligram per liter	15	390	mg/L			
HydrocarbonResourcesFluidsSwabs	viscosity	cP at degree Celsius	2	cP at degree Celsius	1	2		compound specification, not a single unit. Should probably be expressed as X cP;Y Cel. Note: the schema provides the example in the description	viscosity	3.5 cp; 100 C
HydrocarbonResourcesFluidsSwabs	water_cut	percent	10	percent	1	10	%			
HydrocarbonResourcesFluidsSwabs	water_prod_rate	cubic meter per day	2	cubic meter per day	1	2	m3/d			
HydrocarbonResourcesFluidsSwabs	xylene	milligram per liter, parts per million	32	milligram per liter	15	480	mg/L			
HydrocarbonResourcesFluidsSwabs	xylene	milligram per liter, parts per million	32	parts per million	11	352	[ppm]			
MicrobialMatBiofilm	alkalinity	milliequivalent per liter, milligram per liter	7	milliequivalent per liter	1	7	mEq/L			
MicrobialMatBiofilm	alkalinity	milliequivalent per liter, milligram per liter	7	milligram per liter	15	105	mg/L			
MicrobialMatBiofilm	aminopept_act	mole per liter per hour	3	mole per liter per hour	1	3	mol/L/h			
MicrobialMatBiofilm	ammonium	micromole per liter, milligram per liter, parts per million	35	micromole per liter	8	280	umol/L			
MicrobialMatBiofilm	ammonium	micromole per liter, milligram per liter, parts per million	35	milligram per liter	15	525	mg/L			
MicrobialMatBiofilm	ammonium	micromole per liter, milligram per liter, parts per million	35	parts per million	11	385	[ppm]			
MicrobialMatBiofilm	biomass	ton, kilogram, gram	4	ton	2	8		Imperial = [ston_av]; Metric = t	biomass|microbial_biomass	
MicrobialMatBiofilm	biomass	ton, kilogram, gram	4	kilogram	4	16	kg			
MicrobialMatBiofilm	biomass	ton, kilogram, gram	4	gram	10	40	g			
MicrobialMatBiofilm	bishomohopanol	microgram per liter, microgram per gram	3	microgram per liter	6	18	ug/L			
MicrobialMatBiofilm	bishomohopanol	microgram per liter, microgram per gram	3	microgram per gram	2	6	ug/g			
MicrobialMatBiofilm	bromide	parts per million	6	parts per million	11	66	[ppm]			
MicrobialMatBiofilm	calcium	milligram per liter, micromole per liter, parts per million	6	milligram per liter	15	90	mg/L			
MicrobialMatBiofilm	calcium	milligram per liter, micromole per liter, parts per million	6	micromole per liter	8	48	umol/L			
MicrobialMatBiofilm	calcium	milligram per liter, micromole per liter, parts per million	6	parts per million	11	66	[ppm]			
MicrobialMatBiofilm	chloride	milligram per liter, parts per million	32	milligram per liter	15	480	mg/L			
MicrobialMatBiofilm	chloride	milligram per liter, parts per million	32	parts per million	11	352	[ppm]			
MicrobialMatBiofilm	chlorophyll	milligram per cubic meter, microgram per liter	4	milligram per cubic meter	2	8	mg/m3			
MicrobialMatBiofilm	chlorophyll	milligram per cubic meter, microgram per liter	4	microgram per liter	6	24	ug/L			
MicrobialMatBiofilm	depth	meter	72	meter	3	216	m			
MicrobialMatBiofilm	diether_lipids	nanogram per liter	4	nanogram per liter	2	8	ng/L			
MicrobialMatBiofilm	diss_carb_dioxide	micromole per liter, milligram per liter	11	micromole per liter	8	88	umol/L			
MicrobialMatBiofilm	diss_carb_dioxide	micromole per liter, milligram per liter	11	milligram per liter	15	165	mg/L			
MicrobialMatBiofilm	diss_hydrogen	micromole per liter	24	micromole per liter	8	192	umol/L			
MicrobialMatBiofilm	diss_inorg_carb	microgram per liter, milligram per liter, parts per million	6	microgram per liter	6	36	ug/L			
MicrobialMatBiofilm	diss_inorg_carb	microgram per liter, milligram per liter, parts per million	6	milligram per liter	15	90	mg/L			
MicrobialMatBiofilm	diss_inorg_carb	microgram per liter, milligram per liter, parts per million	6	parts per million	11	66	[ppm]			
MicrobialMatBiofilm	diss_org_carb	micromole per liter, milligram per liter	11	micromole per liter	8	88	umol/L			
MicrobialMatBiofilm	diss_org_carb	micromole per liter, milligram per liter	11	milligram per liter	15	165	mg/L			
MicrobialMatBiofilm	diss_oxygen	micromole per kilogram, milligram per liter	6	micromole per kilogram	2	12	umol/kg			
MicrobialMatBiofilm	diss_oxygen	micromole per kilogram, milligram per liter	6	milligram per liter	15	90	mg/L			
MicrobialMatBiofilm	elev	meter	72	meter	3	216	m			
MicrobialMatBiofilm	glucosidase_act	mol per liter per hour	3	mol per liter per hour	1	3	mol/L/h			
MicrobialMatBiofilm	magnesium	mole per liter, milligram per liter, parts per million, micromole per kilogram	5	mole per liter	7	35	mol/h			
MicrobialMatBiofilm	magnesium	mole per liter, milligram per liter, parts per million, micromole per kilogram	5	milligram per liter	15	75	mg/L			
MicrobialMatBiofilm	magnesium	mole per liter, milligram per liter, parts per million, micromole per kilogram	5	parts per million	11	55	[ppm]			
MicrobialMatBiofilm	magnesium	mole per liter, milligram per liter, parts per million, micromole per kilogram	5	micromole per kilogram	2	10	umol/kg			
MicrobialMatBiofilm	mean_frict_vel	meter per second	6	meter per second	1	6	m/s			
MicrobialMatBiofilm	mean_peak_frict_vel	meter per second	6	meter per second	1	6	m/s			
MicrobialMatBiofilm	methane	micromole per liter, parts per billion, parts per million	3	micromole per liter	8	24	umol/L			
MicrobialMatBiofilm	methane	micromole per liter, parts per billion, parts per million	3	parts per billion	1	3	[ppb]			
MicrobialMatBiofilm	methane	micromole per liter, parts per billion, parts per million	3	parts per million	11	33	[ppm]			
MicrobialMatBiofilm	nitrate	micromole per liter, milligram per liter, parts per million	35	micromole per liter	8	280	umol/L			
MicrobialMatBiofilm	nitrate	micromole per liter, milligram per liter, parts per million	35	milligram per liter	15	525	mg/L			
MicrobialMatBiofilm	nitrate	micromole per liter, milligram per liter, parts per million	35	parts per million	11	385	[ppm]			
MicrobialMatBiofilm	nitrite	micromole per liter, milligram per liter, parts per million	35	micromole per liter	8	280	umol/L			
MicrobialMatBiofilm	nitrite	micromole per liter, milligram per liter, parts per million	35	milligram per liter	15	525	mg/L			
MicrobialMatBiofilm	nitrite	micromole per liter, milligram per liter, parts per million	35	parts per million	11	385	[ppm]			
MicrobialMatBiofilm	nitro	micromole per liter	24	micromole per liter	8	192	umol/L			
MicrobialMatBiofilm	org_matter	microgram per liter	7	microgram per liter	6	42	ug/L			
MicrobialMatBiofilm	petroleum_hydrocarb	micromole per liter	24	micromole per liter	8	192	umol/L			
MicrobialMatBiofilm	phaeopigments	milligram per cubic meter	3	milligram per cubic meter	2	6	mg/m3			
MicrobialMatBiofilm	phosphate	micromole per liter	24	micromole per liter	8	192	umol/L			
MicrobialMatBiofilm	potassium	milligram per liter, parts per million	32	milligram per liter	15	480	mg/L			
MicrobialMatBiofilm	potassium	milligram per liter, parts per million	32	parts per million	11	352	[ppm]			
MicrobialMatBiofilm	pressure	atmosphere	6	atmosphere	2	12	atm			
MicrobialMatBiofilm	redox_potential	millivolt	3	millivolt	1	3	mV			
MicrobialMatBiofilm	salinity	practical salinity unit, percentage	17	practical salinity unit	1	17	{practical_salinity}	In TEOS-10, “PSU” is deprecated; the preferred terminology is “Practical Salinity” with no unit symbol. See also http://qudt.org/vocab/unit/PSU	salinity	25 practical salinity unit
MicrobialMatBiofilm	salinity	practical salinity unit, percentage	17	percentage	2	34	%			
MicrobialMatBiofilm	samp_store_temp	degree Celsius	88	degree Celsius	2	176	Cel			
MicrobialMatBiofilm	samp_vol_we_dna_ext	milliliter, gram, milligram, square centimeter	33	milliliter	4	132	mL			
MicrobialMatBiofilm	samp_vol_we_dna_ext	milliliter, gram, milligram, square centimeter	33	gram	10	330	g			
MicrobialMatBiofilm	samp_vol_we_dna_ext	milliliter, gram, milligram, square centimeter	33	milligram	3	99	mg			
MicrobialMatBiofilm	samp_vol_we_dna_ext	milliliter, gram, milligram, square centimeter	33	square centimeter	1	33	cm2			
MicrobialMatBiofilm	silicate	micromole per liter	24	micromole per liter	8	192	umol/L			
MicrobialMatBiofilm	sodium	milligram per liter, parts per million	32	milligram per liter	15	480	mg/L			
MicrobialMatBiofilm	sodium	milligram per liter, parts per million	32	parts per million	11	352	[ppm]			
MicrobialMatBiofilm	sulfate	micromole per liter, milligram per liter, parts per million	35	micromole per liter	8	280	umol/L			
MicrobialMatBiofilm	sulfate	micromole per liter, milligram per liter, parts per million	35	milligram per liter	15	525	mg/L			
MicrobialMatBiofilm	sulfate	micromole per liter, milligram per liter, parts per million	35	parts per million	11	385	[ppm]			
MicrobialMatBiofilm	sulfide	micromole per liter, milligram per liter, parts per million	35	micromole per liter	8	280	umol/L			
MicrobialMatBiofilm	sulfide	micromole per liter, milligram per liter, parts per million	35	milligram per liter	15	525	mg/L			
MicrobialMatBiofilm	sulfide	micromole per liter, milligram per liter, parts per million	35	parts per million	11	385	[ppm]			
MicrobialMatBiofilm	temp	degree Celsius	88	degree Celsius	2	176	Cel			
MicrobialMatBiofilm	tot_org_carb	gram Carbon per kilogram sample material	5	gram Carbon per kilogram sample material	1	5	g{Carbon}/kg{sample_material}			
MicrobialMatBiofilm	water_content	gram per gram or cubic centimeter per cubic centimeter	3	gram per gram	2	6	g/g			
MicrobialMatBiofilm	water_content	gram per gram or cubic centimeter per cubic centimeter	3	cubic centimeter per cubic centimeter	1	3	cm3/cm3			
MigsBa	alt	meter	72	meter	3	216	m			
MigsBa	depth	meter	72	meter	3	216	m			
MigsBa	elev	meter	72	meter	3	216	m			
MigsBa	samp_vol_we_dna_ext	milliliter, gram, milligram, square centimeter	33	milliliter	4	132	mL			
MigsBa	samp_vol_we_dna_ext	milliliter, gram, milligram, square centimeter	33	gram	10	330	g			
MigsBa	samp_vol_we_dna_ext	milliliter, gram, milligram, square centimeter	33	milligram	3	99	mg			
MigsBa	samp_vol_we_dna_ext	milliliter, gram, milligram, square centimeter	33	square centimeter	1	33	cm2			
MigsBa	temp	degree Celsius	88	degree Celsius	2	176	Cel			
MigsEu	alt	meter	72	meter	3	216	m			
MigsEu	depth	meter	72	meter	3	216	m			
MigsEu	elev	meter	72	meter	3	216	m			
MigsEu	samp_vol_we_dna_ext	milliliter, gram, milligram, square centimeter	33	milliliter	4	132	mL			
MigsEu	samp_vol_we_dna_ext	milliliter, gram, milligram, square centimeter	33	gram	10	330	g			
MigsEu	samp_vol_we_dna_ext	milliliter, gram, milligram, square centimeter	33	milligram	3	99	mg			
MigsEu	samp_vol_we_dna_ext	milliliter, gram, milligram, square centimeter	33	square centimeter	1	33	cm2			
MigsEu	temp	degree Celsius	88	degree Celsius	2	176	Cel			
MigsOrg	alt	meter	72	meter	3	216	m			
MigsOrg	depth	meter	72	meter	3	216	m			
MigsOrg	elev	meter	72	meter	3	216	m			
MigsOrg	samp_vol_we_dna_ext	milliliter, gram, milligram, square centimeter	33	milliliter	4	132	mL			
MigsOrg	samp_vol_we_dna_ext	milliliter, gram, milligram, square centimeter	33	gram	10	330	g			
MigsOrg	samp_vol_we_dna_ext	milliliter, gram, milligram, square centimeter	33	milligram	3	99	mg			
MigsOrg	samp_vol_we_dna_ext	milliliter, gram, milligram, square centimeter	33	square centimeter	1	33	cm2			
MigsOrg	temp	degree Celsius	88	degree Celsius	2	176	Cel			
MigsPl	alt	meter	72	meter	3	216	m			
MigsPl	depth	meter	72	meter	3	216	m			
MigsPl	elev	meter	72	meter	3	216	m			
MigsPl	samp_vol_we_dna_ext	milliliter, gram, milligram, square centimeter	33	milliliter	4	132	mL			
MigsPl	samp_vol_we_dna_ext	milliliter, gram, milligram, square centimeter	33	gram	10	330	g			
MigsPl	samp_vol_we_dna_ext	milliliter, gram, milligram, square centimeter	33	milligram	3	99	mg			
MigsPl	samp_vol_we_dna_ext	milliliter, gram, milligram, square centimeter	33	square centimeter	1	33	cm2			
MigsPl	temp	degree Celsius	88	degree Celsius	2	176	Cel			
MigsVi	alt	meter	72	meter	3	216	m			
MigsVi	depth	meter	72	meter	3	216	m			
MigsVi	elev	meter	72	meter	3	216	m			
MigsVi	samp_vol_we_dna_ext	milliliter, gram, milligram, square centimeter	33	milliliter	4	132	mL			
MigsVi	samp_vol_we_dna_ext	milliliter, gram, milligram, square centimeter	33	gram	10	330	g			
MigsVi	samp_vol_we_dna_ext	milliliter, gram, milligram, square centimeter	33	milligram	3	99	mg			
MigsVi	samp_vol_we_dna_ext	milliliter, gram, milligram, square centimeter	33	square centimeter	1	33	cm2			
MigsVi	temp	degree Celsius	88	degree Celsius	2	176	Cel			
Mimag	alt	meter	72	meter	3	216	m			
Mimag	depth	meter	72	meter	3	216	m			
Mimag	elev	meter	72	meter	3	216	m			
Mimag	samp_vol_we_dna_ext	milliliter, gram, milligram, square centimeter	33	milliliter	4	132	mL			
Mimag	samp_vol_we_dna_ext	milliliter, gram, milligram, square centimeter	33	gram	10	330	g			
Mimag	samp_vol_we_dna_ext	milliliter, gram, milligram, square centimeter	33	milligram	3	99	mg			
Mimag	samp_vol_we_dna_ext	milliliter, gram, milligram, square centimeter	33	square centimeter	1	33	cm2			
Mimag	temp	degree Celsius	88	degree Celsius	2	176	Cel			
MimarksC	alt	meter	72	meter	3	216	m			
MimarksC	depth	meter	72	meter	3	216	m			
MimarksC	elev	meter	72	meter	3	216	m			
MimarksC	samp_vol_we_dna_ext	milliliter, gram, milligram, square centimeter	33	milliliter	4	132	mL			
MimarksC	samp_vol_we_dna_ext	milliliter, gram, milligram, square centimeter	33	gram	10	330	g			
MimarksC	samp_vol_we_dna_ext	milliliter, gram, milligram, square centimeter	33	milligram	3	99	mg			
MimarksC	samp_vol_we_dna_ext	milliliter, gram, milligram, square centimeter	33	square centimeter	1	33	cm2			
MimarksC	temp	degree Celsius	88	degree Celsius	2	176	Cel			
MimarksS	alt	meter	72	meter	3	216	m			
MimarksS	depth	meter	72	meter	3	216	m			
MimarksS	elev	meter	72	meter	3	216	m			
MimarksS	samp_vol_we_dna_ext	milliliter, gram, milligram, square centimeter	33	milliliter	4	132	mL			
MimarksS	samp_vol_we_dna_ext	milliliter, gram, milligram, square centimeter	33	gram	10	330	g			
MimarksS	samp_vol_we_dna_ext	milliliter, gram, milligram, square centimeter	33	milligram	3	99	mg			
MimarksS	samp_vol_we_dna_ext	milliliter, gram, milligram, square centimeter	33	square centimeter	1	33	cm2			
MimarksS	temp	degree Celsius	88	degree Celsius	2	176	Cel			
Mims	alt	meter	72	meter	3	216	m			
Mims	depth	meter	72	meter	3	216	m			
Mims	elev	meter	72	meter	3	216	m			
Mims	samp_vol_we_dna_ext	milliliter, gram, milligram, square centimeter	33	milliliter	4	132	mL			
Mims	samp_vol_we_dna_ext	milliliter, gram, milligram, square centimeter	33	gram	10	330	g			
Mims	samp_vol_we_dna_ext	milliliter, gram, milligram, square centimeter	33	milligram	3	99	mg			
Mims	samp_vol_we_dna_ext	milliliter, gram, milligram, square centimeter	33	square centimeter	1	33	cm2			
Mims	temp	degree Celsius	88	degree Celsius	2	176	Cel			
Misag	alt	meter	72	meter	3	216	m			
Misag	depth	meter	72	meter	3	216	m			
Misag	elev	meter	72	meter	3	216	m			
Misag	samp_vol_we_dna_ext	milliliter, gram, milligram, square centimeter	33	milliliter	4	132	mL			
Misag	samp_vol_we_dna_ext	milliliter, gram, milligram, square centimeter	33	gram	10	330	g			
Misag	samp_vol_we_dna_ext	milliliter, gram, milligram, square centimeter	33	milligram	3	99	mg			
Misag	samp_vol_we_dna_ext	milliliter, gram, milligram, square centimeter	33	square centimeter	1	33	cm2			
Misag	temp	degree Celsius	88	degree Celsius	2	176	Cel			
MiscellaneousNaturalOrArtificialEnvironment	alkalinity	milliequivalent per liter, milligram per liter	7	milliequivalent per liter	1	7	mEq/L			
MiscellaneousNaturalOrArtificialEnvironment	alkalinity	milliequivalent per liter, milligram per liter	7	milligram per liter	15	105	mg/L			
MiscellaneousNaturalOrArtificialEnvironment	alt	meter	72	meter	3	216	m			
MiscellaneousNaturalOrArtificialEnvironment	ammonium	micromole per liter, milligram per liter, parts per million	35	micromole per liter	8	280	umol/L			
MiscellaneousNaturalOrArtificialEnvironment	ammonium	micromole per liter, milligram per liter, parts per million	35	milligram per liter	15	525	mg/L			
MiscellaneousNaturalOrArtificialEnvironment	ammonium	micromole per liter, milligram per liter, parts per million	35	parts per million	11	385	[ppm]			
MiscellaneousNaturalOrArtificialEnvironment	biomass	ton, kilogram, gram	4	ton	2	8		Imperial = [ston_av]; Metric = t	biomass|microbial_biomass	
MiscellaneousNaturalOrArtificialEnvironment	biomass	ton, kilogram, gram	4	kilogram	4	16	kg			
MiscellaneousNaturalOrArtificialEnvironment	biomass	ton, kilogram, gram	4	gram	10	40	g			
MiscellaneousNaturalOrArtificialEnvironment	bromide	parts per million	6	parts per million	11	66	[ppm]			
MiscellaneousNaturalOrArtificialEnvironment	calcium	milligram per liter, micromole per liter, parts per million	6	milligram per liter	15	90	mg/L			
MiscellaneousNaturalOrArtificialEnvironment	calcium	milligram per liter, micromole per liter, parts per million	6	micromole per liter	8	48	umol/L			
MiscellaneousNaturalOrArtificialEnvironment	calcium	milligram per liter, micromole per liter, parts per million	6	parts per million	11	66	[ppm]			
MiscellaneousNaturalOrArtificialEnvironment	chloride	milligram per liter, parts per million	32	milligram per liter	15	480	mg/L			
MiscellaneousNaturalOrArtificialEnvironment	chloride	milligram per liter, parts per million	32	parts per million	11	352	[ppm]			
MiscellaneousNaturalOrArtificialEnvironment	chlorophyll	milligram per cubic meter, microgram per liter	4	milligram per cubic meter	2	8	mg/m3			
MiscellaneousNaturalOrArtificialEnvironment	chlorophyll	milligram per cubic meter, microgram per liter	4	microgram per liter	6	24	ug/L			
MiscellaneousNaturalOrArtificialEnvironment	density	gram per cubic meter, gram per cubic centimeter	5	gram per cubic meter	3	15	g/m3			
MiscellaneousNaturalOrArtificialEnvironment	density	gram per cubic meter, gram per cubic centimeter	5	gram per cubic centimeter	1	5	g/cm3			
MiscellaneousNaturalOrArtificialEnvironment	depth	meter	72	meter	3	216	m			
MiscellaneousNaturalOrArtificialEnvironment	diether_lipids	nanogram per liter	4	nanogram per liter	2	8	ng/L			
MiscellaneousNaturalOrArtificialEnvironment	diss_carb_dioxide	micromole per liter, milligram per liter	11	micromole per liter	8	88	umol/L			
MiscellaneousNaturalOrArtificialEnvironment	diss_carb_dioxide	micromole per liter, milligram per liter	11	milligram per liter	15	165	mg/L			
MiscellaneousNaturalOrArtificialEnvironment	diss_hydrogen	micromole per liter	24	micromole per liter	8	192	umol/L			
MiscellaneousNaturalOrArtificialEnvironment	diss_inorg_carb	microgram per liter, milligram per liter, parts per million	6	microgram per liter	6	36	ug/L			
MiscellaneousNaturalOrArtificialEnvironment	diss_inorg_carb	microgram per liter, milligram per liter, parts per million	6	milligram per liter	15	90	mg/L			
MiscellaneousNaturalOrArtificialEnvironment	diss_inorg_carb	microgram per liter, milligram per liter, parts per million	6	parts per million	11	66	[ppm]			
MiscellaneousNaturalOrArtificialEnvironment	diss_oxygen	micromole per kilogram, milligram per liter	6	micromole per kilogram	2	12	umol/kg			
MiscellaneousNaturalOrArtificialEnvironment	diss_oxygen	micromole per kilogram, milligram per liter	6	milligram per liter	15	90	mg/L			
MiscellaneousNaturalOrArtificialEnvironment	elev	meter	72	meter	3	216	m			
MiscellaneousNaturalOrArtificialEnvironment	nitrate	micromole per liter, milligram per liter, parts per million	35	micromole per liter	8	280	umol/L			
MiscellaneousNaturalOrArtificialEnvironment	nitrate	micromole per liter, milligram per liter, parts per million	35	milligram per liter	15	525	mg/L			
MiscellaneousNaturalOrArtificialEnvironment	nitrate	micromole per liter, milligram per liter, parts per million	35	parts per million	11	385	[ppm]			
MiscellaneousNaturalOrArtificialEnvironment	nitrite	micromole per liter, milligram per liter, parts per million	35	micromole per liter	8	280	umol/L			
MiscellaneousNaturalOrArtificialEnvironment	nitrite	micromole per liter, milligram per liter, parts per million	35	milligram per liter	15	525	mg/L			
MiscellaneousNaturalOrArtificialEnvironment	nitrite	micromole per liter, milligram per liter, parts per million	35	parts per million	11	385	[ppm]			
MiscellaneousNaturalOrArtificialEnvironment	nitro	micromole per liter	24	micromole per liter	8	192	umol/L			
MiscellaneousNaturalOrArtificialEnvironment	org_matter	microgram per liter	7	microgram per liter	6	42	ug/L			
MiscellaneousNaturalOrArtificialEnvironment	phosphate	micromole per liter	24	micromole per liter	8	192	umol/L			
MiscellaneousNaturalOrArtificialEnvironment	potassium	milligram per liter, parts per million	32	milligram per liter	15	480	mg/L			
MiscellaneousNaturalOrArtificialEnvironment	potassium	milligram per liter, parts per million	32	parts per million	11	352	[ppm]			
MiscellaneousNaturalOrArtificialEnvironment	pressure	atmosphere	6	atmosphere	2	12	atm			
MiscellaneousNaturalOrArtificialEnvironment	salinity	practical salinity unit, percentage	17	practical salinity unit	1	17	{practical_salinity}	In TEOS-10, “PSU” is deprecated; the preferred terminology is “Practical Salinity” with no unit symbol. See also http://qudt.org/vocab/unit/PSU	salinity	25 practical salinity unit
MiscellaneousNaturalOrArtificialEnvironment	salinity	practical salinity unit, percentage	17	percentage	2	34	%			
MiscellaneousNaturalOrArtificialEnvironment	samp_store_temp	degree Celsius	88	degree Celsius	2	176	Cel			
MiscellaneousNaturalOrArtificialEnvironment	samp_vol_we_dna_ext	milliliter, gram, milligram, square centimeter	33	milliliter	4	132	mL			
MiscellaneousNaturalOrArtificialEnvironment	samp_vol_we_dna_ext	milliliter, gram, milligram, square centimeter	33	gram	10	330	g			
