class	slot	annotation_Preferred_unit	prefunit_count	exploded_prefunit	exploded_count	annotation_times_explosion_count	ucum	notes	slots	example
BuiltEnvironment	wall_height	centimeter	3	centimeter	2	6	cm			
BuiltEnvironment	wall_thermal_mass	joule per degree Celsius	3	joule per degree Celsius	1	3		https://ucum.nlm.nih.gov/ucum-lhc/demo.html says J/Cel is an Attempt to divide by non-ratio unit degree Celsius	ceil_thermal_mass|floor_thermal_mass|wall_thermal_mass	
BuiltEnvironment	water_feat_size	square meter	6	square meter	2	12	m2			
BuiltEnvironment	window_size	inch, meter	1	inch	1	1	[in_i]			
BuiltEnvironment	window_size	inch, meter	1	meter	3	3	m			
FoodAnimalAndAnimalFeed	bacterial_density	colony forming units per milliliter; colony forming units per gram of dry weight	7	colony forming units per milliliter	1	7	[CFU]/mL			
FoodAnimalAndAnimalFeed	bacterial_density	colony forming units per milliliter; colony forming units per gram of dry weight	7	colony forming units per gram of dry weight	1	7	[CFU]/g{dry_weight}			
FoodAnimalAndAnimalFeed	cons_food_stor_dur	hours or days	9	hours	2	18	h			
FoodAnimalAndAnimalFeed	cons_food_stor_dur	hours or days	9	days	4	36	d			
FoodAnimalAndAnimalFeed	cons_food_stor_temp	degree Celsius	88	degree Celsius	2	176	Cel			
FoodAnimalAndAnimalFeed	food_pack_capacity	grams	3	grams	1	3	g			
FoodAnimalAndAnimalFeed	food_source_age	days	5	days	4	20	d			
FoodAnimalAndAnimalFeed	pool_dna_extracts	gram, milliliter, microliter	5	gram	10	50	g			
FoodAnimalAndAnimalFeed	pool_dna_extracts	gram, milliliter, microliter	5	milliliter	4	20	mL			
FoodAnimalAndAnimalFeed	pool_dna_extracts	gram, milliliter, microliter	5	microliter	1	5	uL			
FoodAnimalAndAnimalFeed	samp_store_temp	degree Celsius	88	degree Celsius	2	176	Cel			
FoodAnimalAndAnimalFeed	samp_transport_dur	days	5	days	4	20	d			
FoodAnimalAndAnimalFeed	samp_transport_temp	degree Celsius	88	degree Celsius	2	176	Cel			
FoodAnimalAndAnimalFeed	samp_vol_we_dna_ext	milliliter, gram, milligram, square centimeter	33	milliliter	4	132	mL			
FoodAnimalAndAnimalFeed	samp_vol_we_dna_ext	milliliter, gram, milligram, square centimeter	33	gram	10	330	g			
FoodAnimalAndAnimalFeed	samp_vol_we_dna_ext	milliliter, gram, milligram, square centimeter	33	milligram	3	99	mg			
FoodAnimalAndAnimalFeed	samp_vol_we_dna_ext	milliliter, gram, milligram, square centimeter	33	square centimeter	1	33	cm2			
FoodAnimalAndAnimalFeed	spikein_count	colony forming units per milliliter; colony forming units per gram of dry weight	7	colony forming units per milliliter	1	7	[CFU]/mL			
FoodAnimalAndAnimalFeed	spikein_count	colony forming units per milliliter; colony forming units per gram of dry weight	7	colony forming units per gram of dry weight	1	7	[CFU]/g{dry_weight}			
FoodAnimalAndAnimalFeed	study_inc_dur	hours or days	9	hours	2	18	h			
FoodAnimalAndAnimalFeed	study_inc_dur	hours or days	9	days	4	36	d			
FoodAnimalAndAnimalFeed	study_inc_temp	degree Celsius	88	degree Celsius	2	176	Cel			
FoodAnimalAndAnimalFeed	study_timecourse	dpi	3	dpi	1	3	d{post_infection}		study_timecourse	2 days post inoculation
FoodAnimalAndAnimalFeed	temp	degree Celsius	88	degree Celsius	2	176	Cel			
FoodAnimalAndAnimalFeed	timepoint	hours or days	9	hours	2	18	h			
FoodAnimalAndAnimalFeed	timepoint	hours or days	9	days	4	36	d			
FoodFarmEnvironment	conduc	milliSiemens per centimeter	4	milliSiemens per centimeter	1	4	mS/cm			
FoodFarmEnvironment	crop_yield	kilogram per metre square	2	kilogram per metre square	1	2	kg/m2			
FoodFarmEnvironment	depth	meter	72	meter	3	216	m			
FoodFarmEnvironment	farm_equip_san	parts per million	6	parts per million	11	66	[ppm]			
FoodFarmEnvironment	host_age	year, day, hour	11	year	2	22	a	!		
FoodFarmEnvironment	host_age	year, day, hour	11	day	1	11	d			
FoodFarmEnvironment	host_age	year, day, hour	11	hour	2	22	h			
FoodFarmEnvironment	host_dry_mass	kilogram, gram	17	kilogram	4	68	kg			
FoodFarmEnvironment	host_dry_mass	kilogram, gram	17	gram	10	170	g			
FoodFarmEnvironment	host_height	centimeter, millimeter, meter	15	centimeter	2	30	cm			
FoodFarmEnvironment	host_height	centimeter, millimeter, meter	15	millimeter	2	30	mm			
FoodFarmEnvironment	host_height	centimeter, millimeter, meter	15	meter	3	45	m			
FoodFarmEnvironment	host_length	centimeter, millimeter, meter	15	centimeter	2	30	cm			
FoodFarmEnvironment	host_length	centimeter, millimeter, meter	15	millimeter	2	30	mm			
FoodFarmEnvironment	host_length	centimeter, millimeter, meter	15	meter	3	45	m			
FoodFarmEnvironment	host_tot_mass	kilogram, gram	17	kilogram	4	68	kg			
FoodFarmEnvironment	host_tot_mass	kilogram, gram	17	gram	10	170	g			
FoodFarmEnvironment	root_med_carbon	milligram per liter	26	milligram per liter	15	390	mg/L			
FoodFarmEnvironment	root_med_macronutr	milligram per liter	26	milligram per liter	15	390	mg/L			
FoodFarmEnvironment	root_med_micronutr	milligram per liter	26	milligram per liter	15	390	mg/L			
FoodFarmEnvironment	salinity	practical salinity unit, percentage	17	practical salinity unit	1	17	{practical_salinity}	In TEOS-10, “PSU” is deprecated; the preferred terminology is “Practical Salinity” with no unit symbol. See also http://qudt.org/vocab/unit/PSU	salinity	25 practical salinity unit
FoodFarmEnvironment	salinity	practical salinity unit, percentage	17	percentage	2	34	%			
FoodFarmEnvironment	samp_store_temp	degree Celsius	88	degree Celsius	2	176	Cel			
FoodFarmEnvironment	samp_vol_we_dna_ext	milliliter, gram, milligram, square centimeter	33	milliliter	4	132	mL			
FoodFarmEnvironment	samp_vol_we_dna_ext	milliliter, gram, milligram, square centimeter	33	gram	10	330	g			
FoodFarmEnvironment	samp_vol_we_dna_ext	milliliter, gram, milligram, square centimeter	33	milligram	3	99	mg			
FoodFarmEnvironment	samp_vol_we_dna_ext	milliliter, gram, milligram, square centimeter	33	square centimeter	1	33	cm2			
FoodFarmEnvironment	season_precpt	millimeter	6	millimeter	2	12	mm			
FoodFarmEnvironment	season_temp	degree Celsius	88	degree Celsius	2	176	Cel			
FoodFarmEnvironment	size_frac_low	micrometer	7	micrometer	2	14	um			
FoodFarmEnvironment	size_frac_up	micrometer	7	micrometer	2	14	um			
FoodFarmEnvironment	soil_conductivity	milliSiemens per centimeter	4	milliSiemens per centimeter	1	4	mS/cm			
FoodFarmEnvironment	soil_porosity	percentage	13	percentage	2	26	%			
