class	slot	annotation_Preferred_unit	prefunit_count	exploded_prefunit	exploded_count	annotation_times_explosion_count
Water	nitrite	micromole per liter, milligram per liter, parts per million	35	parts per million	11	385
Water	nitro	micromole per liter	24	micromole per liter	8	192
Water	org_matter	microgram per liter	7	microgram per liter	6	42
Water	part_org_nitro	microgram per liter, micromole per liter	5	microgram per liter	6	30
Water	part_org_nitro	microgram per liter, micromole per liter	5	micromole per liter	8	40
Water	petroleum_hydrocarb	micromole per liter	24	micromole per liter	8	192
Water	phaeopigments	milligram per cubic meter	3	milligram per cubic meter	2	6
Water	phosphate	micromole per liter	24	micromole per liter	8	192
Water	photon_flux	number of photons per second per unit area	1	number of photons per second per unit area	1	1
Water	potassium	milligram per liter, parts per million	32	milligram per liter	15	480
Water	potassium	milligram per liter, parts per million	32	parts per million	11	352
Water	pressure	atmosphere	6	atmosphere	2	12
Water	primary_prod	milligram per cubic meter per day, gram per square meter per day	1	milligram per cubic meter per day	3	3
Water	primary_prod	milligram per cubic meter per day, gram per square meter per day	1	gram per square meter per day	1	1
Water	redox_potential	millivolt	3	millivolt	1	3
Water	salinity	practical salinity unit, percentage	17	practical salinity unit	1	17
Water	salinity	practical salinity unit, percentage	17	percentage	2	34
Water	samp_store_temp	degree Celsius	88	degree Celsius	2	176
Water	samp_vol_we_dna_ext	milliliter, gram, milligram, square centimeter	33	milliliter	4	132
Water	samp_vol_we_dna_ext	milliliter, gram, milligram, square centimeter	33	gram	10	330
Water	samp_vol_we_dna_ext	milliliter, gram, milligram, square centimeter	33	milligram	3	99
Water	samp_vol_we_dna_ext	milliliter, gram, milligram, square centimeter	33	square centimeter	1	33
Water	silicate	micromole per liter	24	micromole per liter	8	192
Water	size_frac_low	micrometer	7	micrometer	2	14
Water	size_frac_up	micrometer	7	micrometer	2	14
Water	sodium	milligram per liter, parts per million	32	milligram per liter	15	480
Water	sodium	milligram per liter, parts per million	32	parts per million	11	352
Water	soluble_react_phosp	micromole per liter, milligram per liter, parts per million	35	micromole per liter	8	280
Water	soluble_react_phosp	micromole per liter, milligram per liter, parts per million	35	milligram per liter	15	525
Water	soluble_react_phosp	micromole per liter, milligram per liter, parts per million	35	parts per million	11	385
Water	sulfate	micromole per liter, milligram per liter, parts per million	35	micromole per liter	8	280
Water	sulfate	micromole per liter, milligram per liter, parts per million	35	milligram per liter	15	525
Water	sulfate	micromole per liter, milligram per liter, parts per million	35	parts per million	11	385
Water	sulfide	micromole per liter, milligram per liter, parts per million	35	micromole per liter	8	280
Water	sulfide	micromole per liter, milligram per liter, parts per million	35	milligram per liter	15	525
Water	sulfide	micromole per liter, milligram per liter, parts per million	35	parts per million	11	385
Water	suspend_part_matter	milligram per liter	26	milligram per liter	15	390
Water	temp	degree Celsius	88	degree Celsius	2	176
Water	tot_depth_water_col	meter	72	meter	3	216
Water	tot_diss_nitro	microgram per liter	7	microgram per liter	6	42
Water	tot_inorg_nitro	microgram per liter	7	microgram per liter	6	42
Water	tot_nitro	microgram per liter, micromole per liter, milligram per liter	4	microgram per liter	6	24
Water	tot_nitro	microgram per liter, micromole per liter, milligram per liter	4	micromole per liter	8	32
Water	tot_nitro	microgram per liter, micromole per liter, milligram per liter	4	milligram per liter	15	60
Water	tot_part_carb	microgram per liter, micromole per liter	5	microgram per liter	6	30
Water	tot_part_carb	microgram per liter, micromole per liter	5	micromole per liter	8	40
Water	tot_phosp	micromole per liter, milligram per liter, parts per million	35	micromole per liter	8	280
Water	tot_phosp	micromole per liter, milligram per liter, parts per million	35	milligram per liter	15	525
Water	tot_phosp	micromole per liter, milligram per liter, parts per million	35	parts per million	11	385
Water	water_current	cubic meter per second, knots	2	cubic meter per second	1	2
Water	water_current	cubic meter per second, knots	2	knots	1	2
