ncbi_bioproject_accession	ncbi_biosample_accession	env_broad_scale	env_local_scale	env_medium
PRJEB42019	SAMEA7724163	temperate mixed forest biome	host-associated habitat	feces
PRJEB42019	SAMEA7724164	temperate mixed forest biome	host-associated habitat	feces
PRJEB42019	SAMEA7724165	temperate mixed forest biome	host-associated habitat	feces
PRJEB42019	SAMEA7724166	temperate mixed forest biome	host-associated habitat	feces
PRJEB42019	SAMEA7724167	temperate mixed forest biome	host-associated habitat	feces
PRJEB42019	SAMEA7724168	temperate mixed forest biome	host-associated habitat	feces
PRJEB42019	SAMEA7724169	temperate mixed forest biome	host-associated habitat	feces
PRJEB42019	SAMEA7724170	temperate mixed forest biome	host-associated habitat	feces
PRJEB42019	SAMEA7724171	temperate mixed forest biome	host-associated habitat	feces
PRJEB42019	SAMEA7724172	temperate mixed forest biome	host-associated habitat	feces
PRJEB42019	SAMEA7724173	temperate mixed forest biome	host-associated habitat	feces
PRJEB42019	SAMEA7724174	temperate mixed forest biome	host-associated habitat	feces
PRJEB42019	SAMEA7724175	temperate mixed forest biome	host-associated habitat	feces
PRJEB42019	SAMEA7724176	temperate mixed forest biome	host-associated habitat	feces
PRJEB42019	SAMEA7724177	temperate mixed forest biome	host-associated habitat	feces
PRJEB42019	SAMEA7724178	temperate mixed forest biome	host-associated habitat	feces
PRJEB42019	SAMEA7724179	temperate mixed forest biome	host-associated habitat	feces
PRJEB42019	SAMEA7724180	temperate mixed forest biome	host-associated habitat	feces
PRJEB42019	SAMEA7724181	temperate mixed forest biome	host-associated habitat	feces
PRJEB42019	SAMEA7724182	temperate mixed forest biome	host-associated habitat	feces
PRJEB42019	SAMEA7724183	temperate mixed forest biome	host-associated habitat	feces
PRJEB42019	SAMEA7724184	temperate mixed forest biome	host-associated habitat	feces
PRJEB42019	SAMEA7724185	temperate mixed forest biome	host-associated habitat	feces
PRJEB42019	SAMEA7724186	temperate mixed forest biome	host-associated habitat	feces
PRJEB42019	SAMEA7724187	temperate mixed forest biome	host-associated habitat	feces
PRJEB42019	SAMEA7724188	temperate mixed forest biome	host-associated habitat	feces
PRJEB42019	SAMEA7724189	temperate mixed forest biome	host-associated habitat	feces
PRJEB42019	SAMEA7724190	temperate mixed forest biome	host-associated habitat	feces
PRJEB42019	SAMEA7724191	temperate mixed forest biome	host-associated habitat	feces
PRJEB42019	SAMEA7724192	temperate mixed forest biome	host-associated habitat	feces
PRJEB42019	SAMEA7724193	temperate mixed forest biome	host-associated habitat	feces
PRJEB42019	SAMEA7724194	temperate mixed forest biome	host-associated habitat	feces
PRJEB42019	SAMEA7724195	temperate coniferous forest biome	temperate coniferous forest	soil
PRJEB42019	SAMEA7724196	temperate coniferous forest biome	temperate coniferous forest	soil
PRJEB42019	SAMEA7724197	temperate coniferous forest biome	temperate coniferous forest	soil
PRJEB42019	SAMEA7724198	temperate coniferous forest biome	temperate coniferous forest	soil
PRJEB42019	SAMEA7724199	temperate coniferous forest biome	temperate coniferous forest	soil
PRJEB42019	SAMEA7724200	temperate coniferous forest biome	temperate coniferous forest	soil
PRJEB42019	SAMEA7724201	temperate coniferous forest biome	temperate coniferous forest	soil
PRJEB42019	SAMEA7724202	temperate coniferous forest biome	temperate coniferous forest	soil
PRJEB42019	SAMEA7724203	temperate coniferous forest biome	temperate coniferous forest	soil
PRJEB42019	SAMEA7724204	temperate coniferous forest biome	temperate coniferous forest	soil
PRJEB42019	SAMEA7724205	temperate coniferous forest biome	temperate coniferous forest	soil
PRJEB42019	SAMEA7724206	temperate coniferous forest biome	temperate coniferous forest	soil
PRJEB42019	SAMEA7724207	cropland biome	cropland	soil
PRJEB42019	SAMEA7724208	cropland biome	cropland	soil
PRJEB42019	SAMEA7724209	cropland biome	cropland	soil
PRJEB42019	SAMEA7724210	cropland biome	cropland	soil
PRJEB42019	SAMEA7724211	rangeland biome	rangeland	soil
PRJEB42019	SAMEA7724212	temperate coniferous forest biome	temperate coniferous forest	soil
PRJEB42019	SAMEA7724213	rangeland biome	rangeland	soil
PRJEB42019	SAMEA7724214	rangeland biome	rangeland	soil
PRJEB42019	SAMEA7724215	cropland biome	cropland	soil
PRJEB42019	SAMEA7724216	cropland biome	cropland	soil
PRJEB42019	SAMEA7724217	cropland biome	cropland	soil
PRJEB42019	SAMEA7724218	cropland biome	cropland	soil
PRJEB42019	SAMEA7724219	rangeland biome	rangeland	soil
PRJEB42019	SAMEA7724220	temperate coniferous forest biome	temperate coniferous forest	soil
PRJEB42019	SAMEA7724221	temperate woodland biome	temperate woodland	soil
PRJEB42019	SAMEA7724222	rangeland biome	rangeland	soil
PRJEB42019	SAMEA7724223	temperate woodland biome	temperate woodland	soil
PRJEB42019	SAMEA7724224	cropland biome	cropland	soil
PRJEB42019	SAMEA7724225	temperate coniferous forest biome	temperate coniferous forest	soil
PRJEB42019	SAMEA7724226	cropland biome	cropland	soil
PRJEB42019	SAMEA7724227	temperate coniferous forest biome	temperate coniferous forest	soil
PRJEB42019	SAMEA7724228	temperate shrubland biome	temperate shrubland	soil
PRJEB42019	SAMEA7724229	tropical broadleaf forest biome	insecta-associated habitat	organic material
PRJEB42019	SAMEA7724230	tropical broadleaf forest biome	insecta-associated habitat	organic material
PRJEB42019	SAMEA7724231	tropical broadleaf forest biome	insecta-associated habitat	organic material
PRJEB42019	SAMEA7724232	tropical broadleaf forest biome	insecta-associated habitat	organic material
PRJEB42019	SAMEA7724233	tropical broadleaf forest biome	insecta-associated habitat	organic material
PRJEB42019	SAMEA7724234	marine salt marsh biome	saline marsh	soil
PRJEB42019	SAMEA7724235	marine salt marsh biome	saline marsh	soil
PRJEB42019	SAMEA7724236	marine salt marsh biome	saline marsh	soil
PRJEB42019	SAMEA7724237	marine salt marsh biome	saline marsh	soil
PRJEB42019	SAMEA7724238	marine salt marsh biome	saline marsh	soil
PRJEB42019	SAMEA7724239	marine salt marsh biome	saline marsh	soil
PRJEB42019	SAMEA7724240	marine salt marsh biome	saline marsh	soil
PRJEB42019	SAMEA7724241	marine salt marsh biome	saline marsh	soil
PRJEB42019	SAMEA7724242	marine salt marsh biome	saline marsh	soil
PRJEB42019	SAMEA7724243	marine salt marsh biome	saline marsh	soil
PRJEB42019	SAMEA7724244	marine salt marsh biome	saline marsh	soil
PRJEB42019	SAMEA7724245	marine salt marsh biome	saline marsh	soil
PRJEB42019	SAMEA7724246	marine salt marsh biome	saline marsh	soil
PRJEB42019	SAMEA7724247	marine salt marsh biome	saline marsh	soil
PRJEB42019	SAMEA7724248	marine salt marsh biome	saline marsh	soil
PRJEB42019	SAMEA7724249	marine salt marsh biome	saline marsh	soil
PRJEB42019	SAMEA7724250	marine salt marsh biome	saline marsh	soil
PRJEB42019	SAMEA7724251	marine salt marsh biome	saline marsh	soil
PRJEB42019	SAMEA7724252	marine salt marsh biome	saline marsh	soil
PRJEB42019	SAMEA7724253	marine salt marsh biome	saline marsh	soil
PRJEB42019	SAMEA7724254	marine salt marsh biome	saline marsh	soil
PRJEB42019	SAMEA7724255	marine salt marsh biome	saline marsh	soil
PRJEB42019	SAMEA7724256	marine salt marsh biome	saline marsh	soil
PRJEB42019	SAMEA7724257	desert biome	montane desert	alpine soil
PRJEB42019	SAMEA7724258	desert biome	montane desert	alpine soil
PRJEB42019	SAMEA7724259	desert biome	montane desert	alpine soil
PRJEB42019	SAMEA7724260	desert biome	montane desert	alpine soil
PRJEB42019	SAMEA7724261	desert biome	montane desert	alpine soil
PRJEB42019	SAMEA7724262	desert biome	montane desert	alpine soil
PRJEB42019	SAMEA7724263	desert biome	montane desert	alpine soil
PRJEB42019	SAMEA7724264	desert biome	montane desert	alpine soil
PRJEB42019	SAMEA7724265	desert biome	montane desert	alpine soil
PRJEB42019	SAMEA7724266	desert biome	montane desert	alpine soil
PRJEB42019	SAMEA7724267	desert biome	montane desert	alpine soil
PRJEB42019	SAMEA7724268	desert biome	montane desert	alpine soil
PRJEB42019	SAMEA7724269	desert biome	montane desert	alpine soil
PRJEB42019	SAMEA7724270	desert biome	montane desert	alpine soil
PRJEB42019	SAMEA7724271	desert biome	montane desert	alpine soil
PRJEB42019	SAMEA7724272	desert biome	montane desert	alpine soil
PRJEB42019	SAMEA7724273	desert biome	montane desert	alpine soil
PRJEB42019	SAMEA7724274	desert biome	montane desert	alpine soil
PRJEB42019	SAMEA7724275	desert biome	montane desert	alpine soil
PRJEB42019	SAMEA7724276	desert biome	montane desert	alpine soil
