ncbi_bioproject_accession	ncbi_biosample_accession	env_broad_scale	env_local_scale	env_medium
PRJEB42019	SAMEA7723792	desert biome	oil reservior	petroleum
PRJEB42019	SAMEA7723793	desert biome	oil reservior	petroleum
PRJEB42019	SAMEA7723794	desert biome	oil reservior	petroleum
PRJEB42019	SAMEA7723795	desert biome	oil reservior	petroleum
PRJEB42019	SAMEA7723796	desert biome	oil reservior	petroleum
PRJEB42019	SAMEA7723797	desert biome	oil reservior	petroleum
PRJEB42019	SAMEA7723798	desert biome	oil reservior	petroleum
PRJEB42019	SAMEA7723799	desert biome	oil reservior	petroleum
PRJEB42019	SAMEA7723800	desert biome	oil reservior	petroleum
PRJEB42019	SAMEA7723801	desert biome	oil reservior	petroleum
PRJEB42019	SAMEA7723802	desert biome	oil reservior	petroleum
PRJEB42019	SAMEA7723803	desert biome	oil reservior	petroleum
PRJEB42019	SAMEA7723804	desert biome	oil reservior	petroleum
PRJEB42019	SAMEA7723805	desert biome	oil reservior	petroleum
PRJEB42019	SAMEA7723806	urban biome	research facility	sterile water
PRJEB42019	SAMEA7723807	urban biome	research facility	sterile water
PRJEB42019	SAMEA7723808	urban biome	research facility	sterile water
PRJEB42019	SAMEA7723809	urban biome	research facility	sterile water
PRJEB42019	SAMEA7723810	urban biome	research facility	sterile water
PRJEB42019	SAMEA7723811	urban biome	research facility	sterile water
PRJEB42019	SAMEA7723812	urban biome	research facility	sterile water
PRJEB42019	SAMEA7723813	urban biome	research facility	sterile water
PRJEB42019	SAMEA7723814	urban biome	research facility	sterile water
PRJEB42019	SAMEA7723815	urban biome	research facility	sterile water
PRJEB42019	SAMEA7723816	urban biome	research facility	sterile water
PRJEB42019	SAMEA7723817	urban biome	research facility	sterile water
PRJEB42019	SAMEA7723818	urban biome	research facility	sterile water
PRJEB42019	SAMEA7723819	urban biome	research facility	sterile water
PRJEB42019	SAMEA7723820	urban biome	research facility	sterile water
PRJEB42019	SAMEA7723821	urban biome	research facility	sterile water
PRJEB42019	SAMEA7723822	urban biome	research facility	sterile water
PRJEB42019	SAMEA7723823	urban biome	research facility	sterile water
PRJEB42019	SAMEA7723824	urban biome	research facility	sterile water
PRJEB42019	SAMEA7723825	urban biome	research facility	sterile water
PRJEB42019	SAMEA7723826	urban biome	research facility	sterile water
PRJEB42019	SAMEA7723827	urban biome	research facility	sterile water
PRJEB42019	SAMEA7723828	urban biome	research facility	sterile water
PRJEB42019	SAMEA7723829	urban biome	research facility	sterile water
PRJEB42019	SAMEA7723830	urban biome	research facility	sterile water
PRJEB42019	SAMEA7723831	urban biome	research facility	sterile water
PRJEB42019	SAMEA7723832	urban biome	research facility	sterile water
PRJEB42019	SAMEA7723833	urban biome	research facility	sterile water
PRJEB42019	SAMEA7723834	urban biome	research facility	sterile water
PRJEB42019	SAMEA7723835	urban biome	research facility	sterile water
PRJEB42019	SAMEA7723836	urban biome	research facility	sterile water
PRJEB42019	SAMEA7723837	urban biome	research facility	sterile water
PRJEB42019	SAMEA7723838	urban biome	research facility	sterile water
PRJEB42019	SAMEA7723839	urban biome	research facility	sterile water
PRJEB42019	SAMEA7723840	urban biome	research facility	sterile water
PRJEB42019	SAMEA7723841	urban biome	research facility	sterile water
PRJEB42019	SAMEA7723842	urban biome	research facility	sterile water
PRJEB42019	SAMEA7723843	urban biome	research facility	sterile water
PRJEB42019	SAMEA7723844	urban biome	research facility	cell culture
PRJEB42019	SAMEA7723845	urban biome	research facility	cell culture
PRJEB42019	SAMEA7723846	urban biome	research facility	cell culture
PRJEB42019	SAMEA7723847	urban biome	research facility	cell culture
PRJEB42019	SAMEA7723848	urban biome	anaerobic bioreactor	anaerobic sludge
PRJEB42019	SAMEA7723849	Small lake biome	pond bed	lake sediment
PRJEB42019	SAMEA7723850	Small lake biome	pond bed	lake sediment
PRJEB42019	SAMEA7723851	Small lake biome	pond bed	lake sediment
PRJEB42019	SAMEA7723852	Small lake biome	pond bed	lake sediment
PRJEB42019	SAMEA7723853	Small lake biome	pond bed	lake sediment
PRJEB42019	SAMEA7723854	Small lake biome	pond bed	lake sediment
PRJEB42019	SAMEA7723855	Small lake biome	pond bed	lake sediment
PRJEB42019	SAMEA7723856	Small lake biome	pond bed	lake sediment
PRJEB42019	SAMEA7723857	temperate shrubland	wetland	organic material
PRJEB42019	SAMEA7723858	temperate shrubland	wetland	organic material
PRJEB42019	SAMEA7723859	temperate shrubland	wetland	organic material
PRJEB42019	SAMEA7723860	tropical moist broadleaf forest	forest	organic material
PRJEB42019	SAMEA7723861	tropical moist broadleaf forest	forest	organic material
PRJEB42019	SAMEA7723862	tropical moist broadleaf forest	forest	organic material
PRJEB42019	SAMEA7723863	tropical moist broadleaf forest	forest	pitcher plant fluid
PRJEB42019	SAMEA7723864	tropical moist broadleaf forest	forest	pitcher plant fluid
PRJEB42019	SAMEA7723865	tropical moist broadleaf forest	forest	pitcher plant fluid
PRJEB42019	SAMEA7723866	flooded savanna	wetland	organic material
PRJEB42019	SAMEA7723867	freshwater biome	wetland	organic material
PRJEB42019	SAMEA7723868	freshwater biome	wetland	organic material
PRJEB42019	SAMEA7723869	temperate shrubland	wetland	pitcher plant fluid
PRJEB42019	SAMEA7723870	temperate shrubland	wetland	pitcher plant fluid
PRJEB42019	SAMEA7723871	temperate shrubland	wetland	pitcher plant fluid
PRJEB42019	SAMEA7723872	marine salt marsh biome	marine benthic feature	marine sediment
PRJEB42019	SAMEA7723873	marine salt marsh biome	marine benthic feature	marine sediment
PRJEB42019	SAMEA7723874	marine salt marsh biome	marine benthic feature	marine sediment
PRJEB42019	SAMEA7723875	marine salt marsh biome	marine benthic feature	marine sediment
PRJEB42019	SAMEA7723876	marine salt marsh biome	marine benthic feature	marine sediment
PRJEB42019	SAMEA7723877	marine salt marsh biome	marine benthic feature	marine sediment
PRJEB42019	SAMEA7723878	marine salt marsh biome	marine benthic feature	marine sediment
PRJEB42019	SAMEA7723879	urban biome	soil	soil
PRJEB42019	SAMEA7723880	urban biome	soil	soil
PRJEB42019	SAMEA7723881	urban biome	soil	soil
PRJEB42019	SAMEA7723882	marine biome	host-associated habitat	organic material
PRJEB42019	SAMEA7723883	marine biome	host-associated habitat	organic material
PRJEB42019	SAMEA7723884	marine biome	host-associated habitat	organic material
PRJEB42019	SAMEA7723885	marine biome	host-associated habitat	feces
PRJEB42019	SAMEA7723886	marine biome	host-associated habitat	feces
PRJEB42019	SAMEA7723887	marine biome	host-associated habitat	feces
PRJEB42019	SAMEA7723888	marine biome	host-associated habitat	organic material
PRJEB42019	SAMEA7723889	marine biome	host-associated habitat	feces
PRJEB42019	SAMEA7723890	marine biome	animal-associated habitat	feces
PRJEB42019	SAMEA7723891	marine biome	animal-associated habitat	feces
PRJEB42019	SAMEA7723892	marine biome	animal-associated habitat	feces
PRJEB42019	SAMEA7723893	marine biome	animal-associated habitat	feces
PRJEB42019	SAMEA7723894	marine benthic biome	sediment	marine sediment
PRJEB42019	SAMEA7723895	marine benthic biome	marine reef	marine sediment
PRJEB42019	SAMEA7723896	marine benthic biome	mud	marine sediment
PRJEB42019	SAMEA7723897	marine benthic biome	mud	marine sediment
PRJEB42019	SAMEA7723898	marine benthic biome	marine subtidal rocky reef	marine sediment
PRJEB42019	SAMEA7723899	marine benthic biome	sand	marine sediment
PRJEB42019	SAMEA7723900	marine benthic biome	sand	marine sediment
PRJEB42019	SAMEA7723901	forest biome	volcanic feature	volcanic soil
PRJEB42019	SAMEA7723902	forest biome	volcanic feature	volcanic soil
PRJEB42019	SAMEA7723903	forest biome	volcanic feature	volcanic soil
PRJEB42019	SAMEA7723904	forest biome	volcanic feature	volcanic soil
PRJEB42019	SAMEA7723905	forest biome	volcanic feature	volcanic soil
PRJEB42019	SAMEA7723906	forest biome	volcanic feature	volcanic soil
PRJEB42019	SAMEA7723907	forest biome	volcanic feature	volcanic soil
PRJEB42019	SAMEA7723908	grassland biome	intermittent pond	lake sediment
PRJEB42019	SAMEA7723909	grassland biome	intermittent pond	lake sediment
PRJEB42019	SAMEA7723910	Small river biome	tributary	stream sediment
PRJEB42019	SAMEA7723911	Small river biome	tributary	stream sediment
PRJEB42019	SAMEA7723912	Small river biome	tributary	stream sediment
PRJEB42019	SAMEA7723913	Small river biome	tributary	stream sediment
PRJEB42019	SAMEA7723914	Small river biome	tributary	stream sediment
PRJEB42019	SAMEA7723915	Small river biome	tributary	stream sediment
PRJEB42019	SAMEA7723916	urban biome	bioreactor	biosolids
PRJEB42019	SAMEA7723917	urban biome	bioreactor	biosolids
PRJEB42019	SAMEA7723919	urban biome	bioreactor	biosolids
PRJEB42019	SAMEA7723920	urban biome	bioreactor	biosolids
PRJEB42019	SAMEA7723921	urban biome	bioreactor	biosolids
PRJEB42019	SAMEA7723922	urban biome	bioreactor	biosolids
PRJEB42019	SAMEA7723923	urban biome	bioreactor	biosolids
PRJEB42019	SAMEA7723924	temperate desert biome	desert sand	soil
PRJEB42019	SAMEA7723925	temperate desert biome	desert sand	soil
PRJEB42019	SAMEA7723926	temperate grassland biome	grassland soil	soil
PRJEB42019	SAMEA7723927	temperate coniferous forest biome	forest soil	soil
PRJEB42019	SAMEA7723928	dense settlement biome	host-associated habitat	animal manure
PRJEB42019	SAMEA7723929	neritic epipelagic zone biome	ocean	sea water
PRJEB42019	SAMEA7723930	neritic epipelagic zone biome	ocean	sea water
PRJEB42019	SAMEA7723931	neritic epipelagic zone biome	ocean	sea water
PRJEB42019	SAMEA7723932	neritic epipelagic zone biome	ocean	sea water
PRJEB42019	SAMEA7723933	neritic epipelagic zone biome	ocean	sea water
PRJEB42019	SAMEA7723934	neritic epipelagic zone biome	ocean	sea water
PRJEB42019	SAMEA7723935	neritic epipelagic zone biome	ocean	sea water
PRJEB42019	SAMEA7723936	neritic epipelagic zone biome	ocean	sea water
PRJEB42019	SAMEA7723937	neritic epipelagic zone biome	ocean	sea water
PRJEB42019	SAMEA7723938	neritic epipelagic zone biome	ocean	sea water
PRJEB42019	SAMEA7723939	neritic bathypelagic zone biome	ocean	sea water
PRJEB42019	SAMEA7723940	neritic epipelagic zone biome	ocean	sea water
PRJEB42019	SAMEA7723941	neritic epipelagic zone biome	ocean	sea water
PRJEB42019	SAMEA7723942	neritic epipelagic zone biome	ocean	sea water
PRJEB42019	SAMEA7723943	neritic epipelagic zone biome	ocean	sea water
PRJEB42019	SAMEA7723944	tundra biome	glacier	soil
PRJEB42019	SAMEA7723945	tundra biome	glacier	soil
PRJEB42019	SAMEA7723946	tundra biome	glacier	soil
PRJEB42019	SAMEA7723947	tundra biome	glacier	soil
PRJEB42019	SAMEA7723948	tundra biome	glacier	soil
PRJEB42019	SAMEA7723949	tundra biome	glacier	soil
PRJEB42019	SAMEA7723950	tundra biome	glacier	water
PRJEB42019	SAMEA7723951	tundra biome	glacier	water
PRJEB42019	SAMEA7723952	tundra biome	glacier	water
PRJEB42019	SAMEA7723953	tundra biome	glacier	water
PRJEB42019	SAMEA7723954	tundra biome	glacier	water
PRJEB42019	SAMEA7723955	tundra biome	glacier	water
PRJEB42019	SAMEA7723956	tundra biome	glacier	water
PRJEB42019	SAMEA7723957	marine benthic biome	marine benthic feature	sediment
PRJEB42019	SAMEA7723958	marine benthic biome	marine benthic feature	sediment
PRJEB42019	SAMEA7723959	marine benthic biome	marine benthic feature	sediment
PRJEB42019	SAMEA7723960	marine benthic biome	marine benthic feature	sediment
PRJEB42019	SAMEA7723961	marine benthic biome	marine benthic feature	sediment
PRJEB42019	SAMEA7723962	marine benthic biome	marine benthic feature	sediment
PRJEB42019	SAMEA7723963	marine benthic biome	marine benthic feature	sediment
PRJEB42019	SAMEA7723964	marine benthic biome	marine benthic feature	sediment
PRJEB42019	SAMEA7723965	marine benthic biome	marine benthic feature	sediment
PRJEB42019	SAMEA7723966	marine benthic biome	marine benthic feature	sediment
PRJEB42019	SAMEA7723967	marine biome	animal-associated habitat	intestine environment
PRJEB42019	SAMEA7723968	marine biome	animal-associated habitat	intestine environment
PRJEB42019	SAMEA7723969	marine biome	animal-associated habitat	intestine environment
PRJEB42019	SAMEA7723970	marine biome	animal-associated habitat	intestine environment
PRJEB42019	SAMEA7723971	marine reef biome	marine benthic feature	organic material
PRJEB42019	SAMEA7723972	marine reef biome	marine benthic feature	organic material
PRJEB42019	SAMEA7723973	marine reef biome	marine benthic feature	organic material
PRJEB42019	SAMEA7723974	marine reef biome	marine benthic feature	organic material
PRJEB42019	SAMEA7723975	urban biome	animal-associated habitat	feces
PRJEB42019	SAMEA7723976	urban biome	animal-associated habitat	feces
PRJEB42019	SAMEA7723977	urban biome	animal-associated habitat	feces
PRJEB42019	SAMEA7723978	urban biome	animal-associated habitat	feces
PRJEB42019	SAMEA7723979	urban biome	animal-associated habitat	feces
PRJEB42019	SAMEA7723980	urban biome	animal-associated habitat	feces
PRJEB42019	SAMEA7723981	urban biome	animal-associated habitat	feces
PRJEB42019	SAMEA7723982	urban biome	animal-associated habitat	feces
PRJEB42019	SAMEA7723983	urban biome	animal-associated habitat	feces
PRJEB42019	SAMEA7723984	urban biome	animal-associated habitat	feces
PRJEB42019	SAMEA7723388	urban biome	anaerobic bioreactor	anaerobic sludge
PRJEB42019	SAMEA7723389	urban biome	anaerobic bioreactor	anaerobic sludge
PRJEB42019	SAMEA7723390	urban biome	anaerobic bioreactor	anaerobic sludge
PRJEB42019	SAMEA7723391	urban biome	anaerobic bioreactor	anaerobic sludge
PRJEB42019	SAMEA7723392	Small lake biome	pond bed	lake sediment
PRJEB42019	SAMEA7723393	Small lake biome	pond bed	lake sediment
PRJEB42019	SAMEA7723394	Small lake biome	pond bed	lake sediment
PRJEB42019	SAMEA7723395	Small lake biome	pond bed	lake sediment
PRJEB42019	SAMEA7723396	Small lake biome	pond bed	lake sediment
PRJEB42019	SAMEA7723397	Small lake biome	pond bed	lake sediment
PRJEB42019	SAMEA7723398	Small lake biome	pond bed	lake sediment
PRJEB42019	SAMEA7723399	marine salt marsh biome	marine benthic feature	marine sediment
PRJEB42019	SAMEA7723400	marine salt marsh biome	marine benthic feature	marine sediment
PRJEB42019	SAMEA7723401	marine salt marsh biome	marine benthic feature	marine sediment
PRJEB42019	SAMEA7723402	marine salt marsh biome	marine benthic feature	marine sediment
PRJEB42019	SAMEA7723403	marine salt marsh biome	marine benthic feature	marine sediment
PRJEB42019	SAMEA7723404	marine salt marsh biome	marine benthic feature	marine sediment
PRJEB42019	SAMEA7723405	marine salt marsh biome	marine benthic feature	marine sediment
PRJEB42019	SAMEA7723406	marine biome	host-associated habitat	organic material
PRJEB42019	SAMEA7723407	marine biome	host-associated habitat	organic material
PRJEB42019	SAMEA7723408	marine biome	host-associated habitat	feces
PRJEB42019	SAMEA7723409	marine biome	host-associated habitat	wood
PRJEB42019	SAMEA7723410	marine biome	animal-associated habitat	feces
PRJEB42019	SAMEA7723411	marine biome	animal-associated habitat	feces
PRJEB42019	SAMEA7723412	marine biome	animal-associated habitat	feces
PRJEB42019	SAMEA7723413	marine biome	animal-associated habitat	feces
PRJEB42019	SAMEA7723414	marine biome	animal-associated habitat	feces
PRJEB42019	SAMEA7723415	marine biome	animal-associated habitat	feces
PRJEB42019	SAMEA7723416	marine biome	animal-associated habitat	feces
PRJEB42019	SAMEA7723417	marine benthic biome	sediment	marine sediment
PRJEB42019	SAMEA7723418	marine benthic biome	marine reef	marine sediment
PRJEB42019	SAMEA7723419	marine benthic biome	mangrove	marine sediment
PRJEB42019	SAMEA7723420	marine benthic biome	lagoon	marine sediment
PRJEB42019	SAMEA7723421	marine benthic biome	mud	marine sediment
PRJEB42019	SAMEA7723422	marine benthic biome	mud	marine sediment
PRJEB42019	SAMEA7723423	marine benthic biome	marine reef	marine sediment
PRJEB42019	SAMEA7723424	marine benthic biome	marine reef	marine sediment
PRJEB42019	SAMEA7723425	marine benthic biome	marine reef	marine sediment
PRJEB42019	SAMEA7723426	marine benthic biome	sediment	marine sediment
PRJEB42019	SAMEA7723427	marine benthic biome	sediment	marine sediment
PRJEB42019	SAMEA7723428	forest biome	volcanic feature	volcanic soil
PRJEB42019	SAMEA7723429	forest biome	volcanic feature	volcanic soil
PRJEB42019	SAMEA7723430	forest biome	volcanic feature	volcanic soil
PRJEB42019	SAMEA7723431	forest biome	volcanic feature	volcanic soil
PRJEB42019	SAMEA7723432	forest biome	volcanic feature	volcanic soil
PRJEB42019	SAMEA7723433	forest biome	volcanic feature	volcanic soil
PRJEB42019	SAMEA7723434	forest biome	volcanic feature	volcanic soil
PRJEB42019	SAMEA7723435	forest biome	volcanic feature	volcanic soil
PRJEB42019	SAMEA7723436	forest biome	volcanic feature	volcanic soil
PRJEB42019	SAMEA7723437	grassland biome	intermittent pond	lake sediment
PRJEB42019	SAMEA7723438	grassland biome	intermittent pond	lake sediment
PRJEB42019	SAMEA7723439	grassland biome	intermittent pond	lake sediment
PRJEB42019	SAMEA7723440	Small river biome	tributary	stream sediment
PRJEB42019	SAMEA7723441	Small river biome	tributary	stream sediment
PRJEB42019	SAMEA7723442	Small river biome	tributary	stream sediment
PRJEB42019	SAMEA7723443	urban biome	bioreactor	biosolids
PRJEB42019	SAMEA7723444	urban biome	bioreactor	biosolids
PRJEB42019	SAMEA7723445	temperate desert biome	desert sand	soil
PRJEB42019	SAMEA7723446	temperate coniferous forest biome	forest soil	soil
PRJEB42019	SAMEA7723447	temperate coniferous forest biome	forest soil	soil
PRJEB42019	SAMEA7723448	temperate grassland biome	grassland soil	soil
PRJEB42019	SAMEA7723449	temperate grassland biome	grassland soil	soil
PRJEB42019	SAMEA7723450	temperate grassland biome	grassland soil	soil
PRJEB42019	SAMEA7723451	temperate coniferous forest biome	forest soil	soil
PRJEB42019	SAMEA7723452	urban biome	animal-associated habitat	sebum
PRJEB42019	SAMEA7723453	urban biome	animal-associated habitat	sebum
PRJEB42019	SAMEA7723454	urban biome	animal-associated habitat	sebum
PRJEB42019	SAMEA7723455	dense settlement biome	host-associated habitat	animal manure
PRJEB42019	SAMEA7723456	dense settlement biome	host-associated habitat	animal manure
PRJEB42019	SAMEA7723457	dense settlement biome	host-associated habitat	animal manure
PRJEB42019	SAMEA7723458	dense settlement biome	host-associated habitat	animal manure
PRJEB42019	SAMEA7723459	dense settlement biome	host-associated habitat	animal manure
PRJEB42019	SAMEA7723460	tropical broadleaf forest biome	insecta-associated habitat	organic material
PRJEB42019	SAMEA7723461	tropical broadleaf forest biome	insecta-associated habitat	organic material
PRJEB42019	SAMEA7723462	tropical broadleaf forest biome	insecta-associated habitat	organic material
PRJEB42019	SAMEA7723463	tropical broadleaf forest biome	insecta-associated habitat	organic material
PRJEB42019	SAMEA7723464	tropical broadleaf forest biome	insecta-associated habitat	organic material
PRJEB42019	SAMEA7723465	tropical broadleaf forest biome	insecta-associated habitat	organic material
PRJEB42019	SAMEA7723466	tropical broadleaf forest biome	insecta-associated habitat	organic material
PRJEB42019	SAMEA7723467	tropical broadleaf forest biome	insecta-associated habitat	organic material
PRJEB42019	SAMEA7723468	tropical broadleaf forest biome	insecta-associated habitat	organic material
PRJEB42019	SAMEA7723469	tropical broadleaf forest biome	insecta-associated habitat	organic material
PRJEB42019	SAMEA7723470	tropical broadleaf forest biome	insecta-associated habitat	organic material
PRJEB42019	SAMEA7723471	tropical broadleaf forest biome	insecta-associated habitat	organic material
PRJEB42019	SAMEA7723472	tropical broadleaf forest biome	insecta-associated habitat	organic material
PRJEB42019	SAMEA7723473	tropical broadleaf forest biome	insecta-associated habitat	organic material
PRJEB42019	SAMEA7723474	tropical broadleaf forest biome	insecta-associated habitat	organic material
PRJEB42019	SAMEA7723475	tropical broadleaf forest biome	insecta-associated habitat	organic material
PRJEB42019	SAMEA7723476	tropical broadleaf forest biome	insecta-associated habitat	organic material
PRJEB42019	SAMEA7723477	tundra biome	glacier	soil
PRJEB42019	SAMEA7723478	tundra biome	glacier	soil
PRJEB42019	SAMEA7723479	marine benthic biome	marine benthic feature	sediment
PRJEB42019	SAMEA7723480	marine benthic biome	marine benthic feature	sediment
PRJEB42019	SAMEA7723481	marine benthic biome	marine benthic feature	sediment
PRJEB42019	SAMEA7723482	marine benthic biome	marine benthic feature	sediment
PRJEB42019	SAMEA7723483	marine benthic biome	marine benthic feature	sediment
PRJEB42019	SAMEA7723484	marine benthic biome	marine benthic feature	sediment
PRJEB42019	SAMEA7723485	marine benthic biome	marine benthic feature	sediment
PRJEB42019	SAMEA7723486	marine benthic biome	marine benthic feature	sediment
PRJEB42019	SAMEA7723487	marine benthic biome	marine benthic feature	sediment
PRJEB42019	SAMEA7723488	marine benthic biome	marine benthic feature	sediment
PRJEB42019	SAMEA7723489	marine benthic biome	marine benthic feature	sediment
PRJEB42019	SAMEA7723490	marine benthic biome	marine benthic feature	sediment
PRJEB42019	SAMEA7723491	marine benthic biome	marine benthic feature	sediment
PRJEB42019	SAMEA7723492	marine benthic biome	marine benthic feature	sediment
PRJEB42019	SAMEA7723493	marine benthic biome	marine benthic feature	sediment
PRJEB42019	SAMEA7723494	marine benthic biome	marine benthic feature	sediment
PRJEB42019	SAMEA7723495	marine benthic biome	marine benthic feature	sediment
PRJEB42019	SAMEA7723496	marine benthic biome	microbial mat	biofilm
PRJEB42019	SAMEA7723497	marine benthic biome	stromatolite mat	biofilm
PRJEB42019	SAMEA7723498	marine biome	animal-associated habitat	intestine environment
PRJEB42019	SAMEA7723499	marine biome	animal-associated habitat	intestine environment
PRJEB42019	SAMEA7723500	marine biome	animal-associated habitat	intestine environment
PRJEB42019	SAMEA7723501	marine biome	animal-associated habitat	intestine environment
PRJEB42019	SAMEA7723502	marine biome	animal-associated habitat	intestine environment
PRJEB42019	SAMEA7723503	marine biome	animal-associated habitat	intestine environment
PRJEB42019	SAMEA7723504	marine biome	animal-associated habitat	intestine environment
PRJEB42019	SAMEA7723505	marine biome	animal-associated habitat	intestine environment
PRJEB42019	SAMEA7723506	marine biome	animal-associated habitat	intestine environment
PRJEB42019	SAMEA7723507	marine biome	animal-associated habitat	intestine environment
PRJEB42019	SAMEA7723508	marine reef biome	marine benthic feature	organic material
PRJEB42019	SAMEA7723509	marine reef biome	marine benthic feature	organic material
PRJEB42019	SAMEA7723510	marine reef biome	marine benthic feature	organic material
PRJEB42019	SAMEA7723511	marine reef biome	marine benthic feature	organic material
PRJEB42019	SAMEA7723512	urban biome	animal-associated habitat	feces
PRJEB42019	SAMEA7723513	urban biome	animal-associated habitat	feces
PRJEB42019	SAMEA7723514	urban biome	animal-associated habitat	feces
PRJEB42019	SAMEA7723515	urban biome	animal-associated habitat	feces
PRJEB42019	SAMEA7723516	urban biome	animal-associated habitat	feces
PRJEB42019	SAMEA7723517	urban biome	animal-associated habitat	feces
PRJEB42019	SAMEA7723518	urban biome	animal-associated habitat	feces
PRJEB42019	SAMEA7723519	urban biome	animal-associated habitat	feces
PRJEB42019	SAMEA7723520	urban biome	animal-associated habitat	feces
PRJEB42019	SAMEA7723521	urban biome	animal-associated habitat	feces
PRJEB42019	SAMEA7723522	urban biome	animal-associated habitat	feces
PRJEB42019	SAMEA7723523	urban biome	animal-associated habitat	feces
PRJEB42019	SAMEA7723524	urban biome	animal-associated habitat	feces
PRJEB42019	SAMEA7723525	urban biome	animal-associated habitat	feces
PRJEB42019	SAMEA7723526	urban biome	animal-associated habitat	feces
PRJEB42019	SAMEA7723527	urban biome	animal-associated habitat	feces
PRJEB42019	SAMEA7723528	urban biome	animal-associated habitat	feces
PRJEB42019	SAMEA7723529	urban biome	animal-associated habitat	feces
PRJEB42019	SAMEA7723530	urban biome	animal-associated habitat	feces
PRJEB42019	SAMEA7723531	urban biome	animal-associated habitat	feces
PRJEB42019	SAMEA7723532	urban biome	animal-associated habitat	feces
PRJEB42019	SAMEA7723533	urban biome	animal-associated habitat	feces
PRJEB42019	SAMEA7723534	urban biome	animal-associated habitat	feces
PRJEB42019	SAMEA7723535	urban biome	animal-associated habitat	feces
PRJEB42019	SAMEA7723536	urban biome	animal-associated habitat	feces
PRJEB42019	SAMEA7723537	urban biome	animal-associated habitat	feces
PRJEB42019	SAMEA7723538	urban biome	animal-associated habitat	feces
PRJEB42019	SAMEA7723539	marine pelagic biome	coastal water body	coastal water
PRJEB42019	SAMEA7723540	marine pelagic biome	coastal water body	coastal water
PRJEB42019	SAMEA7723541	marine pelagic biome	coastal water body	coastal water
PRJEB42019	SAMEA7723542	marine pelagic biome	coastal water body	coastal water
PRJEB42019	SAMEA7723543	marine sediment	coastal water body	sediment
PRJEB42019	SAMEA7723544	marine sediment	coastal water body	sediment
PRJEB42019	SAMEA7723545	dense settlement biome	mine	rock
PRJEB42019	SAMEA7723546	dense settlement biome	mine	rock
PRJEB42019	SAMEA7723547	dense settlement biome	mine	rock
PRJEB42019	SAMEA7723548	dense settlement biome	mine	rock
PRJEB42019	SAMEA7723549	dense settlement biome	mine	rock
PRJEB42019	SAMEA7723550	dense settlement biome	mine	groundwater
PRJEB42019	SAMEA7723551	subpolar coniferous forest biome	bog	soil
PRJEB42019	SAMEA7723552	subpolar coniferous forest biome	bog	soil
PRJEB42019	SAMEA7723553	subpolar coniferous forest biome	cliff	rock
PRJEB42019	SAMEA7723554	marine reef biome	coral reef	organic material
PRJEB42019	SAMEA7723555	marine reef biome	coral reef	organic material
PRJEB42019	SAMEA7723556	marine reef biome	coral reef	organic material
PRJEB42019	SAMEA7723557	marine reef biome	coral reef	organic material
PRJEB42019	SAMEA7723558	marine reef biome	coral reef	organic material
PRJEB42019	SAMEA7723559	marine reef biome	coral reef	mucus
PRJEB42019	SAMEA7723560	marine reef biome	coral reef	sea water
PRJEB42019	SAMEA7723561	urban biome	research facility	sterile water
PRJEB42019	SAMEA7723562	urban biome	research facility	sterile water
PRJEB42019	SAMEA7723563	urban biome	research facility	sterile water
PRJEB42019	SAMEA7723564	urban biome	research facility	sterile water
PRJEB42019	SAMEA7723565	urban biome	research facility	sterile water
PRJEB42019	SAMEA7723566	urban biome	research facility	sterile water
PRJEB42019	SAMEA7723567	urban biome	research facility	sterile water
PRJEB42019	SAMEA7723568	urban biome	research facility	sterile water
PRJEB42019	SAMEA7723569	urban biome	research facility	sterile water
PRJEB42019	SAMEA7723570	urban biome	research facility	sterile water
PRJEB42019	SAMEA7723571	urban biome	research facility	sterile water
PRJEB42019	SAMEA7723572	urban biome	research facility	sterile water
PRJEB42019	SAMEA7723573	urban biome	research facility	sterile water
PRJEB42019	SAMEA7723574	urban biome	research facility	sterile water
PRJEB42019	SAMEA7723575	urban biome	research facility	sterile water
PRJEB42019	SAMEA7723576	urban biome	research facility	sterile water
PRJEB42019	SAMEA7723577	urban biome	research facility	sterile water
PRJEB42019	SAMEA7723578	urban biome	research facility	sterile water
PRJEB42019	SAMEA7723579	urban biome	research facility	sterile water
PRJEB42019	SAMEA7723580	urban biome	research facility	sterile water
PRJEB42019	SAMEA7723581	urban biome	research facility	sterile water
PRJEB42019	SAMEA7723582	urban biome	research facility	sterile water
PRJEB42019	SAMEA7723583	urban biome	research facility	sterile water
PRJEB42019	SAMEA7723584	urban biome	research facility	sterile water
PRJEB42019	SAMEA7723585	urban biome	research facility	sterile water
PRJEB42019	SAMEA7723586	urban biome	research facility	sterile water
PRJEB42019	SAMEA7723587	urban biome	research facility	sterile water
PRJEB42019	SAMEA7723588	urban biome	research facility	sterile water
PRJEB42019	SAMEA7723589	urban biome	research facility	sterile water
PRJEB42019	SAMEA7723590	urban biome	research facility	sterile water
PRJEB42019	SAMEA7723591	urban biome	research facility	sterile water
PRJEB42019	SAMEA7723592	urban biome	research facility	sterile water
PRJEB42019	SAMEA7723593	urban biome	research facility	sterile water
PRJEB42019	SAMEA7723594	urban biome	research facility	sterile water
PRJEB42019	SAMEA7723595	urban biome	research facility	sterile water
PRJEB42019	SAMEA7723596	urban biome	research facility	sterile water
