bioproject_accession	biosample_accession	env_broad_scale	env_local_scale	env_medium
PRJEB55522	SAMEA112131008	Kap Koebenhagen formation		Sandy sediments
PRJEB55522	SAMEA112131009	Kap Koebenhagen formation		Sandy sediments
PRJEB55522	SAMEA112131010	Kap Koebenhagen formation		Sandy sediments
PRJEB55522	SAMEA112131011	Kap Koebenhagen formation		Sandy sediments
PRJEB55522	SAMEA112131012	Kap Koebenhagen formation		Sandy sediments
PRJEB55522	SAMEA112131013	Kap Koebenhagen formation		Sandy sediments
PRJEB55522	SAMEA112131014	Kap Koebenhagen formation		Sandy sediments
PRJEB55522	SAMEA112131015	Kap Koebenhagen formation		Sandy sediments
PRJEB55522	SAMEA112131016	Kap Koebenhagen formation		Sandy sediments
PRJEB55522	SAMEA112131017	Kap Koebenhagen formation		Sandy sediments
PRJEB55522	SAMEA112131018	Kap Koebenhagen formation		Sandy sediments
PRJEB55522	SAMEA112131019	Kap Koebenhagen formation		Sandy sediments
PRJEB55522	SAMEA112131020	Kap Koebenhagen formation		Sandy sediments
PRJEB55522	SAMEA112131021	Kap Koebenhagen formation		Sandy sediments
PRJEB55522	SAMEA112131022	Kap Koebenhagen formation		Sandy sediments
PRJEB55522	SAMEA112131023	Kap Koebenhagen formation		Sandy sediments
PRJEB55522	SAMEA112131024	Kap Koebenhagen formation		Sandy sediments
PRJEB55522	SAMEA112131025	Kap Koebenhagen formation		Sandy sediments
PRJEB55522	SAMEA112131026	Kap Koebenhagen formation		Sandy sediments
PRJEB55522	SAMEA112131027	Kap Koebenhagen formation		Sandy sediments
PRJEB55522	SAMEA112131028	Kap Koebenhagen formation		Sandy sediments
PRJEB55522	SAMEA112131029	Kap Koebenhagen formation		Sandy sediments
PRJEB55522	SAMEA112131030	Kap Koebenhagen formation		Sandy sediments
PRJEB55522	SAMEA112131031	Kap Koebenhagen formation		Sandy sediments
PRJEB55522	SAMEA112131032	Kap Koebenhagen formation		Sandy sediments
PRJEB55522	SAMEA112131033	Kap Koebenhagen formation		Sandy sediments
PRJEB55522	SAMEA112131034	Kap Koebenhagen formation		Sandy sediments
PRJEB55522	SAMEA112131035	Kap Koebenhagen formation		Sandy sediments
PRJEB55522	SAMEA112131036	Kap Koebenhagen formation		Sandy sediments
PRJEB55522	SAMEA112131037	Kap Koebenhagen formation		Sandy sediments
PRJEB55522	SAMEA112131038	Kap Koebenhagen formation		Sandy sediments
PRJEB55522	SAMEA112131039	Kap Koebenhagen formation		Sandy sediments
PRJEB55522	SAMEA112131040	Kap Koebenhagen formation		Sandy sediments
PRJEB55522	SAMEA112131041	Kap Koebenhagen formation		Sandy sediments
PRJEB55522	SAMEA112131042	Kap Koebenhagen formation		Sandy sediments
PRJEB55522	SAMEA112131043	Kap Koebenhagen formation		Sandy sediments
PRJEB62460	SAMEA113534245	urban biome	research facility	sterile water
PRJEB62460	SAMEA113534246	urban biome	research facility	sterile water
PRJEB62460	SAMEA113534247	urban biome	research facility	sterile water
PRJEB62460	SAMEA113534248	urban biome	research facility	sterile water
PRJEB62460	SAMEA113534249	urban biome	research facility	sterile water
PRJEB62460	SAMEA113534250	urban biome	research facility	sterile water
PRJEB62460	SAMEA113534251	urban biome	research facility	sterile water
PRJEB62460	SAMEA113534252	urban biome	research facility	sterile water
PRJEB62460	SAMEA113534253	urban biome	research facility	sterile water
PRJEB62460	SAMEA113534254	urban biome	research facility	sterile water
PRJEB62460	SAMEA113534255	urban biome	research facility	sterile water
PRJEB62460	SAMEA113534256	urban biome	research facility	sterile water
PRJEB62460	SAMEA113534257	urban biome	research facility	sterile water
PRJEB62460	SAMEA113534258	urban biome	research facility	sterile water
PRJEB62460	SAMEA113534259	urban biome	research facility	sterile water
PRJEB62460	SAMEA113534260	urban biome	research facility	sterile water
PRJEB62460	SAMEA113534261	urban biome	research facility	sterile water
PRJEB62460	SAMEA113534262	urban biome	research facility	sterile water
PRJEB62460	SAMEA113534263	urban biome	research facility	sterile water
PRJEB62460	SAMEA113534264	urban biome	research facility	sterile water
PRJEB62460	SAMEA113534265	urban biome	research facility	sterile water
PRJEB62460	SAMEA113534266	urban biome	research facility	sterile water
PRJEB62460	SAMEA113534267	urban biome	research facility	sterile water
PRJEB62460	SAMEA113534268	urban biome	research facility	sterile water
PRJEB62460	SAMEA113534269	urban biome	research facility	sterile water
PRJEB62460	SAMEA113534270	urban biome	research facility	sterile water
PRJEB62460	SAMEA113534271	urban biome	research facility	sterile water
PRJEB62460	SAMEA113534272	urban biome	research facility	sterile water
PRJEB62460	SAMEA113534273	urban biome	research facility	sterile water
PRJEB62460	SAMEA113534274	urban biome	research facility	sterile water
PRJEB62460	SAMEA113534275	urban biome	research facility	sterile water
PRJEB62460	SAMEA113534276	urban biome	research facility	sterile water
PRJEB62460	SAMEA113534277	urban biome	research facility	sterile water
PRJEB62460	SAMEA113534278	urban biome	research facility	sterile water
PRJEB62460	SAMEA113534279	urban biome	research facility	sterile water
PRJEB62460	SAMEA113534280	urban biome	research facility	sterile water
PRJEB62460	SAMEA113534281	urban biome	research facility	sterile water
PRJEB62460	SAMEA113534282	urban biome	research facility	sterile water
PRJEB62460	SAMEA113534283	urban biome	research facility	sterile water
PRJEB62460	SAMEA113534284	urban biome	research facility	sterile water
PRJEB62460	SAMEA113534285	urban biome	research facility	sterile water
PRJEB62460	SAMEA113534286	urban biome	research facility	sterile water
PRJEB62460	SAMEA113534287	urban biome	research facility	sterile water
PRJEB62460	SAMEA113534288	urban biome	research facility	sterile water
PRJEB62460	SAMEA113534289	urban biome	research facility	sterile water
PRJEB62460	SAMEA113534290	urban biome	research facility	sterile water
PRJEB62460	SAMEA113534291	urban biome	research facility	sterile water
PRJEB62460	SAMEA113534292	urban biome	research facility	sterile water
PRJEB62460	SAMEA113534293	urban biome	research facility	sterile water
PRJEB62460	SAMEA113534294	urban biome	research facility	sterile water
PRJEB62460	SAMEA113534295	urban biome	research facility	sterile water
PRJEB62460	SAMEA113534296	urban biome	research facility	sterile water
PRJEB62460	SAMEA113534297	urban biome	research facility	sterile water
PRJEB62460	SAMEA113534298	urban biome	research facility	sterile water
PRJEB62460	SAMEA113534299	urban biome	research facility	sterile water
PRJEB62460	SAMEA113534300	urban biome	research facility	sterile water
PRJEB62460	SAMEA113534301	urban biome	research facility	sterile water
PRJEB62460	SAMEA113534302	urban biome	research facility	sterile water
PRJEB62460	SAMEA113534303	urban biome	research facility	sterile water
PRJEB62460	SAMEA113534304	urban biome	research facility	sterile water
PRJEB62460	SAMEA113534305	urban biome	research facility	sterile water
PRJEB62460	SAMEA113534306	urban biome	research facility	sterile water
PRJEB62460	SAMEA113534307	urban biome	research facility	sterile water
PRJEB62460	SAMEA113534308	urban biome	research facility	sterile water
PRJEB62460	SAMEA113534309	urban biome	research facility	sterile water
PRJEB62460	SAMEA113534310	urban biome	research facility	sterile water
PRJEB62460	SAMEA113534311	urban biome	research facility	sterile water
PRJEB62460	SAMEA113534312	urban biome	research facility	sterile water
PRJEB62460	SAMEA113534313	urban biome	research facility	sterile water
PRJEB62460	SAMEA113534314	urban biome	research facility	sterile water
PRJEB62460	SAMEA113534315	urban biome	research facility	sterile water
PRJEB62460	SAMEA113534316	urban biome	research facility	sterile water
PRJEB62460	SAMEA113534317	urban biome	research facility	sterile water
PRJEB62460	SAMEA113534318	urban biome	research facility	sterile water
PRJEB62460	SAMEA113534319	urban biome	research facility	sterile water
PRJEB62460	SAMEA113534320	urban biome	research facility	sterile water
PRJEB62460	SAMEA113534321	urban biome	research facility	sterile water
PRJEB62460	SAMEA113534322	urban biome	research facility	sterile water
PRJEB62460	SAMEA113534323	urban biome	research facility	sterile water
PRJEB62460	SAMEA113534324	urban biome	research facility	sterile water
PRJEB62460	SAMEA113534325	urban biome	research facility	sterile water
PRJEB62460	SAMEA113534326	urban biome	research facility	sterile water
PRJEB62460	SAMEA113534327	urban biome	research facility	sterile water
PRJEB62460	SAMEA113534328	urban biome	research facility	sterile water
PRJEB62460	SAMEA113534329	urban biome	research facility	sterile water
PRJEB62460	SAMEA113534330	urban biome	research facility	sterile water
PRJEB62460	SAMEA113534331	urban biome	research facility	sterile water
PRJEB62460	SAMEA113534332	urban biome	research facility	sterile water
PRJEB62460	SAMEA113534333	urban biome	research facility	sterile water
PRJEB62460	SAMEA113534334	urban biome	research facility	sterile water
PRJEB62460	SAMEA113534335	urban biome	research facility	sterile water
PRJEB62460	SAMEA113534336	urban biome	research facility	sterile water
PRJEB62460	SAMEA113534337	urban biome	research facility	sterile water
PRJEB62460	SAMEA113534338	urban biome	research facility	sterile water
PRJEB62460	SAMEA113534339	urban biome	research facility	sterile water
PRJEB62460	SAMEA113534340	urban biome	research facility	sterile water
PRJEB62460	SAMEA113534341	urban biome	research facility	sterile water
PRJEB62460	SAMEA113534342	urban biome	research facility	sterile water
PRJEB62460	SAMEA113534343	urban biome	research facility	sterile water
PRJEB62460	SAMEA113534344	urban biome	research facility	sterile water
PRJEB62460	SAMEA113534345	urban biome	research facility	sterile water
PRJEB62460	SAMEA113534346	urban biome	research facility	sterile water
PRJEB62460	SAMEA113534347	urban biome	research facility	sterile water
PRJEB62460	SAMEA113534348	dense settlement biome	research facility	soil
PRJEB62460	SAMEA113534349	dense settlement biome	research facility	soil
PRJEB62460	SAMEA113534350	dense settlement biome	research facility	soil
PRJEB62460	SAMEA113534351	dense settlement biome	research facility	soil
PRJEB62460	SAMEA113534352	dense settlement biome	research facility	soil
PRJEB62460	SAMEA113534353	dense settlement biome	research facility	soil
PRJEB62460	SAMEA113534354	dense settlement biome	research facility	soil
PRJEB62460	SAMEA113534355	dense settlement biome	research facility	soil
PRJEB62460	SAMEA113534356	dense settlement biome	research facility	soil
PRJEB62460	SAMEA113534357	dense settlement biome	research facility	soil
PRJEB62460	SAMEA113534358	dense settlement biome	research facility	soil
PRJEB62460	SAMEA113534359	dense settlement biome	research facility	soil
PRJEB62460	SAMEA113534360	dense settlement biome	research facility	soil
PRJEB62460	SAMEA113534361	dense settlement biome	research facility	soil
PRJEB62460	SAMEA113534362	dense settlement biome	research facility	soil
PRJEB62460	SAMEA113534363	dense settlement biome	research facility	soil
PRJEB62460	SAMEA113534364	dense settlement biome	research facility	soil
PRJEB62460	SAMEA113534365	dense settlement biome	research facility	soil
PRJEB62460	SAMEA113534366	dense settlement biome	research facility	soil
PRJEB62460	SAMEA113534367	dense settlement biome	research facility	soil
PRJEB62460	SAMEA113534368	dense settlement biome	research facility	soil
PRJEB62460	SAMEA113534369	dense settlement biome	research facility	soil
PRJEB62460	SAMEA113534370	dense settlement biome	research facility	soil
PRJEB62460	SAMEA113534371	dense settlement biome	research facility	soil
PRJEB62460	SAMEA113534372	dense settlement biome	research facility	soil
PRJEB62460	SAMEA113534373	dense settlement biome	research facility	soil
PRJEB62460	SAMEA113534374	dense settlement biome	research facility	soil
PRJEB62460	SAMEA113534375	dense settlement biome	research facility	soil
PRJEB62460	SAMEA113534376	dense settlement biome	research facility	soil
PRJEB62460	SAMEA113534377	dense settlement biome	research facility	soil
PRJEB62460	SAMEA113534378	dense settlement biome	research facility	soil
PRJEB62460	SAMEA113534379	dense settlement biome	research facility	soil
PRJEB62460	SAMEA113534380	dense settlement biome	research facility	soil
PRJEB62460	SAMEA113534381	dense settlement biome	research facility	soil
PRJEB62460	SAMEA113534382	dense settlement biome	research facility	soil
PRJEB62460	SAMEA113534383	dense settlement biome	research facility	soil
PRJEB62460	SAMEA113534384	dense settlement biome	research facility	soil
PRJEB62460	SAMEA113534385	dense settlement biome	research facility	soil
PRJEB62460	SAMEA113534386	dense settlement biome	research facility	soil
PRJEB62460	SAMEA113534387	dense settlement biome	research facility	soil
PRJEB62460	SAMEA113534388	dense settlement biome	research facility	soil
PRJEB62460	SAMEA113534389	dense settlement biome	research facility	soil
PRJEB62460	SAMEA113534390	dense settlement biome	research facility	soil
PRJEB62460	SAMEA113534391	dense settlement biome	research facility	soil
PRJEB62460	SAMEA113534392	dense settlement biome	research facility	soil
PRJEB62460	SAMEA113534393	dense settlement biome	research facility	soil
PRJEB62460	SAMEA113534394	dense settlement biome	research facility	soil
PRJEB62460	SAMEA113534395	dense settlement biome	research facility	soil
PRJEB62460	SAMEA113534396	dense settlement biome	research facility	soil
PRJEB62460	SAMEA113534397	urban biome	research facility	soil
PRJEB62460	SAMEA113534398	urban biome	research facility	soil
PRJEB62460	SAMEA113534399	urban biome	research facility	soil
PRJEB62460	SAMEA113534400	urban biome	research facility	soil
PRJEB62460	SAMEA113534401	urban biome	research facility	soil
PRJEB62460	SAMEA113534402	urban biome	research facility	soil
PRJEB62460	SAMEA113534403	urban biome	research facility	soil
PRJEB62460	SAMEA113534404	urban biome	research facility	soil
PRJEB62460	SAMEA113534405	urban biome	research facility	soil
PRJEB62460	SAMEA113534406	urban biome	research facility	soil
PRJEB62460	SAMEA113534407	urban biome	research facility	soil
PRJEB62460	SAMEA113534408	urban biome	research facility	soil
PRJEB62460	SAMEA113534409	urban biome	research facility	soil
PRJEB62460	SAMEA113534410	urban biome	research facility	soil
PRJEB62460	SAMEA113534411	urban biome	research facility	soil
PRJEB62460	SAMEA113534412	urban biome	research facility	soil
PRJEB62460	SAMEA113534413	urban biome	research facility	soil
PRJEB62460	SAMEA113534414	urban biome	research facility	soil
PRJEB62460	SAMEA113534415	urban biome	research facility	soil
PRJEB62460	SAMEA113534416	urban biome	research facility	soil
PRJEB62460	SAMEA113534417	urban biome	research facility	soil
PRJEB62460	SAMEA113534418	urban biome	research facility	soil
PRJEB62460	SAMEA113534419	urban biome	research facility	soil
PRJEB62460	SAMEA113534420	urban biome	research facility	soil
PRJEB62460	SAMEA113534421	urban biome	research facility	soil
