unit_name	credibility
metre standard litre per minute	0.8
dime poise henry	1.0
degree Celsius minute of arc	0.8
farad exabit to the 21	0.25
kilometre per hour	1.0
megaampere	0.0
year gigayear south african rand	0.4
megapascal	1.0
cubic centimetre per minute	1.0
per square siemens	1.0
year to the 10 metre	0.5
atomic mass unit pint	1.0
milligram litre	1.0
centavo degree fahrenheit atomic mass unit	0.8333333333333334
dollar dollar to the 5	0.0
microsecond mole per square metre per second of arc	0.875
dollar dollar to the 72	0.0
minute ampere-turn megaampere	0.3333333333333333
poise second	1.0
cubic year metre	1.0
minute of arc newton	0.75
picometre	0.0
per hour to the 48 hour	0.5
hectare ampere	1.0
dime gram degree Celsius	1.0
mega base pair	0.6666666666666666
centimetre to the 20 centimetre	0.3333333333333333
centimetre to the 15 centimetre	0.3333333333333333
atomic mass unit gram per square centimetre	1.0
centimetre to the 10 centimetre	0.3333333333333333
atomic mass unit gram per gram	1.0
degree Celsius farad atomic mass unit	1.0
per cent	0.5
second second	1.0
atomic mass unit gram per cubic centimetre	1.0
year to the 6 metre	0.5
watt pint gram	1.0
centimetre to the 5 centimetre	0.3333333333333333
hectare	1.0
newton mole per litre	1.0
percentage volt per volt	0.6666666666666666
metre mole per kilogram per watt	1.0
day penny gram	0.6666666666666666
centimetre to the 25 centimetre	0.3333333333333333
poise	1.0
centimetre ampere-turn	0.5
horsepower-hour	0.0
year to the 9 metre	0.5
year to the 7 metre	0.5
hectare gauss	0.5
inch ampere-turn steradian	0.3333333333333333
atomic mass unit volt	0.75
tesla litre siemens	0.6666666666666666
per metre to the 600 metre	0.5
milligram per cubic decimetre	1.0
unk to the 8	0.3333333333333333
second ampere-turn	0.5
siemens watt	1.0
milligram newton	1.0
gallon	1.0
centimetre second	1.0
per nanoampere	0.5
degree Celsius degree fahrenheit atomic mass unit	1.0
steradian	0.0
kelvin	1.0
stokes	0.0
hour to the 10	0.3333333333333333
year to the 11 metre	0.5
hectopascal	0.0
gigafarad poise	0.5
year to the 5 metre	0.5
pint gram	1.0
hertz	0.0
watt kilogram ampere	1.0
per dime to the 11 dime	0.5
cubic centimetre dime	1.0
per joule	1.0
atomic mass unit degree Celsius	1.0
poise dime	1.0
cubic centimetre second	1.0
byte to the 12	0.3333333333333333
per siemens	1.0
rutherford	0.0
hectare poise farad	1.0
degree angle to the 37	0.5
degree angle to the 31	0.5
unk to the 36	0.3333333333333333
millimetre exayear roentgen	0.6666666666666666
petabyte	0.0
atomic mass unit tesla	0.75
milligram per square metre	1.0
unk to the 350	0.3333333333333333
gigabyte	1.0
kilometre siemens ampere-turn	0.6666666666666666
per exayear per roentgen per light-year	0.5
day gauss	0.5
unk to the 45	0.3333333333333333
square year metre	1.0
percentage degree Celsius per newton	1.0
dime dime	1.0
centimetre day	1.0
unk to the 170	0.3333333333333333
ampere-turn atomic mass unit gauss	0.6
poise gauss centilitre degree Celsius	0.8
hour megaampere	0.5
barye	0.0
dime poise degree fahrenheit	1.0
per square metre	1.0
per metre to the 1000 metre	0.5
year metre	1.0
dime dime degree Celsius	1.0
south african rand ampere pint pint	0.4
milligram centilitre per litre	1.0
minute ampere-turn year	0.6666666666666666
cubic millimetre per watt per ell	0.8
inch per second	1.0
metre to the 15 dime	0.5
pair	1.0
gram per cubic metre	1.0
unk to the 11	0.3333333333333333
atomic mass unit second	1.0
atomic mass unit per cubic millimetre tesla to the 4	0.6666666666666666
cubic centimetre henry to the 20	0.6
lumen square nanobarn	0.6666666666666666
per cubic day	1.0
mole	1.0
tablespoon	0.0
year nanosecond	1.0
metre cubic metre	1.0
unk to the 6	0.3333333333333333
per year to the 60 year	0.5
per day	1.0
barye poise	0.5
per watt to the 12 watt	0.5
per dime	1.0
watt ampere femtobarn	1.0
day byte	1.0
foot siemens	1.0
per square day	1.0
litre litre	1.0
yoctobarn pint	0.5
per metre to the 30 metre	0.5
square millimetre	1.0
degree angle roentgen	1.0
year to the 5 month	0.5
cubic centimetre per kilogram	1.0
gigayear	1.0
per volt to the 18	0.25
nanoampere	0.0
set south african rand	0.25
tonne oersted dime	0.3333333333333333
per metre to the 200 metre	0.5
year exayear second	0.6666666666666666
watt centipoise	1.0
degree Celsius per kilogram	1.0
year to the 8 metre	0.5
centavo to the 57 barn litre to the 6	0.2
per dime to the 5	0.5
gray	1.0
unk mole per square metre	1.0
unk to the 48	0.3333333333333333
minute of arc basis point	0.8
metre ampere-turn	0.5
per metre metre	1.0
kilogray	1.0
atomic mass unit newton	1.0
metre watt	1.0
ampere-turn square pint bit to the 4	0.5
inch gauss	0.5
stokes ampere-turn to the 5 bit	0.2
milliampere	1.0
joule atomic mass unit atomic mass unit	1.0
newton euro nanosecond per square centimetre	0.8333333333333334
newton set	1.0
cubic metre per day	1.0
square degree angle	1.0
millimetre newton	1.0
ampere dime	1.0
year to the 4 metre	0.5
kiloyear	1.0
watt pint hour	1.0
degree angle to the 18	0.5
newton metre atomic mass unit	1.0
unk micrometre	1.0
per hour to the 60 hour	0.5
degree angle day	1.0
degree Celsius ampere-turn megaampere	0.5
metre per siemens	1.0
horsepower tonne	0.5
decimetre exametre per degree fahrenheit to the 12	0.5714285714285714
watt inch dime	1.0
unk to the 24 second of arc newton	0.5714285714285714
microgram per cubic centimetre	1.0
second atomic mass unit barn set	0.8333333333333334
year basis point	1.0
nanowatt	1.0
dime dime gram	1.0
kilometre astronomical unit	0.6666666666666666
hour newton	1.0
centimetre board-foot	0.5
year to the 10 month	0.5
kibibyte watt	1.0
per month	1.0
megayear peck to the 14	0.25
square day	1.0
megaton second	1.0
centimetre to the 30 centimetre	0.3333333333333333
minute per roentgen per tesla	0.75
henry bit	1.0
second hour nanoampere	0.6666666666666666
megaampere peck to the 14	0.0
megaampere peck	0.0
hour tesla	0.5
dime year year second	1.0
bit litre dime	1.0
per square month year	1.0
metre to the 23 dime	0.5
set roentgen	1.0
milligram poise per litre	1.0
metre to the 11 dime	0.5
watt pint farad	1.0
atomic mass unit mole per square metre per second	1.0
centimetre exayear roentgen	0.6666666666666666
degree Celsius newton	1.0
per metre to the 160 metre	0.5
dollar dollar to the 24	0.0
dollar dollar to the 4	0.0
joule bit	1.0
per rutherford	0.5
megabit	1.0
centavo dime	0.5
millibarn year roentgen	0.6666666666666666
centavo farad atomic mass unit	0.8
barye pound-mass per centavo	0.5
centavo farad atomic mass unit per gram	0.8571428571428571
inch pint atomic mass unit tonne	0.8333333333333334
metre to the 25 dime	0.5
candela per square metre hour	1.0
per centimetre centimetre	1.0
steradian south african rand nanoampere	0.0
unk per cubic centimetre	1.0
year to the 4	0.3333333333333333
gram millisecond	1.0
newton denier	0.5
centavo mole centavo per decimetre	0.75
ton-force	0.0
millimetre kelvin	1.0
per centimetre to the 5 centimetre	0.5
terametre per exametre to the 165	0.2
set dime to the 5	0.5
inch per second degree Celsius	1.0
ton of refrigeration acre	0.5
megayear per year to the 2019	0.6
atomic mass unit per poise	1.0
metre to the 7 dime	0.5
kilogram per cubic decimetre	1.0
day newton	1.0
acre volt	0.5
year to the 12	0.3333333333333333
atomic mass unit per square poise	1.0
cubic dime	1.0
league per degree fahrenheit	0.75
atomic mass unit henry	1.0
atomic mass unit per cubic poise	1.0
newton henry to the 4	0.5
per per mille to the 10 per mille	0.25
cubic litre	1.0
per cubic dime	1.0
poise hour atomic mass unit	1.0
per square month	1.0
per metre to the 106 metre	0.5
metre nanowatt	1.0
cubic centilitre	1.0
astronomical unit gram to the 20	0.4
baud	0.0
year to the 6 month	0.5
per cubic month	1.0
kilowatt	1.0
square tesla	0.5
millijoule per square centimetre	0.75
day pint	1.0
per percentage to the 7	0.5
minute of arc minute of arc siemens	0.75
per square dime	1.0
kibibyte newton	1.0
centimetre oersted	0.5
centimetre to the 185 centimetre	0.3333333333333333
gram gram	1.0
year litre inch gram	1.0
megayear per year to the 2016	0.6
centavo to the 57 byte litre	0.4
hour to the 37 metre	0.5
per metre to the 2731 metre	0.5
siemens ampere per litre to the 8 watt	0.7142857142857143
per newton to the 41	0.5
foot newton	1.0
hour to the 40 metre	0.5
year exayear second second	0.6666666666666666
year to the 8 month	0.5
day day	1.0
degree Celsius siemens farad	1.0
per metre to the 100 metre	0.5
siemens per metre	1.0
ampere pint per south african rand to the 2015	0.375
gigafarad	0.0
newton to the 917	0.3333333333333333
ton of refrigeration ampere per square degree fahrenheit	0.75
mole tonne	0.5
year to the 9 month	0.5
square year month	1.0
tonne per hectare	0.6666666666666666
unk to the 55	0.3333333333333333
degree angle degree Celsius day	1.0
degree angle degree Celsius cubic roentgen	1.0
byte to the 6	0.3333333333333333
degree angle to the 7	0.5
degree angle to the 25	0.5
mill	0.0
per mille	0.5
metre atomic mass unit megaton	1.0
nanosecond gauss	0.5
day petayear	1.0
square metre dime	1.0
exayear centavo hour	0.3333333333333333
square kilometre	1.0
metre to the 17 dime	0.5
cubic day	1.0
kibibyte hour	1.0
gauss centavo	0.0
metre to the 8 dime	0.5
metre to the 29 dime	0.5
litre year gram	1.0
roentgen year	1.0
metre to the 24 dime	0.5
picobarn	0.0
shake roentgen	0.5
watt to the 6 dime	0.5
horsepower degree fahrenheit pound sterling	0.8
hour atomic mass unit mile dime	1.0
week attobarn	0.5
cubic metre dime	1.0
second quintal centimetre	0.6666666666666666
unk to the 97	0.3333333333333333
foot degree fahrenheit	1.0
metre to the 26 dime	0.5
degree angle degree Celsius square roentgen	1.0
watt dime	1.0
per litre to the 7 litre	0.5
unk to the 25	0.3333333333333333
per metre to the 2020 metre	0.5
hour to the 51 metre	0.5
metre to the 13 dime	0.5
hour to the 42 metre	0.5
year to the 7 month	0.5
dime gigaampere	0.5
litre ampere	1.0
turn degree Celsius	0.6666666666666666
cubic centimetre ampere-turn	0.6666666666666666
count per week	1.0
unk to the 15	0.3333333333333333
kibibyte dime	1.0
gross nanoampere	0.5
year mile	1.0
hour to the 50	0.3333333333333333
farad degree Celsius	1.0
kilocalorie year	0.5
per day to the 5	0.5
megayear per year to the 2017	0.6
cubic year month	1.0
cubic unk	1.0
millicoulomb henry to the 15	0.25
cubic centimetre exabyte	0.6666666666666666
centimetre to the 85 centimetre	0.3333333333333333
cubic year	1.0
per day to the 4	0.5
kelvin watt	1.0
atomic mass unit byte kelvin	1.0
pound per square inch	1.0
denier	0.0
minute of arc watt	0.75
per metre to the 2606 metre	0.5
year to the 4 month	0.5
milligram per centavo per ell	0.5
poise square dime	1.0
gram newton	1.0
terametre exametre to the 165	0.0
minute of arc degree Celsius	0.8
unk to the 24	0.3333333333333333
per day to the 6	0.5
turn byte	0.5
lux	1.0
yoctobarn poise	0.5
hour to the 46 metre	0.5
megayear per year to the 2015	0.6
per square centimetre	1.0
per metre to the 3050 metre	0.5
gram per gram	1.0
century	0.0
square unk	1.0
per centimetre to the 6	0.5
per centimetre to the 10	0.5
bushel day	0.5
unk to the 35	0.3333333333333333
week to the 4	0.3333333333333333
newton degree fahrenheit	1.0
milligram degree Celsius per litre	1.0
joule atomic mass unit per litre to the 2014	0.75
per square hour	1.0
degree Celsius degree fahrenheit atomic mass unit per cubic centimetre	1.0
per unk to the 12716 minute of arc	0.5714285714285714
per cubic centimetre	1.0
per centimetre	1.0
hour per day	1.0
degree angle to the 58	0.5
per square week	1.0
centilitre	1.0
degree angle to the 34 minute of arc to the 51	0.5714285714285714
calorie ampere day	0.6666666666666666
hour to the 50 metre	0.5
per centimetre to the 4	0.5
degree angle degree fahrenheit	1.0
per metre to the 520 metre	0.5
hour to the 45 metre	0.5
metre to the 21 joule	0.5
square week	1.0
per centimetre to the 12	0.5
milliampere-hour	1.0
per centimetre to the 18	0.5
per square year	1.0
cubic millimetre set	1.0
year to the 5	0.3333333333333333
per centimetre to the 11	0.5
dime pint litre	1.0
per metre to the 53 metre	0.5
per centimetre to the 7	0.5
per centimetre to the 13	0.5
atomic mass unit roentgen exaampere	0.8
centavo year stere second	0.5
calorie basis point	0.6666666666666666
per centimetre to the 14	0.5
watt kelvin second	1.0
square joule	1.0
per centimetre to the 5	0.5
per week	1.0
per unk to the 4248 minute of arc	0.5714285714285714
degree angle to the 14	0.5
parts-per-million volt	0.5
dime newton atomic mass unit	1.0
megabyte litre second	1.0
per centimetre to the 9	0.5
month to the 14 day	0.5
decibel year second	0.6666666666666666
cubic week	1.0
metre bit	1.0
centimetre to the 45 centimetre	0.3333333333333333
dime poise gauss	0.6666666666666666
lumen	1.0
per centimetre to the 15	0.5
dime petawatt	0.5
hour to the 41 metre	0.5
per hour	1.0
per watt to the 10 watt	0.5
watt second	1.0
decibel farad	0.5
per centimetre to the 17	0.5
milligram newton per kilogram	1.0
per cent per nanoampere	0.3333333333333333
centimetre to the 125 centimetre	0.3333333333333333
per centimetre to the 16	0.5
siemens poise degree fahrenheit	1.0
per cubic week	1.0
megabyte roentgen farad	1.0
week attoampere	0.5
per centimetre to the 8	0.5
metre to the 4 dime	0.5
minute of arc barye	0.5
metre to the 9 dime	0.5
per metre to the 550 metre	0.5
megaton roentgen	1.0
unk to the 19	0.3333333333333333
per centimetre to the 20	0.5
square month	1.0
per square minute	1.0
ton-force henry	0.5
farad per exabit to the 2015	0.4
per centimetre to the 21	0.5
hour to the 34 metre	0.5
unk to the 46	0.3333333333333333
millisecond board-foot	0.5
per metre to the 2115 metre	0.5
minute of arc quintal inch gram	0.6666666666666666
metre newton	1.0
per centimetre to the 19	0.5
degree angle byte	1.0
centilitre to the 18	0.3333333333333333
mile centavo roentgen oersted	0.5
gigametre	0.0
roentgen metre	1.0
hour to the 43 metre	0.5
joule atomic mass unit per newton to the 2015	0.75
joule carat	0.5
unk to the 4	0.3333333333333333
unk to the 57	0.3333333333333333
hour to the 49 metre	0.5
metre to the 27 dime	0.5
year to the 9	0.3333333333333333
megayear peck	0.5
gram ampere-turn	0.5
hour to the 53 metre	0.5
kibibyte siemens	1.0
per cubic minute	1.0
unk to the 7	0.3333333333333333
degree angle to the 53	0.5
decimetre	1.0
centilitre to the 4	0.3333333333333333
day pint hour	1.0
hour to the 52 metre	0.5
kilobit	1.0
per minute	1.0
per week to the 4	0.5
unk to the 21	0.3333333333333333
unk to the 9	0.3333333333333333
degree angle to the 46	0.5
dime to the 9	0.3333333333333333
per degree Celsius	1.0
rutherford kilometre	0.5
per cubic degree Celsius	1.0
cubic byte	1.0
ampere to the 11	0.3333333333333333
centavo roentgen year	0.6666666666666666
centavo to the 12	0.0
volt litre poise second	0.75
dime to the 4	0.3333333333333333
byte to the 5	0.3333333333333333
metre to the 16 dime	0.5
ampere to the 6	0.3333333333333333
attometre year	1.0
square year	1.0
millicoulomb henry to the 16	0.25
petabit	0.0
ampere to the 8	0.3333333333333333
per square degree Celsius	1.0
square dime	1.0
month to the 5	0.3333333333333333
roentgen volt	0.5
year newton atomic mass unit	1.0
per metre to the 2070 metre	0.5
decibel ampere	0.5
year to the 6	0.3333333333333333
per metre to the 2205 metre	0.5
centavo to the 5	0.0
mill year rutherford	0.3333333333333333
ampere-turn kilometre	0.5
byte to the 9	0.3333333333333333
dime to the 6	0.3333333333333333
unk mole	1.0
litre litre to the 5	0.3333333333333333
metre to the 18 dime	0.5
ampere to the 12	0.3333333333333333
second calorie pixel	0.3333333333333333
hour to the 36 metre	0.5
centavo to the 4	0.0
cubic month	1.0
dime to the 11	0.3333333333333333
cubic ampere	1.0
year pound sterling	0.6666666666666666
dime to the 10	0.3333333333333333
teraampere watt newton	0.6666666666666666
year to the 7	0.3333333333333333
watt ampere farad	1.0
megayear	1.0
byte to the 8	0.3333333333333333
week pound sterling	0.6666666666666666
gauss dime	0.5
curie	1.0
ampere to the 4	0.3333333333333333
unk to the 17	0.3333333333333333
square centilitre	1.0
dime to the 7	0.3333333333333333
dime to the 8	0.3333333333333333
minute of arc farad atomic mass unit	0.8571428571428571
square tesla petaampere	0.6666666666666666
byte to the 10	0.3333333333333333
byte to the 7	0.3333333333333333
gram-force	0.0
hour to the 30 pint farad	0.6
dime to the 5	0.3333333333333333
square hour	1.0
per week to the 5	0.5
month to the 6	0.3333333333333333
litre cubic litre	1.0
petabit lumen poise	0.6666666666666666
month to the 4	0.3333333333333333
unk to the 5	0.3333333333333333
metre to the 19 dime	0.5
square ampere	1.0
centavo to the 11	0.0
byte to the 4	0.3333333333333333
centavo to the 9	0.0
centavo to the 7	0.0
square byte	1.0
pint newton litre to the 4	0.6
centavo to the 6	0.0
hour pint to the 10	0.5
byte to the 11	0.3333333333333333
centavo to the 10	0.0
year to the 8	0.3333333333333333
megapixel tesla	0.5
metre to the 10 dime	0.5
metre dime centimetre	1.0
pint litre atomic mass unit second	1.0
hour to the 44 metre	0.5
ampere to the 5	0.3333333333333333
centavo to the 8	0.0
ampere to the 10	0.3333333333333333
per week to the 6	0.5
cubic centavo	0.5
farad per exabit to the 2016	0.4
litre square litre	1.0
square centavo	0.5
inch siemens	1.0
cubic hour	1.0
centimetre to the 105 centimetre	0.3333333333333333
degree Celsius south african rand year second	0.5714285714285714
per metre to the 250 metre	0.5
horsepower farad to the 21	0.5
ampere to the 9	0.3333333333333333
centimetre to the 65 centimetre	0.3333333333333333
joule atomic mass unit per newton to the 2016	0.75
metre to the 22 dime	0.5
atomic mass unit gram per cubic metre	1.0
joule year newton to the 21	0.6
litre year pint electronvolt	0.75
litre acre	1.0
unk to the 56	0.3333333333333333
newton nanowatt	1.0
dime to the 12	0.3333333333333333
ampere to the 7	0.3333333333333333
unk to the 38	0.3333333333333333
henry to the 6	0.3333333333333333
siemens petayear	1.0
megayear roentgen centavo hour to the 21	0.5
kilometre second	1.0
hour to the 30 minute	0.5
farad to the 5	0.3333333333333333
hour to the 19 metre	0.5
astronomical unit per gram to the 2015	0.5
drop	0.0
centimetre to the 9	0.3333333333333333
percentage siemens dime siemens	1.0
farad newton atomic mass unit	1.0
per cubic centimetre centimetre	1.0
brazilian real	0.0
second of arc siemens	0.75
unk to the 52	0.3333333333333333
per centimetre to the 22	0.5
cubic farad	1.0
unk to the 45 minute of arc	0.5
farad to the 12	0.3333333333333333
mile second	1.0
day set	1.0
penny penny to the 183	0.0
megayear year to the 21	0.5
centimetre to the 15	0.3333333333333333
centimetre to the 10	0.3333333333333333
hartree	0.0
unk per gram	1.0
second of arc newton	0.75
per metre to the 450 metre	0.5
centimetre to the 11	0.3333333333333333
unk to the 29	0.3333333333333333
degree fahrenheit to the 123	0.5
unk to the 22	0.3333333333333333
month to the 8	0.3333333333333333
south african rand tonne hour	0.2
kelvin atomic mass unit	1.0
year siemens	1.0
farad to the 10	0.3333333333333333
unk to the 42	0.3333333333333333
year to the 10	0.3333333333333333
nanosecond degree Celsius second	1.0
hour to the 48 metre	0.5
per dime to the 6	0.5
centimetre to the 7	0.3333333333333333
volt to the 50 millisecond	0.25
square farad	1.0
degree fahrenheit to the 121	0.5
farad to the 6	0.3333333333333333
unk to the 29 unk to the 55 second of arc newton	0.5714285714285714
kilogram-force	0.0
minute of arc newton inch	0.8
centimetre to the 16	0.3333333333333333
henry to the 5	0.3333333333333333
centimetre to the 4	0.3333333333333333
centimetre to the 12	0.3333333333333333
joule atomic mass unit per litre to the 2016	0.75
per metre to the 500 metre	0.5
megayear per year to the 2014	0.6
per centimetre to the 26	0.5
centimetre to the 8	0.3333333333333333
newton euro newton	0.5
metre siemens	1.0
centimetre to the 17	0.3333333333333333
centimetre to the 6	0.3333333333333333
hour to the 38 metre	0.5
litre litre to the 4	0.3333333333333333
degree Celsius year roentgen roentgen	1.0
siemens year	1.0
byte rutherford	0.5
month to the 7	0.3333333333333333
centimetre to the 13	0.3333333333333333
centilitre to the 7	0.3333333333333333
mile per rutherford	0.6666666666666666
per metre to the 1245 metre	0.5
unk to the 37	0.3333333333333333
tesla to the 12	0.0
farad to the 9	0.3333333333333333
farad to the 4	0.3333333333333333
per dime to the 4	0.5
barn litre dime	0.6666666666666666
unk to the 10	0.3333333333333333
unk to the 51	0.3333333333333333
second pint atomic mass unit south african rand	0.625
pint mole per atomic mass unit per litre	1.0
poise poise	1.0
inch pixel	0.5
yard second	1.0
per centimetre to the 24	0.5
square metre joule	1.0
day to the 6306	0.3333333333333333
farad to the 7	0.3333333333333333
farad to the 8	0.3333333333333333
farad to the 11	0.3333333333333333
per centimetre to the 25	0.5
astronomical unit per gram to the 12	0.5
unk to the 9 second of arc newton to the 10079 unk to the 14	0.5714285714285714
hour to the 47 metre	0.5
metre to the 14 dime	0.5
unk to the 6 unk to the 7 minute of arc	0.5
per centimetre to the 23	0.5
per metre to the 390 metre	0.5
gauss astronomical unit rutherford year	0.4
centimetre to the 14	0.3333333333333333
year exayear roentgen	0.6666666666666666
gram second	1.0
roentgen year newton	1.0
unk to the 21 unk to the 4	0.3333333333333333
degree angle degree Celsius roentgen	1.0
month to the 10	0.3333333333333333
centimetre to the 5	0.3333333333333333
centimetre to the 18	0.3333333333333333
pint hour farad	1.0
byte byte	1.0
degree Celsius hectare south african rand year	0.5714285714285714
watt per watt	1.0
per metre to the 750 metre	0.5
petayear dime dime year	1.0
year to the 11	0.3333333333333333
hour to the 31 metre	0.5
per year to the 4	0.5
centimetre to the 19	0.3333333333333333
month to the 12	0.3333333333333333
poise inch atomic mass unit second	1.0
tesla petaampere	0.5
