Key	basename	extension	LastModified	Size	obo_foundry_title	use	status
hom-relation-graph.tsv.gz	hom	relation-graph.tsv.gz	2022-06-20T01:55:16.000Z	958	Homology Ontology		No Output
hom.db	hom	db	2022-10-17T16:15:49.000Z	532480	Homology Ontology		No Output
hom.db.gz	hom	db.gz	2025-02-05T06:29:53.000Z	79271	Homology Ontology	1	No Output
hom.owl	hom	owl	2022-06-20T01:55:19.000Z	128079	Homology Ontology		No Output
hp-relation-graph.tsv.gz	hp	relation-graph.tsv.gz	2022-06-20T01:55:19.000Z	21273554	Human Phenotype Ontology (HPO)		
hp.db.gz	hp	db.gz	2025-02-05T06:29:53.000Z	87804954	Human Phenotype Ontology (HPO)		
hp.owl	hp	owl	2022-06-20T01:55:23.000Z	95344503	Human Phenotype Ontology (HPO)		
hpinternational.db.gz	hpinternational	db.gz	2025-02-01T21:47:44.000Z	152804685			
hsapdv-relation-graph.tsv.gz	hsapdv	relation-graph.tsv.gz	2022-06-20T01:55:25.000Z	24410	Human Developmental Stages		No Output
hsapdv.db	hsapdv	db	2022-10-17T16:16:04.000Z	2342912	Human Developmental Stages		No Output
hsapdv.db.gz	hsapdv	db.gz	2025-02-05T06:29:57.000Z	398716	Human Developmental Stages	1	No Output
hsapdv.owl	hsapdv	owl	2022-06-20T01:55:27.000Z	610323	Human Developmental Stages		No Output
hso-relation-graph.tsv.gz	hso	relation-graph.tsv.gz	2022-06-20T01:55:29.000Z	24327	Health Surveillance Ontology		
hso.db	hso	db	2022-10-17T16:16:06.000Z	3870720	Health Surveillance Ontology		
hso.db.gz	hso	db.gz	2025-02-05T06:29:57.000Z	797134	Health Surveillance Ontology	1	
hso.owl	hso	owl	2022-06-20T01:55:31.000Z	1360649	Health Surveillance Ontology		
htn-relation-graph.tsv.gz	htn	relation-graph.tsv.gz	2022-06-20T01:55:32.000Z	33183	Hypertension Ontology		
htn.db	htn	db	2022-10-17T16:16:07.000Z	3723264	Hypertension Ontology		
htn.db.gz	htn	db.gz	2025-02-05T06:29:57.000Z	828221	Hypertension Ontology		
htn.owl	htn	owl	2022-06-20T01:55:34.000Z	1322052	Hypertension Ontology		
iao-relation-graph.tsv.gz	iao	relation-graph.tsv.gz	2022-06-20T01:55:35.000Z	9087	Information Artifact Ontology		
iao.db	iao	db	2022-10-17T16:16:08.000Z	1691648	Information Artifact Ontology		
iao.db.gz	iao	db.gz	2025-02-05T06:29:57.000Z	389256	Information Artifact Ontology	1	
iao.owl	iao	owl	2022-06-20T01:55:38.000Z	560430	Information Artifact Ontology		
icd10cm.db.gz	icd10cm	db.gz	2025-02-01T21:47:46.000Z	26205683			
icd10who.db.gz	icd10who	db.gz	2025-02-05T06:29:57.000Z	3305653			
iceo-relation-graph.tsv.gz	iceo	relation-graph.tsv.gz	2022-06-20T01:55:38.000Z	6388459	Integrative and Conjugative Element Ontology		No Output
iceo.db.gz	iceo	db.gz	2025-02-05T06:29:57.000Z	61229308	Integrative and Conjugative Element Ontology	1	No Output
iceo.owl	iceo	owl	2022-06-20T01:55:40.000Z	37318862	Integrative and Conjugative Element Ontology		No Output
ico-relation-graph.tsv.gz	ico	relation-graph.tsv.gz	2022-06-20T01:55:49.000Z	38381	Informed Consent Ontology		No Output
ico.db	ico	db	2022-10-17T16:16:26.000Z	4485120	Informed Consent Ontology		No Output
ico.db.gz	ico	db.gz	2025-02-05T06:29:59.000Z	991919	Informed Consent Ontology	1	No Output
ico.owl	ico	owl	2022-06-20T01:55:52.000Z	1510583	Informed Consent Ontology		No Output
ido-relation-graph.tsv.gz	ido	relation-graph.tsv.gz	2022-06-20T01:55:53.000Z	12075	Infectious Disease Ontology		
ido.db	ido	db	2022-10-17T16:16:27.000Z	2220032	Infectious Disease Ontology		
ido.db.gz	ido	db.gz	2025-02-05T06:29:59.000Z	469497	Infectious Disease Ontology	1	
ido.owl	ido	owl	2022-06-20T01:55:56.000Z	766591	Infectious Disease Ontology		
ino-relation-graph.tsv.gz	ino	relation-graph.tsv.gz	2022-06-20T01:55:57.000Z	12218	Interaction Network Ontology		
ino.db	ino	db	2022-10-17T16:16:28.000Z	1495040	Interaction Network Ontology		
ino.db.gz	ino	db.gz	2025-02-05T06:30:00.000Z	330515	Interaction Network Ontology	1	
ino.owl	ino	owl	2022-06-20T01:55:59.000Z	492962	Interaction Network Ontology		
inst.db	inst	db	2022-10-17T16:16:30.000Z	532480			
interpro.db.gz	interpro	db.gz	2025-02-01T21:47:53.000Z	14256550			
iof.db.gz	iof	db.gz	2025-02-05T06:30:00.000Z	387093			
ito.db.gz	ito	db.gz	2025-02-05T06:30:00.000Z	57605730		1	
ito.db.gz.old	ito	db.gz.old	2024-08-14T02:24:38.000Z	61265807			
kegg.genome.db.gz	kegg	genome.db.gz	2025-02-01T21:47:59.000Z	35			
kgcl.db.gz	kgcl	db.gz	2025-02-01T21:47:59.000Z	184756			
kin.db.gz	kin	db.gz	2025-02-05T06:30:02.000Z	40642			
kisao-relation-graph.tsv.gz	kisao	relation-graph.tsv.gz	2022-06-20T01:56:01.000Z	33519	Kinetic Simulation Algorithm Ontology		
kisao.db	kisao	db	2022-10-17T16:16:30.000Z	6971392	Kinetic Simulation Algorithm Ontology		
kisao.db.gz	kisao	db.gz	2025-02-05T06:30:03.000Z	770672	Kinetic Simulation Algorithm Ontology	1	
kisao.owl	kisao	owl	2022-06-20T01:56:02.000Z	1094726	Kinetic Simulation Algorithm Ontology		
labo-relation-graph.tsv.gz	labo	relation-graph.tsv.gz	2022-06-20T01:56:04.000Z	5557	clinical LABoratory Ontology		
labo.db	labo	db	2022-10-17T16:16:32.000Z	1175552	clinical LABoratory Ontology		
labo.db.gz	labo	db.gz	2025-02-05T06:30:03.000Z	257741	clinical LABoratory Ontology		
labo.owl	labo	owl	2022-06-20T01:56:07.000Z	380157	clinical LABoratory Ontology		
lepao-relation-graph.tsv.gz	lepao	relation-graph.tsv.gz	2022-06-20T01:56:07.000Z	137078	Lepidoptera Anatomy Ontology		
lepao.db	lepao	db	2022-10-17T16:16:33.000Z	11046912	Lepidoptera Anatomy Ontology		
lepao.db.gz	lepao	db.gz	2025-02-05T06:30:04.000Z	1940269	Lepidoptera Anatomy Ontology		
lepao.owl	lepao	owl	2022-06-20T01:56:15.000Z	3044039	Lepidoptera Anatomy Ontology		
ma-relation-graph.tsv.gz	ma	relation-graph.tsv.gz	2022-06-20T01:56:17.000Z	177539	Mouse adult gross anatomy		
ma.db	ma	db	2022-10-17T16:16:37.000Z	10653696	Mouse adult gross anatomy		
ma.db.gz	ma	db.gz	2025-02-05T06:30:04.000Z	1874063	Mouse adult gross anatomy		
ma.owl	ma	owl	2022-06-20T01:56:23.000Z	2699120	Mouse adult gross anatomy		
mamo-relation-graph.tsv.gz	mamo	relation-graph.tsv.gz	2022-06-20T01:56:25.000Z	3408	Mathematical modeling ontology		
mamo.db	mamo	db	2022-10-17T16:16:40.000Z	778240	Mathematical modeling ontology		
mamo.db.gz	mamo	db.gz	2022-09-12T02:11:36.000Z	104395	Mathematical modeling ontology	1	
mamo.owl	mamo	owl	2022-06-20T01:56:27.000Z	126934	Mathematical modeling ontology		
matcher-test.db.old	matcher	test.db.old	2022-04-21T01:20:16.000Z	532480			
maxo-relation-graph.tsv.gz	maxo	relation-graph.tsv.gz	2022-06-20T01:56:28.000Z	15729464	Medical Action Ontology		
maxo.db.gz	maxo	db.gz	2025-02-05T06:30:05.000Z	23192576	Medical Action Ontology		
maxo.owl	maxo	owl	2022-06-20T01:56:36.000Z	57224995	Medical Action Ontology		
mba.db.gz	mba	db.gz	2025-02-05T06:30:05.000Z	1687843			
mco-relation-graph.tsv.gz	mco	relation-graph.tsv.gz	2022-06-20T01:56:52.000Z	968810	Microbial Conditions Ontology		No Output
mco.db.gz	mco	db.gz	2025-02-05T06:30:05.000Z	11990654	Microbial Conditions Ontology	1	No Output
mco.owl	mco	owl	2022-06-20T01:57:11.000Z	17308396	Microbial Conditions Ontology		No Output
mesh.db.gz	mesh	db.gz	2023-01-05T20:18:13.000Z	87556908			
mf-relation-graph.tsv.gz	mf	relation-graph.tsv.gz	2022-06-20T01:57:16.000Z	19827	Mental Functioning Ontology		
mf.db	mf	db	2022-10-17T16:16:54.000Z	1818624	Mental Functioning Ontology		
mf.db.gz	mf	db.gz	2025-02-05T06:30:05.000Z	372309	Mental Functioning Ontology		
mf.owl	mf	owl	2022-06-20T01:57:19.000Z	482133	Mental Functioning Ontology		
mfmo-relation-graph.tsv.gz	mfmo	relation-graph.tsv.gz	2022-06-20T01:57:20.000Z	5815	Mammalian Feeding Muscle Ontology		
mfmo.db	mfmo	db	2022-10-17T16:16:55.000Z	2703360	Mammalian Feeding Muscle Ontology		
mfmo.db.gz	mfmo	db.gz	2025-02-05T06:30:05.000Z	742846	Mammalian Feeding Muscle Ontology		
mfmo.owl	mfmo	owl	2022-06-20T01:57:22.000Z	1112445	Mammalian Feeding Muscle Ontology		
mfoem-relation-graph.tsv.gz	mfoem	relation-graph.tsv.gz	2022-06-20T01:57:23.000Z	38821	Emotion Ontology		
mfoem.db	mfoem	db	2022-10-17T16:16:57.000Z	2777088	Emotion Ontology		
mfoem.db.gz	mfoem	db.gz	2025-02-05T06:30:06.000Z	573135	Emotion Ontology		
mfoem.owl	mfoem	owl	2022-06-20T01:57:25.000Z	628118	Emotion Ontology		
