unique_id,label,all_evidence,is_process,is_quality,is_chemical_entity,is_biome,is_environmental_material,is_aquatic_biome,is_terrestrial_biome,obsolete,historical_permissible_values_count,NMDC_soil_count,NCBI_mims_soil_trusting_CURIe_count,NCBI_mims_soil_trusting_labels_count,GOLD_env_terr_soil_count,historical_permissible_values_frequency,NMDC_soil_frequency,NCBI_mims_soil_trusting_CURIe_frequency,NCBI_mims_soil_trusting_labels_frequency,GOLD_env_terr_soil_frequency,CJM_Vote,CJM_Comments,MAM vote,MAM comments,MLS_vote,MLS_comments,NMW_vote,NMW_comment,SM_vote,SM_comment,Yes = 1 No = -1 Maybe = 0
ENVO:00002289,,0.0000269,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,1,0,0,0,0,0.0001075153209,0,0,,,0,,0,,,,0,,0
ENVO:00002290,,0.0000269,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,1,0,0,0,0,0.0001075153209,0,0,,,0,,0,,,,0,,0
ENVO:00002291,,0.0000269,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,1,0,0,0,0,0.0001075153209,0,0,,,0,,0,,,,0,,0
ENVO:00002871,alluvial soil,0.0007804293993,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,0,0,0,0,0.003121717597,0,0,0,0,,,1,,0,I think this is `local_class` but not sure,,,1,,2
ENVO:00002875,oil contaminated soil,0.0000607,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0,0,0,13,0,0,0,0,0.0002427819071,0,,,-1,just use ENVO:2116 contaminated soil ?,0,,,,-1,other contaminants - use parent,-2
ENVO:00002982,clay,0.01566384177,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0,0,96,103,43,0,0,0.01032147081,0.001923579726,0.05041031653,,,-1,"use ENVO:2262 clay soil, ENVO:615277 clay loam etc",-1,you can get that it's clay from `soil_text_measure` or `particle_class` depending on the extension,,,1,,-1
ENVO:00002984,petroleum,0.00000467,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0,0,0,1,0,0,0,0,0.0000187,0,,,-1,not soil,-1,not soil,,,1,,-1
ENVO:00003033,mushroom compost,0.000028,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0,0,0,6,0,0,0,0,0.0001120531879,0,,,-1,NCBI_mims_soil_trusting_labels_count_only,-1,not soil,,,0,,-2
ENVO:00003081,metal contaminated soil,0.0002523817045,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0,0,8,8,0,0,0,0.0008601225675,0.0001494042506,0,,,-1,just use ENVO:2116 contaminated soil ?,0,heavy metals slot?,,,-1,use parent - contaminated soil,-2
ENVO:00003869,straw,0.003868979363,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0,0,96,276,0,0,0,0.01032147081,0.005154446644,0,,,-1,not soil,-1,not a soil,,,-1,is this considered soil?,-3
ENVO:00003884,farmyard manure,0.0000233,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,0,0,0,5,0,0,0,0,0.0000934,0,,,-1,not soil,-1,not soil,,,-1,biological waste material...,-3
ENVO:00005740,paddy field soil,0.01971822232,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,0,666,222,0,0.003121717597,0,0.07160520374,0.004145967953,0,,,1,,1,,,,0,,2
ENVO:00005741,alpine soil,0.01609263268,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,6,11,268,46,0.003121717597,0.001133786848,0.00118266853,0.005005042393,0.05392731536,,,1,,1,,,,1,,3
ENVO:00005742,arable soil,0.001838913979,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,0,30,54,0,0.003121717597,0,0.003225459628,0.001008478691,0,,,1,,1,,,,0,arable vs. agricultural - do we care about the distinction here?,2
