content_value	emp500_usages	perfect_match	matched_label	matched_curie	is_obsolete	obsolete_label	obsolete_curie	replacement_curie	replacement_label	consider_replacements
glacier	15	True	glacier	ENVO:00000133	False					
microbial mat	1	True	microbial mat	ENVO:01000008	False					
biofilm	2	True	biofilm	ENVO:00002034	False					
stromatolite mat	1	True	stromatolite mat	ENVO:00002157	False					
intestine environment	15	True	intestine environment	ENVO:2100002	False					
marine reef biome	30	True	marine reef biome	ENVO:01000029	False					
marine pelagic biome	17	True	marine pelagic biome	ENVO:01000023	False					
coastal water body	12	True	coastal water body	ENVO:02000049	False					
coastal water	9	False			False					
mine	16	True	mine	ENVO:00000076	False					
rock	13	True	rock	ENVO:00001995	False					
groundwater	6	True	groundwater	ENVO:01001004	False					
subpolar coniferous forest biome	45	True	subpolar coniferous forest biome	ENVO:01000250	False					
bog	3	False			False					
cliff	9	True	cliff	ENVO:00000087	False					
coral reef	22	True	coral reef	ENVO:00000150	False					
mucus	4	True	mucus	UBERON:0000912	False					
sea water	22	True	sea water	ENVO:00002149	False					
research facility	191	True	research facility	ENVO:00000469	False					
sterile water	178	True	sterile water	ENVO:00005791	False					
temperate mixed forest biome	112	True	temperate mixed forest biome	ENVO:01000212	False					
neritic epipelagic zone biome	19	True	neritic epipelagic zone biome	ENVO:01000042	False					
ocean	20	True	ocean	ENVO:00000015	False					
ocean water	16	False			True	obsolete ocean water	ENVO:00002151	ENVO:00002149	sea water	
marine coral reef biome	51	True	marine coral reef biome	ENVO:01000049	False					
marine subtidal rocky reef biome	6	True	marine subtidal rocky reef biome	ENVO:01000050	False					
desert biome	40	True	desert biome	ENVO:01000179	False					
oil reservior	14	False			False					
petroleum	14	True	petroleum	ENVO:00002984	False					
cell culture	13	True	cell culture	ENVO:02000008	False					
temperate shrubland	7	False			False					
wetland	9	False			False					
tropical moist broadleaf forest	6	True	tropical moist broadleaf forest	ENVO:01001800	False					
forest	21	False			False					
pitcher plant fluid	6	False			False					
flooded savanna	1	False			False					
freshwater biome	12	True	freshwater biome	ENVO:00000873	False					
marine subtidal rocky reef	1	True	marine subtidal rocky reef	ENVO:01000150	False					
sand	2	True	sand	ENVO:01000017	False					
neritic bathypelagic zone biome	1	False			False					
water	7	True	water	CHEBI:15377	False					
kelp forest	25	True	kelp forest	ENVO:01000058	False					
montane grasslands and shrubland biome	12	False			True	obsolete Montane grasslands and shrubland biome	ENVO:00000882			ENVO:01000194/montane grassland biome | ENVO:01000216/montane shrubland biome
steppe soil	12	True	steppe soil	ENVO:00005777	False					
tropical desert biome	19	True	tropical desert biome	ENVO:01000183	False					
gravel field	10	True	gravel field	ENVO:00000548	False					
gravel	10	True	gravel	ENVO:01000018	False					
temperate coniferous forest	16	False			False					
cropland biome	16	True	cropland biome	ENVO:01000245	False					
cropland	10	False			False					
rangeland biome	5	True	rangeland biome	ENVO:01000247	False					
rangeland	5	False			False					
temperate woodland biome	2	True	temperate woodland biome	ENVO:01000221	False					
temperate woodland	2	False			False					
temperate shrubland biome	1	True	temperate shrubland biome	ENVO:01000215	False					
saline marsh	24	True	saline marsh	ENVO:00000054	False					
montane desert	26	False			False					
alpine soil	26	True	alpine soil	ENVO:00005741	False					
banana plantation	3	True	banana plantation	ENVO:00000161	False					
surface soil	14	True	surface soil	ENVO:02000059	False					
planted forest	5	True	planted forest	ENVO:00000119	False					
oil palm plantation	6	True	oil palm plantation	ENVO:00000120	False					
anthropogenic terrestrial biome	10	True	anthropogenic terrestrial biome	ENVO:01000219	False					
anthropogenic contamination feature	10	True	anthropogenic contamination feature	ENVO:00002204	False					
coast	10	True	coast	ENVO:01000687	False					
stratum	18	False			False					
peat soil	18	True	peat soil	ENVO:00005774	False					
dune	9	True	dune	ENVO:00000170	False					
