class	parent	mixins
MimagMiscellaneousNaturalOrArtificialEnvironment	MiscellaneousNaturalOrArtificialEnvironment	Mimag
MimagPlantAssociated	PlantAssociated	Mimag
MimagSediment	Sediment	Mimag
MimagSoil	Soil	Mimag
MimagSymbiontAssociated	SymbiontAssociated	Mimag
MimagWastewaterSludge	WastewaterSludge	Mimag
MimagWater	Water	Mimag
MimarksC	Checklist	
MimarksCAgriculture	Agriculture	MimarksC
MimarksCAir	Air	MimarksC
MimarksCBuiltEnvironment	BuiltEnvironment	MimarksC
MimarksCFoodAnimalAndAnimalFeed	FoodAnimalAndAnimalFeed	MimarksC
MimarksCFoodFarmEnvironment	FoodFarmEnvironment	MimarksC
MimarksCFoodFoodProductionFacility	FoodFoodProductionFacility	MimarksC
MimarksCFoodHumanFoods	FoodHumanFoods	MimarksC
MimarksCHostAssociated	HostAssociated	MimarksC
MimarksCHumanAssociated	HumanAssociated	MimarksC
MimarksCHumanGut	HumanGut	MimarksC
MimarksCHumanOral	HumanOral	MimarksC
MimarksCHumanSkin	HumanSkin	MimarksC
MimarksCHumanVaginal	HumanVaginal	MimarksC
MimarksCHydrocarbonResourcesCores	HydrocarbonResourcesCores	MimarksC
MimarksCHydrocarbonResourcesFluidsSwabs	HydrocarbonResourcesFluidsSwabs	MimarksC
MimarksCMicrobialMatBiofilm	MicrobialMatBiofilm	MimarksC
MimarksCMiscellaneousNaturalOrArtificialEnvironment	MiscellaneousNaturalOrArtificialEnvironment	MimarksC
MimarksCPlantAssociated	PlantAssociated	MimarksC
MimarksCSediment	Sediment	MimarksC
MimarksCSoil	Soil	MimarksC
MimarksCSymbiontAssociated	SymbiontAssociated	MimarksC
MimarksCWastewaterSludge	WastewaterSludge	MimarksC
MimarksCWater	Water	MimarksC
MimarksS	Checklist	
MimarksSAgriculture	Agriculture	MimarksS
MimarksSAir	Air	MimarksS
MimarksSBuiltEnvironment	BuiltEnvironment	MimarksS
MimarksSFoodAnimalAndAnimalFeed	FoodAnimalAndAnimalFeed	MimarksS
MimarksSFoodFarmEnvironment	FoodFarmEnvironment	MimarksS
MimarksSFoodFoodProductionFacility	FoodFoodProductionFacility	MimarksS
MimarksSFoodHumanFoods	FoodHumanFoods	MimarksS
MimarksSHostAssociated	HostAssociated	MimarksS
MimarksSHumanAssociated	HumanAssociated	MimarksS
MimarksSHumanGut	HumanGut	MimarksS
MimarksSHumanOral	HumanOral	MimarksS
MimarksSHumanSkin	HumanSkin	MimarksS
MimarksSHumanVaginal	HumanVaginal	MimarksS
MimarksSHydrocarbonResourcesCores	HydrocarbonResourcesCores	MimarksS
MimarksSHydrocarbonResourcesFluidsSwabs	HydrocarbonResourcesFluidsSwabs	MimarksS
MimarksSMicrobialMatBiofilm	MicrobialMatBiofilm	MimarksS
MimarksSMiscellaneousNaturalOrArtificialEnvironment	MiscellaneousNaturalOrArtificialEnvironment	MimarksS
MimarksSPlantAssociated	PlantAssociated	MimarksS
MimarksSSediment	Sediment	MimarksS
MimarksSSoil	Soil	MimarksS
MimarksSSymbiontAssociated	SymbiontAssociated	MimarksS
MimarksSWastewaterSludge	WastewaterSludge	MimarksS
MimarksSWater	Water	MimarksS
Mims	Checklist	
MimsAgriculture	Agriculture	Mims
MimsAir	Air	Mims
MimsBuiltEnvironment	BuiltEnvironment	Mims
MimsFoodAnimalAndAnimalFeed	FoodAnimalAndAnimalFeed	Mims
MimsFoodFarmEnvironment	FoodFarmEnvironment	Mims
MimsFoodFoodProductionFacility	FoodFoodProductionFacility	Mims
MimsFoodHumanFoods	FoodHumanFoods	Mims
MimsHostAssociated	HostAssociated	Mims
MimsHumanAssociated	HumanAssociated	Mims
MimsHumanGut	HumanGut	Mims
MimsHumanOral	HumanOral	Mims
MimsHumanSkin	HumanSkin	Mims
MimsHumanVaginal	HumanVaginal	Mims
MimsHydrocarbonResourcesCores	HydrocarbonResourcesCores	Mims
MimsHydrocarbonResourcesFluidsSwabs	HydrocarbonResourcesFluidsSwabs	Mims
MimsMicrobialMatBiofilm	MicrobialMatBiofilm	Mims
MimsMiscellaneousNaturalOrArtificialEnvironment	MiscellaneousNaturalOrArtificialEnvironment	Mims
MimsPlantAssociated	PlantAssociated	Mims
MimsSediment	Sediment	Mims
MimsSoil	Soil	Mims
MimsSymbiontAssociated	SymbiontAssociated	Mims
MimsWastewaterSludge	WastewaterSludge	Mims
MimsWater	Water	Mims
Misag	Checklist	
MisagAgriculture	Agriculture	Misag
MisagAir	Air	Misag
MisagBuiltEnvironment	BuiltEnvironment	Misag
MisagFoodAnimalAndAnimalFeed	FoodAnimalAndAnimalFeed	Misag
MisagFoodFarmEnvironment	FoodFarmEnvironment	Misag
MisagFoodFoodProductionFacility	FoodFoodProductionFacility	Misag
MisagFoodHumanFoods	FoodHumanFoods	Misag
MisagHostAssociated	HostAssociated	Misag
MisagHumanAssociated	HumanAssociated	Misag
MisagHumanGut	HumanGut	Misag
MisagHumanOral	HumanOral	Misag
MisagHumanSkin	HumanSkin	Misag
MisagHumanVaginal	HumanVaginal	Misag
MisagHydrocarbonResourcesCores	HydrocarbonResourcesCores	Misag
MisagHydrocarbonResourcesFluidsSwabs	HydrocarbonResourcesFluidsSwabs	Misag
MisagMicrobialMatBiofilm	MicrobialMatBiofilm	Misag
MisagMiscellaneousNaturalOrArtificialEnvironment	MiscellaneousNaturalOrArtificialEnvironment	Misag
MisagPlantAssociated	PlantAssociated	Misag
MisagSediment	Sediment	Misag
MisagSoil	Soil	Misag
MisagSymbiontAssociated	SymbiontAssociated	Misag
MisagWastewaterSludge	WastewaterSludge	Misag
MisagWater	Water	Misag
MiscellaneousNaturalOrArtificialEnvironment	Extension	
Miuvig	Checklist	
MiuvigAgriculture	Agriculture	Miuvig
MiuvigAir	Air	Miuvig
MiuvigBuiltEnvironment	BuiltEnvironment	Miuvig
MiuvigFoodAnimalAndAnimalFeed	FoodAnimalAndAnimalFeed	Miuvig
MiuvigFoodFarmEnvironment	FoodFarmEnvironment	Miuvig
MiuvigFoodFoodProductionFacility	FoodFoodProductionFacility	Miuvig
MiuvigFoodHumanFoods	FoodHumanFoods	Miuvig
MiuvigHostAssociated	HostAssociated	Miuvig
MiuvigHumanAssociated	HumanAssociated	Miuvig
MiuvigHumanGut	HumanGut	Miuvig
MiuvigHumanOral	HumanOral	Miuvig
MiuvigHumanSkin	HumanSkin	Miuvig
MiuvigHumanVaginal	HumanVaginal	Miuvig
MiuvigHydrocarbonResourcesCores	HydrocarbonResourcesCores	Miuvig
MiuvigHydrocarbonResourcesFluidsSwabs	HydrocarbonResourcesFluidsSwabs	Miuvig
MiuvigMicrobialMatBiofilm	MicrobialMatBiofilm	Miuvig
MiuvigMiscellaneousNaturalOrArtificialEnvironment	MiscellaneousNaturalOrArtificialEnvironment	Miuvig
MiuvigPlantAssociated	PlantAssociated	Miuvig
MiuvigSediment	Sediment	Miuvig
MiuvigSoil	Soil	Miuvig
MiuvigSymbiontAssociated	SymbiontAssociated	Miuvig
MiuvigWastewaterSludge	WastewaterSludge	Miuvig
MiuvigWater	Water	Miuvig
MixsCompliantData		
PlantAssociated	Extension	
Sediment	Extension	
Soil	Extension	
SymbiontAssociated	Extension	
WastewaterSludge	Extension	
Water	Extension	
