_id,total_count,harmonized_name,unit_name
67f0381c3586ad429bb536bb,1,geo_loc_name,dollar
67f0381c3586ad429bb536bc,1,geo_loc_name,unk to the 50 unk to the 34
67f0381c3586ad429bb536bd,2,description,henry to the 7
67f0381c3586ad429bb536be,1,host_age,year to the 7 metre
67f0381c3586ad429bb536bf,4,geo_loc_name,mill year rutherford
67f0381c3586ad429bb536c0,1,diss_inorg_carb,cubic centimetre per minute to the 4
67f0381c3586ad429bb536c1,1237,age,inch stere year roentgen
67f0381c3586ad429bb536c2,2,temp,nanosecond litre
67f0381c3586ad429bb536c3,1,age,year to the 24
67f0381c3586ad429bb536c4,76,description,watt kibibyte second
67f0381c3586ad429bb536c5,1,geo_loc_name,megayear teraampere
67f0381c3586ad429bb536c6,1,efficiency_percent,per percentage to the 90 percentage
67f0381c3586ad429bb536c7,6,depth,per centimetre to the 7
67f0381c3586ad429bb536c8,1,depth,centimetre to the 99
67f0381c3586ad429bb536c9,4,description,ampere to the 4
67f0381c3586ad429bb536ca,3,geo_loc_name,hartree atomic mass unit teraampere
67f0381c3586ad429bb536cb,1,geo_loc_name,unk to the 12
67f0381c3586ad429bb536cc,5,age,metre to the 9 dime
67f0381c3586ad429bb536cd,524,geo_loc_name,kilometre siemens
67f0381c3586ad429bb536ce,111,age,mile per hour
67f0381c3586ad429bb536cf,2,depth,centimetre to the 23
67f0381c3586ad429bb536d0,1,geo_loc_name,unk to the 14 foot foot siemens
67f0381c3586ad429bb536d1,146377,ph,dimensionless
67f0381c3586ad429bb536d2,6691,potassium,dimensionless
67f0381c3586ad429bb536d3,4,description,hour pint to the 10
67f0381c3586ad429bb536d4,5993,size_frac_up,dimensionless
67f0381c3586ad429bb536d5,83,petroleum_hydrocarb,parts-per-million
67f0381c3586ad429bb536d6,27,age,hectare poise farad
67f0381c3586ad429bb536d7,10,description,gigayear
67f0381c3586ad429bb536d8,246,phosphate,milligram per kilogram
67f0381c3586ad429bb536d9,33,diss_carb_dioxide,standard atmosphere
67f0381c3586ad429bb536da,5,alkalinity,atomic mass unit mole per kilogram
67f0381c3586ad429bb536db,30,description,hertz
67f0381c3586ad429bb536dc,2,temp,degree Celsius cubic hectolitre
67f0381c3586ad429bb536dd,6,description,degree angle to the 14
67f0381c3586ad429bb536de,5,description,degree angle to the 46
67f0381c3586ad429bb536df,4,geo_loc_name,unk
67f0381c3586ad429bb536e0,4346,microbial_biomass,dimensionless
67f0381c3586ad429bb536e1,284,pressure,bar
67f0381c3586ad429bb536e2,8,description,cubic centimetre pound-mass
67f0381c3586ad429bb536e3,4,nitrite,atomic mass unit mole
67f0381c3586ad429bb536e4,2,temp,watt second square litre
67f0381c3586ad429bb536e5,105,description,nucleotide
67f0381c3586ad429bb536e6,1605,season_temp,degree Celsius
67f0381c3586ad429bb536e7,722,tot_nitro,milligram per kilogram
67f0381c3586ad429bb536e8,10,age,siemens ampere per litre to the 8 watt
67f0381c3586ad429bb536e9,1,depth,centimetre to the 46
67f0381c3586ad429bb536ea,1,depth,centimetre to the 127
67f0381c3586ad429bb536eb,1,age,per year to the 36
67f0381c3586ad429bb536ec,1,geo_loc_name,unk to the 58 second siemens
67f0381c3586ad429bb536ed,21,petroleum_hydrocarb,dimensionless
67f0381c3586ad429bb536ee,1,age,dime hour
67f0381c3586ad429bb536ef,1,age,square week hour
67f0381c3586ad429bb536f0,26,geo_loc_name,rutherford
67f0381c3586ad429bb536f1,9,age,metre to the 29 dime
67f0381c3586ad429bb536f2,12,samp_size,minute ampere-turn
67f0381c3586ad429bb536f3,9,age,ampere pint per south african rand to the 2015
67f0381c3586ad429bb536f4,3,age,year to the 7 month
67f0381c3586ad429bb536f5,24,geo_loc_name,kilometre siemens ampere-turn
67f0381c3586ad429bb536f6,4234,host_body_temp,dimensionless
67f0381c3586ad429bb536f7,1,age,inch stere year per roentgen to the 9
67f0381c3586ad429bb536f8,432,magnesium,milligram per litre
67f0381c3586ad429bb536f9,64,soil_text_measure,percentage centilitre year year
67f0381c3586ad429bb536fa,100,samp_size,metre maxwell to the 6 millimetre
67f0381c3586ad429bb536fb,4,iwf,dimensionless
67f0381c3586ad429bb536fc,43,conduc,millisecond metre
67f0381c3586ad429bb536fd,4,age,year pound sterling
67f0381c3586ad429bb536fe,20,depth,per metre to the 30 metre
67f0381c3586ad429bb536ff,1,host_age,month to the 16 day
67f0381c3586ad429bb53700,10,description,byte to the 6
67f0381c3586ad429bb53701,1,geo_loc_name,degree angle to the 54 minute of arc
67f0381c3586ad429bb53702,1,geo_loc_name,watt per south african rand to the 217
67f0381c3586ad429bb53703,1,host_age,volt
67f0381c3586ad429bb53704,2,temp,year newton square litre
67f0381c3586ad429bb53705,1,geo_loc_name,kelvin siemens
67f0381c3586ad429bb53706,323,season_precpt,centimetre
67f0381c3586ad429bb53707,1,age,hour to the 17 second
67f0381c3586ad429bb53708,12,elev,attometre siemens litre
67f0381c3586ad429bb53709,12,silicate,unk
67f0381c3586ad429bb5370a,2,temp,watt cubic centimetre
67f0381c3586ad429bb5370b,67,elev,millisecond litre
67f0381c3586ad429bb5370c,10,diss_org_nitro,milligram newton per litre
67f0381c3586ad429bb5370d,8,diss_oxygen,atomic mass unit mole per kilogram
67f0381c3586ad429bb5370e,71,phosphate,microsecond mole per cubic decimetre
67f0381c3586ad429bb5370f,10,description,centavo to the 57 byte litre
67f0381c3586ad429bb53710,12,density,kilogram per cubic decimetre
67f0381c3586ad429bb53711,722,samp_size,second watt attobarn
67f0381c3586ad429bb53712,8,geo_loc_name,watt dime
67f0381c3586ad429bb53713,5,depth,per centimetre to the 20
67f0381c3586ad429bb53714,9,altitude,year to the 12
67f0381c3586ad429bb53715,2,age,hour to the 55 metre
67f0381c3586ad429bb53716,2,age,per week to the 7
67f0381c3586ad429bb53717,1,temp,newton cubic hectolitre
67f0381c3586ad429bb53718,6,age,per square week
67f0381c3586ad429bb53719,1,geo_loc_name,per byte to the 1815
67f0381c3586ad429bb5371a,1,geo_loc_name,ampere-turn swiss franc to the 100
67f0381c3586ad429bb5371b,3,depth,cubic unk
67f0381c3586ad429bb5371c,18,phosphate,gram per kilogram
67f0381c3586ad429bb5371d,1,geo_loc_name,kibibyte watt megaton
67f0381c3586ad429bb5371e,1,salinity,siemens
67f0381c3586ad429bb5371f,6,depth,per centimetre to the 16
67f0381c3586ad429bb53720,389,age,atomic mass unit siemens
67f0381c3586ad429bb53721,314,geo_loc_name,year
67f0381c3586ad429bb53722,1,geo_loc_name,unk to the 6 foot foot siemens
67f0381c3586ad429bb53723,3,geo_loc_name,unk to the 4
67f0381c3586ad429bb53724,1,depth,centimetre to the 167
67f0381c3586ad429bb53725,11,env_broad_scale,gallon
67f0381c3586ad429bb53726,324,tot_org_carb,milligram per gram
67f0381c3586ad429bb53727,4,description,byte to the 4
67f0381c3586ad429bb53728,16,description,degree angle to the 18
67f0381c3586ad429bb53729,2,geo_loc_name,per degree fahrenheit per exawatt
67f0381c3586ad429bb5372a,1,host_length,gram
67f0381c3586ad429bb5372b,50,diss_inorg_nitro,micrometre
67f0381c3586ad429bb5372c,3,geo_loc_name,siemens year
67f0381c3586ad429bb5372d,35,age,tesla litre siemens
67f0381c3586ad429bb5372e,21,age,pair
67f0381c3586ad429bb5372f,144,nitro,milligram per litre
67f0381c3586ad429bb53730,4,depth,per metre to the 250 metre
67f0381c3586ad429bb53731,6,depth,per centimetre to the 17
67f0381c3586ad429bb53732,1,depth,centimetre to the 153
67f0381c3586ad429bb53733,3,age,newton
67f0381c3586ad429bb53734,3,geo_loc_name,kilometre second
67f0381c3586ad429bb53735,2,age,megayear per year to the 2016
67f0381c3586ad429bb53736,17,age,per day
67f0381c3586ad429bb53737,3,geo_loc_name,mile second
67f0381c3586ad429bb53738,4,geo_loc_name,litre acre
67f0381c3586ad429bb53739,3,age,month to the 12
67f0381c3586ad429bb5373a,6,env_broad_scale,per square hour
67f0381c3586ad429bb5373b,1,geo_loc_name,hartree millimetre acre kibibyte
67f0381c3586ad429bb5373c,6494,methane,dimensionless
67f0381c3586ad429bb5373d,239,temp,siemens
67f0381c3586ad429bb5373e,601,pressure,decibel year roentgen
67f0381c3586ad429bb5373f,22,chloride,milligram centilitre per litre
67f0381c3586ad429bb53740,2,geo_loc_name,millimetre
67f0381c3586ad429bb53741,3,age,month to the 8
67f0381c3586ad429bb53742,7,org_matter,gram per gram
67f0381c3586ad429bb53743,129,ph,milligram per litre
67f0381c3586ad429bb53744,1,geo_loc_name,statcoulomb stokes
67f0381c3586ad429bb53745,3,nitrite,mole per litre
67f0381c3586ad429bb53746,4,age,year to the 6
67f0381c3586ad429bb53747,1,age,week to the 6 hour
67f0381c3586ad429bb53748,26,age,litre
67f0381c3586ad429bb53749,2,host_age,month to the 30 day
67f0381c3586ad429bb5374a,1,temp,hectometre litre to the 6
67f0381c3586ad429bb5374b,3,diss_inorg_carb,parts-per-million
67f0381c3586ad429bb5374c,48,bromide,micrometre
67f0381c3586ad429bb5374d,384,age,centimetre
67f0381c3586ad429bb5374e,1,age,candela per square metre
67f0381c3586ad429bb5374f,2,geo_loc_name,second of arc
67f0381c3586ad429bb53750,1,age,month to the 13
67f0381c3586ad429bb53751,28684,description,millimetre
67f0381c3586ad429bb53752,9,description,nanosecond gauss
67f0381c3586ad429bb53753,4,description,square dime
67f0381c3586ad429bb53754,1,age,day siemens
67f0381c3586ad429bb53755,80,age,atomic mass unit ampere
67f0381c3586ad429bb53756,2462,samp_store_dur,hour
67f0381c3586ad429bb53757,1,age,week to the 5 hour
67f0381c3586ad429bb53758,2,description,millisecond
67f0381c3586ad429bb53759,10,indust_eff_percent,dimensionless
67f0381c3586ad429bb5375a,29,nitrate,microgram per litre
67f0381c3586ad429bb5375b,10,depth,centimetre to the 185 centimetre
67f0381c3586ad429bb5375c,2,description,cubic gauss
67f0381c3586ad429bb5375d,694,age,gram
67f0381c3586ad429bb5375e,2,host_height,cubic unk
67f0381c3586ad429bb5375f,7,tot_nitro,pound-mass
67f0381c3586ad429bb53760,2,age,year exayear litre
67f0381c3586ad429bb53761,86,env_broad_scale,litre
67f0381c3586ad429bb53762,63,org_carb,millimetre
67f0381c3586ad429bb53763,1,env_broad_scale,per cubic centavo hour
67f0381c3586ad429bb53764,1,depth,centimetre to the 122
67f0381c3586ad429bb53765,16,altitude,unk to the 24 second of arc newton
67f0381c3586ad429bb53766,6,age,per square year
67f0381c3586ad429bb53767,169,org_matter,milligram per litre
67f0381c3586ad429bb53768,1,age,per year to the 34
67f0381c3586ad429bb53769,2,depth,per metre to the 3051 metre
67f0381c3586ad429bb5376a,1,age,per dime to the 13 dime
67f0381c3586ad429bb5376b,1,geo_loc_name,joule newton carat
67f0381c3586ad429bb5376c,9,ethylbenzene,atomic mass unit gram per litre
67f0381c3586ad429bb5376d,7,host_height,millimetre
67f0381c3586ad429bb5376e,20,nitrite,millimetre
67f0381c3586ad429bb5376f,6,org_matter,gram
67f0381c3586ad429bb53770,1,depth,centimetre to the 50
67f0381c3586ad429bb53771,18,nitrite,microsecond mole
67f0381c3586ad429bb53772,24,description,ampere-turn atomic mass unit gauss
67f0381c3586ad429bb53773,118,nitro,kilogram
67f0381c3586ad429bb53774,1,geo_loc_name,megayear
67f0381c3586ad429bb53775,506,salinity,percentage
67f0381c3586ad429bb53776,4,altitude,bit
67f0381c3586ad429bb53777,635,temp,hour
67f0381c3586ad429bb53778,601,temp,centavo
67f0381c3586ad429bb53779,11236,age,watt kibibyte second
67f0381c3586ad429bb5377a,168,nitrite,metre
67f0381c3586ad429bb5377b,2,geo_loc_name,degree Celsius siemens
67f0381c3586ad429bb5377c,2,geo_loc_name,mile nanowatt megaton
67f0381c3586ad429bb5377d,1,geo_loc_name,ampere stere litre exayear
67f0381c3586ad429bb5377e,1,description,byte watt to the 25113
67f0381c3586ad429bb5377f,16,description,square degree angle
67f0381c3586ad429bb53780,10,env_broad_scale,degree Celsius siemens farad
67f0381c3586ad429bb53781,2,geo_loc_name,per ampere
67f0381c3586ad429bb53782,3,age,south african rand tonne hour
67f0381c3586ad429bb53783,1,depth,centimetre to the 32
67f0381c3586ad429bb53784,2,age,year to the 13
67f0381c3586ad429bb53785,1,geo_loc_name,unk to the 58 second of arc newton
67f0381c3586ad429bb53786,5,temp,degree angle byte
67f0381c3586ad429bb53787,1,geo_loc_name,unk to the 46 second of arc siemens
67f0381c3586ad429bb53788,4,age,per week to the 6
67f0381c3586ad429bb53789,5,description,degree angle to the 53
67f0381c3586ad429bb5378a,173,geo_loc_name,foot
67f0381c3586ad429bb5378b,1,geo_loc_name,henry henry
67f0381c3586ad429bb5378c,2,temp,tesla tesla cubic litre
67f0381c3586ad429bb5378d,6,description,per cent per nanoampere
67f0381c3586ad429bb5378e,1,geo_loc_name,unk foot foot siemens
67f0381c3586ad429bb5378f,1,host_length,foot
67f0381c3586ad429bb53790,1,depth,volt metre
67f0381c3586ad429bb53791,92,age,roentgen
67f0381c3586ad429bb53792,4,description,attometre year
67f0381c3586ad429bb53793,4160,diss_inorg_carb,dimensionless
67f0381c3586ad429bb53794,2,temp,watt cubic centimetre to the 4
67f0381c3586ad429bb53795,12368,size_frac,micrometre
67f0381c3586ad429bb53796,1,age,year to the 20 dime
67f0381c3586ad429bb53797,1450,host_age,watt kibibyte second
67f0381c3586ad429bb53798,1608,ammonium,milligram per litre
67f0381c3586ad429bb53799,9653,samp_store_dur,month
67f0381c3586ad429bb5379a,1,geo_loc_name,unk to the 41
67f0381c3586ad429bb5379b,420,age,year second
67f0381c3586ad429bb5379c,2,temp,watt cubic cubic centimetre
67f0381c3586ad429bb5379d,5,age,day pint hour
67f0381c3586ad429bb5379e,2,description,litre watt tesla
67f0381c3586ad429bb5379f,2,geo_loc_name,teraampere litre atomic mass unit kelvin
67f0381c3586ad429bb537a0,1,samp_size,inch stere year roentgen
67f0381c3586ad429bb537a1,11,tot_depth_water_col,foot
67f0381c3586ad429bb537a2,1,age,cubic year metre to the 24 dime
67f0381c3586ad429bb537a3,829,nitrite,milligram per litre
67f0381c3586ad429bb537a4,2,host_age,second of arc
67f0381c3586ad429bb537a5,132,diss_oxygen,unk mole per litre
67f0381c3586ad429bb537a6,1,geo_loc_name,unk to the 9 minute of arc minute of arc newton
67f0381c3586ad429bb537a7,3,geo_loc_name,minute of arc newton inch
67f0381c3586ad429bb537a8,1072,env_broad_scale,day
67f0381c3586ad429bb537a9,6,samp_size,cubic millimetre set
67f0381c3586ad429bb537aa,2,temp,jansky square litre
67f0381c3586ad429bb537ab,4,geo_loc_name,gauss dime
67f0381c3586ad429bb537ac,12,soluble_react_phosp,micrometre
67f0381c3586ad429bb537ad,1,age,horsepower farad to the 5
67f0381c3586ad429bb537ae,46,chloride,micrometre
67f0381c3586ad429bb537af,1,age,day tonne
67f0381c3586ad429bb537b0,1,geo_loc_name,square unk inch newton
67f0381c3586ad429bb537b1,3,age,pint hour farad
67f0381c3586ad429bb537b2,1,geo_loc_name,unk to the 59
67f0381c3586ad429bb537b3,5,samp_size,candela per square metre
67f0381c3586ad429bb537b4,1,description,gigayear second second year
67f0381c3586ad429bb537b5,6,depth,per centimetre to the 12
67f0381c3586ad429bb537b6,568,humidity,dimensionless
67f0381c3586ad429bb537b7,1,depth,centimetre to the 145
67f0381c3586ad429bb537b8,1,depth,centimetre to the 140
67f0381c3586ad429bb537b9,28,samp_size,cubic centimetre second
67f0381c3586ad429bb537ba,18,elev,metre ampere-turn
67f0381c3586ad429bb537bb,9,age,day petayear
67f0381c3586ad429bb537bc,4,geo_loc_name,unk to the 17
67f0381c3586ad429bb537bd,2,depth,centimetre to the 11
67f0381c3586ad429bb537be,71,env_broad_scale,roentgen
67f0381c3586ad429bb537bf,171,efficiency_percent,dimensionless
67f0381c3586ad429bb537c0,60,geo_loc_name,joule
67f0381c3586ad429bb537c1,42,description,picometre
67f0381c3586ad429bb537c2,17,iwf,percentage
67f0381c3586ad429bb537c3,398,microbial_biomass,milligram degree Celsius per kilogram
67f0381c3586ad429bb537c4,2,org_carb,percentage dime watt
67f0381c3586ad429bb537c5,9,sodium,atomic mass unit mole per kilogram
67f0381c3586ad429bb537c6,59,chlorophyll,roentgen farad atomic mass unit
67f0381c3586ad429bb537c7,52,tot_diss_nitro,milligram per litre
67f0381c3586ad429bb537c8,859,samp_size,square foot
67f0381c3586ad429bb537c9,8,ammonium,nanometre
67f0381c3586ad429bb537ca,9,org_carb,gram per kilogram
67f0381c3586ad429bb537cb,13,host_age,dollar dollar to the 4
67f0381c3586ad429bb537cc,1,description,square siemens
67f0381c3586ad429bb537cd,2,temp,foot square litre
67f0381c3586ad429bb537ce,9,toluene,atomic mass unit gram per litre
67f0381c3586ad429bb537cf,42,phosphate,atomic mass unit mole per kilogram
67f0381c3586ad429bb537d0,1,samp_size,centimetre to the 5
67f0381c3586ad429bb537d1,716,size_frac,centimetre
67f0381c3586ad429bb537d2,4,age,week pound sterling
67f0381c3586ad429bb537d3,65,api,dimensionless
67f0381c3586ad429bb537d4,1,depth,centimetre to the 100
67f0381c3586ad429bb537d5,5,age,cubic year
67f0381c3586ad429bb537d6,1,geo_loc_name,atomic mass unit newton gram
67f0381c3586ad429bb537d7,12,diss_org_nitro,gram per litre
67f0381c3586ad429bb537d8,202,age,dime pint
67f0381c3586ad429bb537d9,9,env_broad_scale,hour atomic mass unit mile dime
67f0381c3586ad429bb537da,1,description,petametre metre
67f0381c3586ad429bb537db,4,description,dime to the 9
67f0381c3586ad429bb537dc,1,depth,centimetre to the 91
67f0381c3586ad429bb537dd,1,temp,foot litre to the 9
67f0381c3586ad429bb537de,1,depth,centimetre to the 70
67f0381c3586ad429bb537df,7,samp_size,milligram per centavo per ell
67f0381c3586ad429bb537e0,9,geo_loc_name,kibibyte hour
67f0381c3586ad429bb537e1,1,age,per year to the 21
67f0381c3586ad429bb537e2,1,annual_temp,degree angle
67f0381c3586ad429bb537e3,3,age,megayear per year to the 2014
67f0381c3586ad429bb537e4,1,geo_loc_name,unk to the 18
67f0381c3586ad429bb537e5,28,samp_size,per siemens
67f0381c3586ad429bb537e6,2,geo_loc_name,poise exayear inch second
67f0381c3586ad429bb537e7,19,depth,ampere
67f0381c3586ad429bb537e8,21,geo_loc_name,barye
67f0381c3586ad429bb537e9,108,alkalinity,microsecond mole per kilogram
67f0381c3586ad429bb537ea,3,depth,per centimetre to the 26
67f0381c3586ad429bb537eb,80,age,week ampere-turn
67f0381c3586ad429bb537ec,10,geo_loc_name,foot newton
67f0381c3586ad429bb537ed,3,depth,per centimetre to the 22
67f0381c3586ad429bb537ee,12,chloride,metre
67f0381c3586ad429bb537ef,1,depth,centimetre to the 149
67f0381c3586ad429bb537f0,6,age,per hour to the 48 hour
67f0381c3586ad429bb537f1,6,age,week to the 4
