curie	claimed_prefix	label	envo_native	obsolete	EnvBroadScaleSoilEnum_11_1	ancestors_in_enum_count	descendants_in_enum_count	nlcd_class	abp	env_sys	biome	terrestrial_biome	aquatic_biome	marine_biome	env_mat	soil	liquid water	water ice	snow	mass_of_environmental_material	human_construction	building	building_part	plant_structure	goldterms_mappings	nmdc_biosamples_count	ncbi_bioprojects_count
ENVO:00002117	ENVO	creosote contaminated soil	True	False	False	0	0	False	True	False	False	False	False	False	True	True	False	False	False	False	False	False	False	False	False		1.0
ENVO:00002099	ENVO		False	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False		1.0
ENVO:00002251	ENVO	planosol	True	False	False	0	0	False	True	False	False	False	False	False	True	True	False	False	False	False	False	False	False	False	False		1.0
ENVO:00000104	ENVO	undersea feature	True	False	False	0	0	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False		20.0
ENVO:00002142	ENVO	borax leachate	True	False	False	0	0	False	False	False	False	False	False	False	True	False	True	False	False	False	False	False	False	False	False		1.0
ENVO:00002204	ENVO	anthropogenic contamination feature	True	False	False	0	0	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False		2.0
ENVO:03600004	ENVO	drinking water treatment plant	True	False	False	0	0	False	True	False	False	False	False	False	False	False	False	False	False	False	True	True	False	False	False		3.0
ENVO:03600074	ENVO	aquaculture farm	True	False	False	0	0	False	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False		2.0
ENVO:01000020	ENVO	estuarine biome	True	False	False	0	0	False	True	True	True	False	True	True	False	False	False	False	False	False	False	False	False	False	False		1.0
ENVO:01000199	ENVO	mediterranean forest biome	True	False	True	2	0	False	True	True	True	True	False	False	False	False	False	False	False	False	False	False	False	False	False		
ENVO:00002280	ENVO		False	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False		1.0
ENVO:00002134	ENVO	anaerobic stream sediment	True	False	False	0	0	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False		2.0
ENVO:00002180	ENVO	naphthalene enriched sediment	True	False	False	0	0	False	False	False	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False		1.0
ENVO:00000503	ENVO	container of an intermittent oxbow lake	True	False	False	0	0	False	True	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False		1.0
ENVO:01000008	ENVO	microbial mat	True	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	True	False	False	False	False	False		6.0
BFO:0000029	BFO	site	False	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False		30.0
ENVO:01000191	ENVO	subtropical grassland biome	True	False	True	2	1	False	True	True	True	True	False	False	False	False	False	False	False	False	False	False	False	False	False		
ENVO:01001224	ENVO	office	True	False	False	0	0	False	True	False	False	False	False	False	False	False	False	False	False	False	True	False	True	False	False		
PATO:0001162	PATO	increased concentration	False	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False		3.0
ENVO:01001861	ENVO	shortwave radiation	True	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False		
ENVO:00002279	ENVO		False	False	False	0	0	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False	False		1.0
