accession	db	is_primary	content
SAMEA7723492	BioSample	1	SAMEA7723492
SAMEA7723492	SRA		ERS5470870
SAMEA7723493	BioSample	1	SAMEA7723493
SAMEA7723493	SRA		ERS5470871
SAMEA7723494	BioSample	1	SAMEA7723494
SAMEA7723494	SRA		ERS5470872
SAMEA7723495	BioSample	1	SAMEA7723495
SAMEA7723495	SRA		ERS5470873
SAMEA7723496	BioSample	1	SAMEA7723496
SAMEA7723496	SRA		ERS5470874
SAMEA7723497	BioSample	1	SAMEA7723497
SAMEA7723497	SRA		ERS5470875
SAMEA7723498	BioSample	1	SAMEA7723498
SAMEA7723498	SRA		ERS5470876
SAMEA7723499	BioSample	1	SAMEA7723499
SAMEA7723499	SRA		ERS5470877
SAMEA7723500	BioSample	1	SAMEA7723500
SAMEA7723500	SRA		ERS5470878
SAMEA7723501	BioSample	1	SAMEA7723501
SAMEA7723501	SRA		ERS5470879
SAMEA7723502	BioSample	1	SAMEA7723502
SAMEA7723502	SRA		ERS5470880
SAMEA7723503	BioSample	1	SAMEA7723503
SAMEA7723503	SRA		ERS5470881
SAMEA7723504	BioSample	1	SAMEA7723504
SAMEA7723504	SRA		ERS5470882
SAMEA7723505	BioSample	1	SAMEA7723505
SAMEA7723505	SRA		ERS5470883
SAMEA7723506	BioSample	1	SAMEA7723506
SAMEA7723506	SRA		ERS5470884
SAMEA7723507	BioSample	1	SAMEA7723507
SAMEA7723507	SRA		ERS5470885
SAMEA7723508	BioSample	1	SAMEA7723508
SAMEA7723508	SRA		ERS5470886
SAMEA7723509	BioSample	1	SAMEA7723509
SAMEA7723509	SRA		ERS5470887
SAMEA7723510	BioSample	1	SAMEA7723510
SAMEA7723510	SRA		ERS5470888
SAMEA7723511	BioSample	1	SAMEA7723511
SAMEA7723511	SRA		ERS5470889
SAMEA7723512	BioSample	1	SAMEA7723512
SAMEA7723512	SRA		ERS5470890
SAMEA7723513	BioSample	1	SAMEA7723513
SAMEA7723513	SRA		ERS5470891
SAMEA7723514	BioSample	1	SAMEA7723514
SAMEA7723514	SRA		ERS5470892
SAMEA7723515	BioSample	1	SAMEA7723515
SAMEA7723515	SRA		ERS5470893
SAMEA7723516	BioSample	1	SAMEA7723516
SAMEA7723516	SRA		ERS5470894
SAMEA7723517	BioSample	1	SAMEA7723517
SAMEA7723517	SRA		ERS5470895
SAMEA7723518	BioSample	1	SAMEA7723518
SAMEA7723518	SRA		ERS5470896
SAMEA7723519	BioSample	1	SAMEA7723519
SAMEA7723519	SRA		ERS5470897
SAMEA7723520	BioSample	1	SAMEA7723520
SAMEA7723520	SRA		ERS5470898
SAMEA7723521	BioSample	1	SAMEA7723521
SAMEA7723521	SRA		ERS5470899
SAMEA7723522	BioSample	1	SAMEA7723522
SAMEA7723522	SRA		ERS5470900
SAMEA7723523	BioSample	1	SAMEA7723523
SAMEA7723523	SRA		ERS5470901
SAMEA7723524	BioSample	1	SAMEA7723524
SAMEA7723524	SRA		ERS5470902
SAMEA7723525	BioSample	1	SAMEA7723525
SAMEA7723525	SRA		ERS5470903
SAMEA7723526	BioSample	1	SAMEA7723526
SAMEA7723526	SRA		ERS5470904
SAMEA7723527	BioSample	1	SAMEA7723527
SAMEA7723527	SRA		ERS5470905
SAMEA7723528	BioSample	1	SAMEA7723528
SAMEA7723528	SRA		ERS5470906
SAMEA7723529	BioSample	1	SAMEA7723529
SAMEA7723529	SRA		ERS5470907
